source_file,section,experiment,model,n_cycles,MAE_mean,MAE_std,SMAPE_mean,R2_mean,num_seeds
results_sop12_within_matr.json,within_dataset,matr_to_matr,xgboost,25,232.43829091389975,48.618954192341086,31.12097797541251,-0.08659069369443709,5
results_sop12_within_matr.json,within_dataset,matr_to_matr,random_forest,25,233.1420938973064,19.287265979666135,31.157627805538674,-0.05489783511888817,5
results_sop12_within_matr.json,within_dataset,matr_to_matr,catboost,25,233.91037309743297,41.24665073148375,31.313738432645,-0.10664190683419147,5
results_sop12_within_matr.json,within_dataset,matr_to_matr,elastic_net,25,239.0179653034933,36.9189860199923,33.164833195320945,0.04240325860271279,5
results_sop12_within_matr.json,within_dataset,matr_to_matr,random_forest,50,232.60477432498055,36.542872187163354,31.536968978278498,0.044514505069447895,5
results_sop12_within_matr.json,within_dataset,matr_to_matr,xgboost,50,237.70776316324873,62.64845751326566,32.759649926139346,-0.006172234433500767,5
results_sop12_within_matr.json,within_dataset,matr_to_matr,elastic_net,50,239.70878852672317,17.024947054454806,32.72139185425892,0.009895423485716082,5
results_sop12_within_matr.json,within_dataset,matr_to_matr,catboost,50,249.95934420226845,34.56416516859646,32.91444503937905,-0.1657299410278624,5
results_sop12_within_matr.json,within_dataset,matr_to_matr,xgboost,100,203.45146993001305,61.06596891067559,28.20871053081034,0.13767154740863619,5
results_sop12_within_matr.json,within_dataset,matr_to_matr,catboost,100,211.52700128668306,33.983036206484606,28.318743529815066,0.07965370907132882,5
results_sop12_within_matr.json,within_dataset,matr_to_matr,random_forest,100,227.40083589466093,29.41107728352671,31.087649093363417,0.08610206220812291,5
results_sop12_within_matr.json,within_dataset,matr_to_matr,elastic_net,100,240.81606215977914,23.61589071350269,33.381339572436524,0.00010493349030133991,5
results_sop_common_matr_hust.json,cross_dataset,matr_to_hust,catboost,25,1096.9763884295924,88.50990898785423,95.82947192802479,-11.345146963673994,5
results_sop_common_matr_hust.json,cross_dataset,matr_to_hust,xgboost,25,1112.9746592203778,90.36873992998268,98.22160019822225,-11.611649328118615,5
results_sop_common_matr_hust.json,cross_dataset,matr_to_hust,random_forest,25,1122.832215819019,55.978931066044275,98.90915501343875,-11.87950698324506,5
results_sop_common_matr_hust.json,cross_dataset,matr_to_hust,elastic_net,25,67564.91381178542,31667.58699098327,184.9235510732323,-84705.69263555744,5
results_sop_common_matr_hust.json,cross_dataset,matr_to_hust,random_forest,50,1072.5317611004325,24.857882386702556,92.71349635091205,-10.757114342392647,5
results_sop_common_matr_hust.json,cross_dataset,matr_to_hust,xgboost,50,1081.5828267415363,57.8457594646509,94.37723040419408,-10.971600993219647,5
results_sop_common_matr_hust.json,cross_dataset,matr_to_hust,catboost,50,1085.7841458056137,70.62895560448597,94.69389794242386,-10.97101490588338,5
results_sop_common_matr_hust.json,cross_dataset,matr_to_hust,elastic_net,50,100794.3957811355,65217.747145514004,189.5507764201868,-227020.85524387768,5
results_sop_common_matr_hust.json,cross_dataset,matr_to_hust,xgboost,100,997.1011032104491,75.30084191796688,83.64893605185026,-9.537505471567709,5
results_sop_common_matr_hust.json,cross_dataset,matr_to_hust,catboost,100,1025.077536455006,68.2618926629314,86.4871278254669,-10.057689721720966,5
results_sop_common_matr_hust.json,cross_dataset,matr_to_hust,random_forest,100,1052.3645648017764,63.16316871491117,89.93324804970302,-10.518976135664607,5
results_sop_common_matr_hust.json,cross_dataset,matr_to_hust,elastic_net,100,42260.009200358516,42167.477201625334,151.72291675270878,-55171.08529129064,5
results_sop_common_matr_hust.json,within_dataset,hust_to_hust,random_forest,25,230.14824369137804,50.39614305205518,14.173035287833187,0.1570965508222766,5
results_sop_common_matr_hust.json,within_dataset,hust_to_hust,elastic_net,25,231.6933996070455,34.287165826071046,14.366505274164947,0.17238706576751478,5
results_sop_common_matr_hust.json,within_dataset,hust_to_hust,catboost,25,245.49938360361475,51.56418039597091,14.999867628277784,0.14065305040827553,5
results_sop_common_matr_hust.json,within_dataset,hust_to_hust,xgboost,25,262.5320475260417,42.91366285910522,16.098933253877654,-0.005765088997312495,5
results_sop_common_matr_hust.json,within_dataset,hust_to_hust,random_forest,50,215.46143146945633,41.47104146094651,13.418854220231216,0.24413778643894468,5
results_sop_common_matr_hust.json,within_dataset,hust_to_hust,catboost,50,221.2449244545929,49.0047002712096,13.758679372590468,0.2298866936826888,5
results_sop_common_matr_hust.json,within_dataset,hust_to_hust,elastic_net,50,221.67845016327502,38.50716291134842,13.729600529272352,0.25101008308763945,5
results_sop_common_matr_hust.json,within_dataset,hust_to_hust,xgboost,50,235.40183715820314,62.872873577553825,14.626624222386258,0.14140262144656307,5
results_sop_common_matr_hust.json,within_dataset,hust_to_hust,xgboost,100,216.16761067708336,42.55611685061374,13.138694706084422,0.2620221713320781,5
results_sop_common_matr_hust.json,within_dataset,hust_to_hust,random_forest,100,223.30074601070206,26.773120878040025,13.734163486848924,0.2631061554726396,5
results_sop_common_matr_hust.json,within_dataset,hust_to_hust,catboost,100,231.3919921557943,44.60977729031847,14.137388402361816,0.24547960688635134,5
results_sop_common_matr_hust.json,within_dataset,hust_to_hust,elastic_net,100,239.27823506279864,31.762294409154574,14.836923148478004,0.14324709495358817,5
results_sop_common_matr_hust.json,within_dataset,matr_to_matr,elastic_net,25,244.92407416017642,39.10310417976017,33.72755970156091,-0.04443486418061857,5
results_sop_common_matr_hust.json,within_dataset,matr_to_matr,random_forest,25,273.2503537930513,20.59024650468197,37.18096990648639,-0.2620081985443095,5
results_sop_common_matr_hust.json,within_dataset,matr_to_matr,catboost,25,273.5213829788605,47.01506538971181,38.55466989139641,-0.320168001216568,5
results_sop_common_matr_hust.json,within_dataset,matr_to_matr,xgboost,25,283.20661214192705,25.556635420646362,38.63313280271512,-0.4995468257426543,5
results_sop_common_matr_hust.json,within_dataset,matr_to_matr,random_forest,50,246.5922532922551,27.81650260163593,33.66785032969453,-0.07209427544279974,5
results_sop_common_matr_hust.json,within_dataset,matr_to_matr,elastic_net,50,248.75040505473171,29.356605853501563,34.07783230431895,-0.056064949396227484,5
results_sop_common_matr_hust.json,within_dataset,matr_to_matr,xgboost,50,270.48184967041016,52.02128195106321,36.84887826024597,-0.27369270696148884,5
results_sop_common_matr_hust.json,within_dataset,matr_to_matr,catboost,50,271.9292378119936,40.08174601118413,36.50469849773705,-0.3981902399568731,5
results_sop_common_matr_hust.json,within_dataset,matr_to_matr,catboost,100,213.29570572414795,63.86803151991125,29.03786346769025,0.07852718939247676,5
results_sop_common_matr_hust.json,within_dataset,matr_to_matr,random_forest,100,234.01133708148808,39.773077965392865,32.15794311127846,0.028576539627403606,5
results_sop_common_matr_hust.json,within_dataset,matr_to_matr,elastic_net,100,248.71361689054373,32.14747545401183,34.4306440895129,-0.07638132739066153,5
results_sop_common_matr_hust.json,within_dataset,matr_to_matr,xgboost,100,251.73294932047529,54.18784285813662,33.88439531398936,-0.1364754574298607,5
