source_file,section,experiment,model,n_cycles,MAE_mean,MAE_std,SMAPE_mean,R2_mean,num_seeds
results_sop12_within_matr_eol85.json,within_dataset,matr_to_matr,catboost,25,185.8646532770772,9.044641247873574,27.314390542935534,0.295124952582636,5
results_sop12_within_matr_eol85.json,within_dataset,matr_to_matr,xgboost,25,195.67316284179685,24.521886217785486,28.397608700603918,0.23049920867052043,5
results_sop12_within_matr_eol85.json,within_dataset,matr_to_matr,random_forest,25,218.3662704785955,2.5698759136188314,31.24372809378131,0.13244264154063357,5
results_sop12_within_matr_eol85.json,within_dataset,matr_to_matr,elastic_net,25,241.21445824618712,43.17696455500956,35.34927430673712,-0.002835048021114295,5
results_sop12_within_matr_eol85.json,within_dataset,matr_to_matr,xgboost,50,192.13468322753909,62.01408991477944,27.802692322344047,0.31197381197559537,5
results_sop12_within_matr_eol85.json,within_dataset,matr_to_matr,catboost,50,208.60271963020665,32.27946504757144,29.615411086481608,0.11950844362113278,5
results_sop12_within_matr_eol85.json,within_dataset,matr_to_matr,random_forest,50,213.47374444594757,33.60259840570037,30.474506197232063,0.20673293330924217,5
results_sop12_within_matr_eol85.json,within_dataset,matr_to_matr,elastic_net,50,254.4970486003029,39.56812720039097,37.02829915355263,-0.2749599220371871,5
results_sop12_within_matr_eol85.json,within_dataset,matr_to_matr,xgboost,100,194.16284535725913,55.36520168802599,28.979545133021695,0.3192215491904832,5
results_sop12_within_matr_eol85.json,within_dataset,matr_to_matr,catboost,100,195.92335879335488,22.023732304143294,27.939987748015618,0.23861681114649397,5
results_sop12_within_matr_eol85.json,within_dataset,matr_to_matr,random_forest,100,215.76038170394426,24.42194450200148,31.730525456048845,0.19171360359121398,5
results_sop12_within_matr_eol85.json,within_dataset,matr_to_matr,elastic_net,100,248.0825797658311,36.32433671380479,36.87069390022599,-0.05426372146239076,5
results_sop_common_matr_hust_eol85.json,cross_dataset,matr_to_hust,catboost,25,930.05282351482,90.65595350682035,89.97904860595249,-13.506576419103457,5
results_sop_common_matr_hust_eol85.json,cross_dataset,matr_to_hust,random_forest,25,983.4307391923354,39.37900715826202,97.26232944861977,-14.954930719196119,5
results_sop_common_matr_hust_eol85.json,cross_dataset,matr_to_hust,xgboost,25,1017.4597142537435,134.18481209235887,104.09627782035336,-16.38717802612927,5
results_sop_common_matr_hust_eol85.json,cross_dataset,matr_to_hust,elastic_net,25,98690.38631531791,121359.41363163618,185.96022333934957,-545733.2967954597,5
results_sop_common_matr_hust_eol85.json,cross_dataset,matr_to_hust,random_forest,50,918.336716094125,64.53654271815766,88.58316280347397,-12.951258459208244,5
results_sop_common_matr_hust_eol85.json,cross_dataset,matr_to_hust,catboost,50,932.8212672028396,64.21893330613264,90.80637747961377,-13.467773341191474,5
results_sop_common_matr_hust_eol85.json,cross_dataset,matr_to_hust,xgboost,50,957.7609008789062,23.42487275817867,94.17322994175436,-14.185028192317498,5
