experiment,model,n_cycles,baseline_MAE,baseline_MAE_std,baseline_SMAPE,baseline_R2,baseline_R2_std,k5_MAE,k5_MAE_std,k5_SMAPE,k5_R2,k5_R2_std,k10_MAE,k10_MAE_std,k10_SMAPE,k10_R2,k10_R2_std,k20_MAE,k20_MAE_std,k20_SMAPE,k20_R2,k20_R2_std
matr_to_hust,elastic_net,50,1213.0947419841812,94.9677206118681,137.74528741598527,-19.975031697027788,3.0619157202374527,279.47286256814607,16.745408695365835,19.18370823837577,-0.7194036560812423,0.2866578977712758,250.5851776228607,5.827892894537057,17.19405408973772,-0.3068119452017311,0.07544234432458449,238.3354609966499,4.6795221299380465,16.289428675817543,-0.1323907734639108,0.048807436296445225
matr_to_hust,pls,50,1359.8952449463754,12.266833470280911,166.98263019774717,-24.799945651735054,0.4671870405896456,302.10900479089474,19.49287855544716,19.828691990346957,-1.5053850294940958,0.7986113219353714,245.8609835105113,5.799008450685827,16.85283848302088,-0.26297523281725466,0.06921400648808733,234.74049018074848,3.7813013006572556,16.032140975377988,-0.10668147330424183,0.03492235120108487
matr_to_hust,random_forest,50,997.2770278018468,49.22743787954627,98.97819926152454,-13.283273972284338,1.2560602116829869,319.53455982159505,18.128484322467177,21.268489000088426,-1.962041398324044,1.0301275104281171,245.80079027131873,5.544512111272588,16.70138208040719,-0.21406208588373593,0.03736404695121207,239.15058325579497,4.6332395979951695,16.277603965410066,-0.12252869705480798,0.028196705432828022
matr_to_hust,xgboost,50,926.052572275137,41.07387590502944,88.57467073044333,-11.429076330806677,1.0028766722376854,316.0993517303467,28.180891620638004,21.362635285086093,-1.8394098223933129,1.0937175077446877,246.36632799746386,2.654001261837326,16.774144520675083,-0.23196149687524104,0.021620644995569822,239.67585637678175,4.29115000829371,16.348133159208633,-0.13800530771235636,0.045112041286820406
matr_to_hust,catboost,50,988.4277718292184,47.2556533834955,97.65815624182346,-13.006786514767281,1.2008970850434835,288.5623882591418,16.01498630057297,19.44805954631291,-0.8902341568544374,0.3240490317140289,243.68945876114427,3.8759905934274332,16.599925457232732,-0.20483338128639167,0.036937818814698084,238.16473733579272,6.255876119305072,16.249565071338203,-0.14621837838965585,0.04609409470357186
matr_to_hust,gaussian_process,50,781.741426130119,8.778887229738483,69.05739002141908,-8.134728888535298,0.18383113993864222,119820.5666588118,208924.55719805075,27.428433618068972,-344409366.6714351,680310484.8910413,11166.678935406004,16702.984779719744,26.45867205600871,-2024746.2106768019,3977875.0155305425,351.0669392959874,72.20630854479678,19.585508235921104,-31.06908795323048,31.920673014206937
matr_to_hust,stacking,50,978.3312257456986,44.18242776086594,96.0489286168114,-12.795291140700762,1.0912365915092055,297.1638523603827,11.435104823631098,19.85603936908199,-1.1126871861205339,0.43462800846938937,245.9077833755382,7.478988274627058,16.697919857644195,-0.24704145122126625,0.12208046789907272,237.95701475958305,8.389400794306036,16.1980825888884,-0.11657731678215351,0.08126144585365058
matr_to_hust,elastic_net,100,1007.1228773176387,121.83052062877015,108.39739649212285,-15.545938423091453,3.4277511095583693,431.9973925051254,164.2484145185887,23.39042873970129,-14.311158758019602,16.741367650963145,242.95548405855334,7.1960254057333986,16.554958722568017,-0.22465203063722158,0.09945352705420162,232.9098191214598,4.54856211928939,15.87842872814797,-0.07912119291302296,0.039304992593376185
matr_to_hust,pls,100,1183.0376560534392,162.28015699396354,135.24502872260706,-19.88999942600254,3.610386703246409,335.63609368367145,73.64259834213519,20.727192332428015,-3.8290824711810303,4.557911550242068,237.71711450319793,10.883438589947481,16.382529266227486,-0.18471263344258326,0.15388587996934006,225.50959566054263,9.008362301893364,15.351816161501429,-0.020052516907497916,0.061727118409304935
matr_to_hust,random_forest,100,891.677105487916,77.7059998812655,84.34781454124524,-10.929441215216688,1.5254655467916767,342.74886131941565,46.29593466450083,21.621036799391966,-4.107607342504363,4.907193406926517,245.6909473568548,5.463230405694286,16.661289212756724,-0.24464515501319378,0.08443527867310437,237.80906163227195,2.678786336337608,16.20094973981392,-0.126168946640213,0.024249292546534785
matr_to_hust,xgboost,100,864.8055580040076,98.69607782640826,81.31171141710713,-10.481764399221094,2.1886827291009814,306.8603050231933,19.508089037307712,21.140175069994836,-1.334073871791225,0.5869862023308182,246.2402421000467,5.683391612059465,16.730811467863322,-0.23702902642910356,0.0473135405494267,238.44272921378152,3.7301222591825556,16.240623268475254,-0.1307659549677962,0.04215023775697167
matr_to_hust,catboost,100,861.0411623434178,36.14905816745221,79.47735106127053,-9.995302115770333,0.8085522312208543,305.1707707294243,27.89336838355485,21.137925562911896,-1.5833178313304426,1.1206819528617578,250.85177976164059,5.024625516003621,17.04204519625281,-0.2887637983312164,0.06426195349394627,238.22468292831496,3.7704605835952107,16.247509478109432,-0.1261914119193433,0.029831200189231848
