dataset,experiment,model,n_cycles,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,n_seeds
matr,matr_to_matr,elastic_net,50,3690855.736502748,7381190.358910624,38.28572749890973,3.115141804970258,-9092597345.231754,18185194690.51429,5
matr,matr_to_matr,pls,50,627.1912710383082,777.810928858421,35.59964268710421,5.2170798013756245,-99.69547007594802,199.6960808545048,5
matr,matr_to_matr,random_forest,50,210.8503928242702,47.152265818860215,29.09021328878155,6.081862135784542,0.36050838373928457,0.19025712038177095,5
matr,matr_to_matr,xgboost,50,215.43377532958985,47.27320334306898,29.730133199262514,5.362048442128248,0.27133330208495327,0.20732642691415662,5
matr,matr_to_matr,catboost,50,208.45822916394573,43.76325930749425,28.85200364428575,5.421499452903623,0.34898538673542695,0.14058424946615056,5
matr,matr_to_matr,gaussian_process,50,237.7052408353041,35.69971429425074,32.1462104533543,4.975897776999908,0.18594365351630102,0.1258856929152935,5
matr,matr_to_matr,elastic_net,100,242.34460582990533,46.744316962291585,34.42249708201095,5.31316245826652,0.19262653493120516,0.19010389362645003,5
matr,matr_to_matr,pls,100,241.75237549849726,49.669172658627915,34.23960888178724,6.679907833766509,0.18300880032233863,0.22907014956344515,5
matr,matr_to_matr,random_forest,100,193.31715787274777,45.70192473865056,27.16793861872236,4.969122183876018,0.46208054407768984,0.16728065138998252,5
matr,matr_to_matr,xgboost,100,206.45099761962894,53.545532247220564,28.97096074657852,7.756097140104838,0.3727438409619637,0.16510207204266492,5
matr,matr_to_matr,catboost,100,181.05346797990865,58.84199815215001,24.96037958011083,7.55635059349123,0.5153033852357636,0.22225517206058462,5
matr,matr_to_matr,gaussian_process,100,222.39743381463057,39.94120098449066,30.686258408731288,5.121960539833596,0.2896208593413133,0.1382720516344525,5
hust,hust_to_hust,elastic_net,50,193.36025070006698,35.65939940538696,13.125796043233697,2.5662821075245645,0.23962388279640381,0.24652045087146568,5
hust,hust_to_hust,pls,50,191.8973581134258,29.141169243377743,12.858314737503187,2.2342627050571453,0.22943553013305767,0.21173816229783068,5
hust,hust_to_hust,random_forest,50,200.45261108241712,30.65770566160103,13.588584702620505,2.366502963745571,0.05010083960115279,0.294688317187818,5
hust,hust_to_hust,xgboost,50,206.19476318359375,27.481429531632898,13.987755306976348,2.1310047993930303,0.018948679257309364,0.2862972077472939,5
hust,hust_to_hust,catboost,50,186.0496230407462,20.970250908353414,12.69298461826553,1.6116086141831654,0.2069738117911056,0.23283562287765547,5
hust,hust_to_hust,gaussian_process,50,193.44397438253907,30.051707783029876,13.063262331714807,2.1491165670172587,0.24676098923053463,0.17987843654395597,5
hust,hust_to_hust,elastic_net,100,196.47122983718538,34.04464210200777,13.378112318681312,2.517150701279537,0.24902345379524862,0.23420562745942095,5
hust,hust_to_hust,pls,100,200.1158023323826,30.107357704892568,13.571357522292093,2.0650067585350116,0.20093105616933035,0.2551974105127396,5
hust,hust_to_hust,random_forest,100,191.2716486321068,23.26469440820966,12.93163756645878,1.7948541015248858,0.21147101790856807,0.24979574039115196,5
hust,hust_to_hust,xgboost,100,181.2800577799479,35.866352511110335,12.27313593677415,2.5241798931409525,0.23432765025715252,0.3500979294664287,5
hust,hust_to_hust,catboost,100,191.01236014950044,13.998799009633492,13.018237981219992,1.1319371061412935,0.23431443317168058,0.1725236295163325,5
hust,hust_to_hust,gaussian_process,100,198.02467475299744,21.010008303037626,13.429676400201203,1.7204695300413109,0.23914153424154244,0.16471205046316892,5
