dataset,experiment,model,n_cycles,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,n_seeds
matr,matr_to_matr,elastic_net,50,733.6998926167205,872.71003362447,40.278773486617354,2.8937953045802476,-135.01380895284362,268.9808888050688,5
matr,matr_to_matr,pls,50,1311.2209550344144,2006.13158293904,42.012787174603275,5.908597844928571,-710.386817841403,1420.0528550113377,5
matr,matr_to_matr,random_forest,50,236.32624982829398,31.32911781863119,30.90494133102383,3.4977888159236215,0.09673117192387196,0.10432382033170685,5
matr,matr_to_matr,xgboost,50,287.8574584960937,42.39652424233954,34.918909695579586,4.923129881822935,-0.45579465822479737,0.4151459633050891,5
matr,matr_to_matr,catboost,50,216.72228153695815,40.94614926247639,30.52964156297127,4.2118159791949585,0.31356614397911786,0.15806563968430107,5
matr,matr_to_matr,gaussian_process,50,230.36175396091403,41.922260361134974,32.274978837226605,4.225146216859687,0.2424078542808184,0.0979300548225867,5
matr,matr_to_matr,elastic_net,100,1147.6014339060644,1766.8861805715192,39.80629396413151,3.1453001155527835,-493.0983715112667,986.2773825146131,5
matr,matr_to_matr,pls,100,575.4953159910754,540.2116628090421,41.342005719620424,5.115891572426369,-52.87360585737656,104.14457585815632,5
matr,matr_to_matr,random_forest,100,213.01511785774545,38.10917043544307,29.49025818047055,4.117159979861513,0.36854156746611083,0.16534664264620452,5
matr,matr_to_matr,xgboost,100,248.5963583374023,45.30068408224512,33.04014820565804,5.334763809596135,0.15190256637633545,0.21305549974795804,5
matr,matr_to_matr,catboost,100,204.42252058022174,36.68811081584034,28.382422127046937,4.6765182171374065,0.37112958302265325,0.10790709558068172,5
matr,matr_to_matr,gaussian_process,100,262.8044520850916,40.40302879480574,36.2821493070834,4.067002282469337,0.0844367987086018,0.10357451947180127,5
hust,hust_to_hust,elastic_net,50,222.5388975378571,26.82031997426591,14.947496745046072,1.8855478217744237,0.052363429798477454,0.1678721363279023,5
hust,hust_to_hust,pls,50,235.79422431916265,51.91423448234726,15.795465404772202,3.436452096414836,-0.08417640240485184,0.4199540852998482,5
hust,hust_to_hust,random_forest,50,196.5005175553463,29.6380454792074,13.368939060198283,2.2616491834113526,0.12711381815943054,0.28637507403254453,5
hust,hust_to_hust,xgboost,50,200.06755981445315,30.582297834759224,13.650752702800963,2.3378091158047263,0.07753785735861982,0.27862123304024583,5
hust,hust_to_hust,catboost,50,198.59635074091375,22.113402830242823,13.511086189796348,1.7631351172221637,0.2036477164369408,0.20649551123777055,5
hust,hust_to_hust,gaussian_process,50,198.07681410842704,28.985498263820173,13.552174474241934,2.1123086806657922,0.2083770498332751,0.2003849202422089,5
hust,hust_to_hust,elastic_net,100,203.05495875675578,33.37464338562983,13.715611177498829,2.179779178785535,0.20661669779352038,0.2115515424510241,5
hust,hust_to_hust,pls,100,221.81553545616285,28.761481214400224,15.05184338041138,2.0638937453894206,-0.039237145466174295,0.2797922973622713,5
hust,hust_to_hust,random_forest,100,182.9029848381942,33.42970174385249,12.469224928026424,2.482625415821302,0.290869035664499,0.2385314513923733,5
hust,hust_to_hust,xgboost,100,194.81026814778645,27.349208468153012,13.312970711454563,2.181244508454385,0.22895032428753406,0.2000568242755921,5
hust,hust_to_hust,catboost,100,181.8167357609243,25.297796040998445,12.389995490744884,1.8668757357867107,0.30760520612774556,0.16245652799579766,5
hust,hust_to_hust,gaussian_process,100,182.01461507609923,8.085879225878626,12.290964897367584,0.735061340362388,0.2995265071838798,0.10398741729503935,5
