iter	MAE
195	26.65076011
196	26.61002221
197	26.49384864
198	26.38065364
199	26.35094691
200	26.29166454
201	26.15007149
202	26.06622129
203	25.47818354
204	25.44162415
205	25.38751554
206	25.25572469
207	25.20779651
208	25.00538302
209	24.81349607
210	24.71679232
211	24.59909225
212	24.52068938
213	24.3257504
214	23.83041366
215	23.78283468
216	23.64476234
217	23.61876766
218	23.51500662
219	23.38395575
220	23.34603725
221	23.30715573
222	22.84597085
223	22.73581345
224	22.67955117
225	22.66142137
226	22.60948006
227	22.18175524
228	22.16124529
229	22.11589222
230	21.80892523
231	21.74362662
232	21.64281102
233	21.60236677
234	21.49228597
235	21.4688008
236	21.43860121
237	21.15556671
238	20.99827736
239	20.90218459
240	20.70825125
241	20.63646008
242	20.27175221
243	20.05190753
244	20.02853393
245	19.40201519
246	18.89593498
247	18.57473322
248	18.23771857
249	17.90966168
250	17.60608697
251	17.31132798
252	17.27737155
253	17.26563425
254	17.23272698
255	17.18327051
256	17.15009266
257	17.10308518
258	16.92647715
259	16.90170426
260	16.606353
261	16.36719355
262	16.23183921
263	16.22341462
264	16.00944884
265	15.99941176
266	15.94074886
267	15.86493189
268	15.82757224
269	15.8101484
270	15.71964968
271	15.41790401
272	15.20017046
273	15.19483065
274	15.12908983
275	15.10565075
276	15.07562018
277	14.88321027
278	14.86942243
279	14.72434406
280	14.71897328
281	14.71424136
282	14.63184235
283	14.5953418
284	14.53083214
285	14.52572157
286	14.49638237
287	14.47128021
288	14.40243074
289	14.31326074
290	14.28227267
291	14.1338293
292	13.9928606
293	13.85894372
294	13.73172268
295	13.6108627
296	13.49604571
297	13.38700683
298	13.3694027
299	13.2659089
300	13.16760715
301	13.15116007
302	13.05815674
303	13.04989137
304	13.03468504
305	13.02872295
306	12.92930299
307	12.92405009
308	12.8663335
309	12.76477325
310	12.66845908
311	12.66023924
312	12.65028378
313	12.59629801
314	12.54412441
315	12.46015896
316	12.39696425
317	12.38076731
318	12.35514619
319	12.23727398
320	12.22132764
321	12.17520397
322	12.16687127
323	12.13105104
324	12.11847488
325	12.07577552
326	12.03039731
327	11.98730687
328	11.94470709
329	11.85215883
330	11.81159552
331	11.75977614
332	11.64771467
333	11.60859596
334	11.59458716
335	11.58561197
336	11.54427271
337	11.492349
338	11.42743051
339	11.39618687
340	11.34835588
341	11.22728897
342	11.17290616
343	11.11473874
344	11.05949529
345	11.04890676
346	10.97376985
347	10.90464372
348	10.89541007
349	10.85558797
350	10.77982245
351	10.42411465
352	10.10187555
353	10.0861345
354	10.03011921
355	10.01877033
356	9.935164507
357	9.922586159
358	9.911978382
359	9.900307482
360	9.847848107
361	9.836759533
362	9.826242261
363	9.816621467
364	9.787793552
365	9.74541271
366	9.621481811
367	9.513006928
368	9.484822625
369	9.369227875
370	9.290657613
371	9.255722691
372	9.223146537
373	9.192411486
374	9.121610983
375	9.115938563
376	9.108382806
377	9.103999603
378	8.817446539
379	8.5481973
380	8.292410596
381	8.283763238
382	8.25789521
383	8.194208457
384	8.191555718
385	8.161352296
386	7.949816924
387	7.8984424
388	7.879166433
389	7.876275554
390	7.869574448
391	7.828346069
392	7.818654839
393	7.802572505
394	7.787294288
395	7.772781506
396	7.755410474
397	7.738738552
398	7.702854683
399	7.670918243
