dataset,experiment,model,n_cycles,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,n_seeds
hust,matr_to_hust,elastic_net,50,505.8919736896837,38.8409797536031,40.23222818144029,5.014020675275812,-3.900764009916462,0.5749124405026262,5
hust,matr_to_hust,pls,50,564.9454733452294,70.11693773788781,46.09313277142012,8.309001288301607,-4.816953986841812,1.1866943929803926,5
hust,matr_to_hust,random_forest,50,905.8667330140655,70.1891746645772,86.3317770815448,9.814121396500084,-10.918552107986992,1.6539947258394005,5
hust,matr_to_hust,xgboost,50,932.516135238053,94.25731203574888,90.50387289938526,12.420193204306845,-11.755776165290147,2.0914693553206543,5
hust,matr_to_hust,catboost,50,924.409693943385,161.72978802264657,90.62558609776406,21.285258101076227,-11.760474369698093,3.559978749753651,5
hust,matr_to_hust,gaussian_process,50,790.3029900312647,12.416639173347226,70.14687197358583,1.5591821315740368,-8.303171111331027,0.25853392852480583,5
hust,matr_to_hust,stacking,50,905.2320444227049,93.59586601332818,86.45336883306149,12.36149663111515,-10.987979344194136,2.0942757996236065,5
hust,matr_to_hust,elastic_net,100,733.6418555461057,75.41794845177552,67.86313883242248,8.334782241413405,-8.492572700964207,1.433484154245349,5
hust,matr_to_hust,pls,100,791.9116681398199,22.026637914462597,78.28019228371947,4.936704391620587,-10.279059543617247,1.3141897657077661,5
hust,matr_to_hust,random_forest,100,904.0789126470876,44.940540893825464,85.50777182058853,6.150951257930199,-10.83965169241103,1.0383876649911605,5
hust,matr_to_hust,xgboost,100,926.3055277242289,45.76876152729385,88.84566122769372,6.51117755912251,-11.531267097236556,1.0665172318516674,5
hust,matr_to_hust,catboost,100,914.8696849837366,57.76968719093534,87.23791627778189,8.363600341606732,-11.187120530064226,1.4024613148306337,5
hust,matr_to_hust,gaussian_process,100,780.5341220222568,6.286724472625021,68.90315809236928,0.7720189994107913,-8.113045065241014,0.1370587569157472,5
hust,matr_to_hust,stacking,100,891.1144406290703,63.048032911086125,84.01605892384403,8.518236952036204,-10.585064841098276,1.5180980589747655,5
matr,hust_to_matr,elastic_net,50,7752723.345106375,6933516.590483172,73.27802014205109,3.0961808775077584,-59467373269.82378,53189246815.67266,5
matr,hust_to_matr,pls,50,9338467.004517784,3083896.516608951,74.54397969892825,3.4007020713158522,-71366968984.71158,23783904211.249935,5
matr,hust_to_matr,random_forest,50,691.994784038933,28.070723594477784,67.64521132418629,1.7162543617582433,-3.2990058716899164,0.30313198394643354,5
matr,hust_to_matr,xgboost,50,694.7609043801478,70.20542590735417,67.59025416316635,4.139812321042698,-3.4039205955617176,0.8004656510571628,5
matr,hust_to_matr,catboost,50,732.555465120746,26.403403810790593,70.06337320904743,1.480789604216359,-3.7446776896474034,0.3214631786658695,5
matr,hust_to_matr,gaussian_process,50,720.8981192464469,8.982551922619953,69.43282923004395,0.5045890834950388,-3.6080369376058847,0.11095710054857681,5
matr,hust_to_matr,stacking,50,721.5289390653219,29.00419910078115,69.42126722992545,1.5600395196768992,-3.6273361372184594,0.37632087793008046,5
matr,hust_to_matr,elastic_net,100,7752695.274341458,6933513.871043734,69.49508790805484,2.224953133807628,-59467373272.31726,53189246814.49051,5
matr,hust_to_matr,pls,100,10868603.605920043,6193524.994587419,73.68013536660058,1.7207425535376772,-83255396617.6654,47573378711.43035,5
matr,hust_to_matr,random_forest,100,736.5239423468072,24.882291600832147,70.16663814049542,1.3665525112423356,-3.8157275007668288,0.31692780397484416,5
matr,hust_to_matr,xgboost,100,752.3075306027434,25.021538970348637,71.00654987974647,1.319580487399143,-4.0102790738050285,0.31590127232770127,5
matr,hust_to_matr,catboost,100,771.4672399084301,27.52026988781865,72.13583681438365,1.4785091068809033,-4.265840171658034,0.3512664503169456,5
matr,hust_to_matr,gaussian_process,100,720.8481739789161,8.426901147777826,69.42791183640838,0.4783302922074408,-3.608917634844377,0.1012504399554644,5
matr,hust_to_matr,stacking,100,724.4902448950149,37.03298729281848,69.4967255443659,2.1011681506023647,-3.66909055274255,0.4552266882247907,5
