dataset,experiment,model,n_cycles,MAE_mean,MAE_std,MAE_ci95_lower,MAE_ci95_upper,SMAPE_mean,SMAPE_std,SMAPE_ci95_lower,SMAPE_ci95_upper,R2_mean,R2_std,R2_ci95_lower,R2_ci95_upper,n_seeds
hust,matr_to_hust,elastic_net,50,1213.0947419841812,94.9677206118681,1144.835475357607,1280.671734711858,137.74528741598527,18.302203029525042,132.49931325388087,142.76938078845782,-19.975031697027788,3.0619157202374527,-27.815755582695857,-15.327230623960935,5
hust,matr_to_hust,pls,50,1359.8952449463754,12.266833470280911,1293.5016861658946,1426.1269807936853,166.98263019774717,2.896215103017556,162.62332297770934,171.13913520861894,-24.799945651735054,0.4671870405896456,-34.30519284511261,-19.231862989661,5
hust,matr_to_hust,random_forest,50,997.2770278018467,49.22743787954631,935.9185504634345,1058.4907500519482,98.97819926152455,7.569728192697693,95.44980559524461,102.40171041338992,-13.283273972284338,1.2560602116829869,-18.501725882673874,-10.170092274930322,5
hust,matr_to_hust,xgboost,50,926.0525693674606,41.073879210910164,864.8263951982735,987.7276825521014,88.57467034313012,5.896809232952497,84.78490530333127,92.18091131028379,-11.429076260273536,1.002876742028332,-15.940411095156566,-8.673914908125376,5
hust,matr_to_hust,catboost,50,988.4277718292184,47.2556533834955,927.1753490702846,1048.8099239144935,97.65815624182346,7.008219421009858,94.25616799957149,100.97678392787812,-13.006786514767281,1.2008970850434835,-18.061611364528556,-9.960652157475236,5
hust,matr_to_hust,gaussian_process,50,781.741426130119,8.778887229738483,720.3380494865457,842.7853222578067,69.05739002141908,1.0884555018072388,65.19145950503173,72.73875783577773,-8.134728888535298,0.18383113993864222,-11.512269305071044,-6.118763409842623,5
hust,matr_to_hust,stacking,50,978.3312257456985,44.182427760866055,916.7477479769823,1040.3810009843453,96.04892861681141,6.641342679410774,92.43044446424784,99.60154952369419,-12.795291140700764,1.0912365915092106,-17.836374232817132,-9.782741204620944,5
hust,matr_to_hust,elastic_net,100,1007.1228773176387,121.83052062877015,907.5740087304105,1107.2445703553628,108.39739649212285,19.63009391335534,96.76482544487055,120.06398938098069,-15.545938423091453,3.4277511095583693,-22.34937693498489,-11.442468545959791,5
hust,matr_to_hust,pls,100,1183.0376560534392,162.28015699396354,1098.0232028764938,1264.2669075402887,135.24502872260706,22.55602129798625,127.2855257827634,142.6986774295212,-19.88999942600254,3.610386703246409,-27.866537788238315,-15.185552528278663,5
hust,matr_to_hust,random_forest,100,891.6771054879158,77.70599988126544,820.859946359398,959.2042801904712,84.34781454124524,9.646582262726328,79.1210988955033,89.3023132692506,-10.929441215216688,1.5254655467916762,-15.492161085458179,-8.217571381348836,5
hust,matr_to_hust,xgboost,100,864.8055564933136,98.69608087559897,790.7715113347028,936.3654581644789,81.31171126864771,13.277546881857006,75.35781467453107,87.0553307530613,-10.481764376670345,2.188682776826244,-14.956524313470544,-7.83278745708113,5
hust,matr_to_hust,catboost,100,861.0411623434178,36.14905816745221,795.4273627364627,925.4022335628015,79.47735106127053,4.7570602210587305,74.94937978506815,83.75320698975949,-9.995302115770333,0.8085522312208543,-14.133696533453136,-7.534183073396081,5
hust,matr_to_hust,gaussian_process,100,781.1531769368352,8.78339503178927,719.7097878981157,842.3190958217101,68.98240733300261,1.0896577955366737,65.10006375031556,72.6748524409054,-8.124868589002542,0.18370474188932068,-11.500936008307253,-6.109765144364657,5
hust,matr_to_hust,stacking,100,889.1355927174533,29.43756352632523,823.72454545988,952.8934836767655,83.26364845743876,3.9375763549448615,78.69843510384786,87.62791712182391,-10.657300165665857,0.6452262219860179,-15.03046135689021,-8.049558116716202,5
sandia,matr_to_sandia,elastic_net,50,4000530.5771051706,7999934.016274285,369.76915195707596,12000707.941403963,174.75177268468198,4.277423488410245,161.0127981831402,186.5249118786163,-3419915782.939579,6839831566.459992,-13747058631.959482,0.4520174571183343,5
sandia,matr_to_sandia,pls,50,463.7391697123365,56.806107449657596,325.9713325089154,623.7806833042141,170.75481000431634,3.3388837240703486,154.31506466634772,184.8795819744556,0.5580383035524136,0.13953312240582036,0.4561330070839459,0.6541992148184422,5
sandia,matr_to_sandia,random_forest,50,715.9432047929938,23.359453857198154,503.8424054649412,960.9027181417763,93.58061181057198,4.1847448184371405,84.14519262663443,103.3364972622928,-0.025792925554184266,0.04503822703365393,-0.15876221825595777,0.016065159549681924,5
sandia,matr_to_sandia,xgboost,50,776.762305439314,22.06655669208514,575.5200707251422,1011.877029253333,101.4939038995935,2.7413309463382167,92.94186323257219,110.37428778994959,-0.06248448935290307,0.07973950154760327,-0.19319119364616838,-0.02401887491018019,5
