dataset,model,n_cells,mae,rmse,spearman
luh,baseline,84,0.00022493552284595943,0.00035201532512168094,0.8190341196719653
luh,elasticnet,84,0.0001819680829288584,0.000291069392893439,0.9147311936822922
luh,catboost,84,0.0001635794630308356,0.00028738257112091936,0.901144072086666
hust,baseline,77,9.730271628544691e-06,1.3442155443646445e-05,0.9879331195120666
hust,elasticnet,77,4.2306902937904395e-05,5.317926414721665e-05,0.9878016720121983
hust,catboost,77,1.104217649732091e-05,1.644148099325081e-05,0.9855933540144066
