dataset,cell_id,status,q0,retirement_cycle,retirement_throughput,available_future_throughput,soh_t0,recent_slope,early_slope,slope_change,curvature,history_mad,max_drop,linearity_r2,slope_ratio,history_range,future_temp,future_charge_rate,future_discharge_rate,future_soc_min,future_soc_max,chemistry,future_protocol,duty_stratum,local_noise,future_soh,target_g,target_horizon,target_instability,baseline_score,model_score
luh,luh_P022_3_S05_C04,eligible_primary,2.933379814673473,399.0,357.21290072192716,55.03806747359903,0.8146404116709589,-0.0005124485868951997,-0.0003980555901800643,-0.00011439299671513545,-2.516837484785016e-06,0.010850223159887207,0.010040283920252135,0.9823338446086016,-1.2873794503511147,0.049304632891035705,0.0,0.33,1.0,,,NMC,T0_C0.33_D1_Snan-nan,T0_C0.33_D1_Snan-nan,1.646016656309257e-16,0.7121903534239079,0.00204900116494102,50.0,1.3485037373120124e-05,0.0008182440693276815,0.0015464944648446426
luh,luh_P025_1_S01_C09,eligible_primary,2.940451520703161,979.0,871.6157075111308,383.7925927793325,0.814999100738307,-0.00016039859151815777,-0.00016313437616679801,2.7357846486402446e-06,5.6201234582486416e-08,0.004268727688983842,0.000883861994170454,0.9999728740627436,-0.9832298702890001,0.01621190671187689,0.0,0.33,0.33,,,NMC,T0_C0.33_D0.33_Snan-nan,T0_C0.33_D0.33_Snan-nan,1.646016656309257e-16,0.8074100155792363,0.0001517817031814128,50.0,6.031022689668468e-05,0.00017814401772510278,0.0002855273290364582
luh,luh_P025_2_S02_C09,eligible_primary,2.9268028060542495,943.0,839.2586238117896,327.1723612054517,0.8148685475741488,-0.00016619554423804138,-0.00017334897531374126,7.15343107569988e-06,1.3062394611508444e-07,0.004414854964605974,0.0009208317254670861,0.9998700720578567,-0.9587339292732882,0.016922036991366296,0.0,0.33,0.33,,,NMC,T0_C0.33_D0.33_Snan-nan,T0_C0.33_D0.33_Snan-nan,1.646016656309257e-16,0.8064682789670752,0.00016800537214147314,50.0,3.017979052131091e-05,0.0001529677450387275,0.0001685516933706116
luh,luh_P025_3_S03_C09,eligible_primary,2.949370847898807,955.0,850.4324987626602,363.0201732199249,0.8148811527282959,-0.00016750576376343336,-0.00017222272812455284,4.716964361119484e-06,9.5167254326486e-08,0.004430229682392095,0.0009228033836005123,0.9999307774205003,-0.9726112551317376,0.016945503840535614,0.0,0.33,0.33,,,NMC,T0_C0.33_D0.33_Snan-nan,T0_C0.33_D0.33_Snan-nan,1.646016656309257e-16,0.8067358611969823,0.00016290583062627205,50.0,3.278975393127785e-05,0.0001674393534940301,0.00015768165662866714
luh,luh_P026_1_S01_C07,eligible_primary,2.935214830868402,747.0,668.4101620089015,123.9609997660483,0.8149945591649308,-0.0003100504314340997,-0.00024312396148053138,-6.69264699535683e-05,-1.2007594650349194e-06,0.007152978461964166,0.001644906789478151,0.9963493624615258,-1.2752771448195064,0.027596511921488154,0.0,0.33,1.0,,,NMC,T0_C0.33_D1_Snan-nan,T0_C0.33_D1_Snan-nan,2.5769787191268587e-05,0.7854890351957278,0.0005901104793840606,50.0,0.00017039327962296087,0.0008711137409183924,0.0010448642966627724
luh,luh_P026_2_S02_C07,eligible_primary,2.946438503949202,777.0,696.0549077479594,84.10863871627384,0.8149922937029299,-0.0003022634912329449,-0.0002578594610944836,-4.440403013846128e-05,-8.667142919228065e-07,0.0076700898021414,0.001603321858539064,0.9979376891246214,-1.1722024468289374,0.02819105133145683,0.0,0.33,1.0,,,NMC,T0_C0.33_D1_Snan-nan,T0_C0.33_D1_Snan-nan,1.646016656309257e-16,0.74541146120911,0.0013916166498763993,50.0,3.235325961341751e-05,0.0007257652305579624,0.0005502610269119592
luh,luh_P026_3_S03_C07,eligible_primary,2.9330839126024193,688.0,618.3978825477988,112.44294221192888,0.8146427918988999,-0.00038716154973138066,-0.00032016144720618394,-6.700010252519672e-05,-1.4217750377829795e-06,0.00907060050157904,0.002975857029732354,0.9958969030666487,-1.209269739095253,0.03572824366324068,0.0,0.33,1.0,,,NMC,T0_C0.33_D1_Snan-nan,T0_C0.33_D1_Snan-nan,1.646016656309257e-16,0.7858091052685205,0.0005766737326075866,50.0,0.0006911305945300039,0.0009246812974726133,0.0009148124903111526
luh,luh_P027_2_S02_C05,eligible_primary,2.931260062156458,316.0,291.1941439795263,50.78126261850849,0.8148750453636168,-0.0010245564687394858,-0.0007326461953079138,-0.000291910273431572,-6.231190772952578e-06,0.019670595485691444,0.012028706666182276,0.9787083407222936,-1.3984327978512043,0.09200222824669668,0.0,1.0,1.0,,,NMC,T0_C1_D1_Snan-nan,T0_C1_D1_Snan-nan,1.646016656309257e-16,0.6901483264398708,0.0024945343784749194,50.0,,0.0014956239203788072,0.0015193468236637708
luh,luh_P027_3_S03_C05,eligible_primary,2.934655080675344,330.0,303.10688744492285,67.9675702821209,0.8145637100747002,-0.0011412841015252175,-0.0006102181315780781,-0.0005310659699471394,-1.0344563846837035e-05,0.017106993833808093,0.007774366985039638,0.96183040770922,-1.8702887417877205,0.0851063642718729,0.0,1.0,1.0,,,NMC,T0_C1_D1_Snan-nan,T0_C1_D1_Snan-nan,1.646016656309257e-16,0.7366069632309075,0.0015591349368758545,50.0,0.00016047411966315088,0.0022509337185002884,0.0021878962031311533
luh,luh_P029_1_S06_C08,eligible_primary,2.920356246068688,227.0,199.77162271226135,462.64895313830766,0.8148634810557089,-0.0003765783272795156,-0.0008663288346632195,0.0004897505073837039,8.857874864016189e-06,0.01264705973632263,0.004775755326995479,0.9549053967353969,-0.4346828966230915,0.059388802161379095,10.0,0.33,0.33,,,NMC,T10_C0.33_D0.33_Snan-nan,T10_C0.33_D0.33_Snan-nan,3.292033312618514e-16,0.8035680252963207,0.00022590911518776568,50.0,1.0777000762246854e-05,0.00033443050008262893,0.0002641647936281735
luh,luh_P029_2_S08_C07,eligible_primary,2.9346770298588325,238.0,209.25134963001224,466.6529868990581,0.8149234918193317,-0.00035570353463152267,-0.0007782165916294907,0.00042251305699796804,8.073545099721717e-06,0.011435369328533895,0.004904037477666212,0.9490530765537513,-0.45707523902403935,0.053629114131802824,10.0,0.33,0.33,,,NMC,T10_C0.33_D0.33_Snan-nan,T10_C0.33_D0.33_Snan-nan,3.292033312618514e-16,0.8032128454129299,0.00023421292812803474,50.0,3.071183501447468e-05,0.0003158883609834787,0.0002568176886026467
