scenario,experiment,source,target,model,n_cycles,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,train_cells_mean,calibration_cells_mean,test_cells_mean,best_epoch_mean,n_runs,MAE_cluster_ci95_lower,MAE_cluster_ci95_upper,SMAPE_cluster_ci95_lower,SMAPE_cluster_ci95_upper,R2_cluster_ci95_lower,R2_cluster_ci95_upper,bootstrap_prediction_rows,bootstrap_distinct_cells
naive_cross,hust_to_luh,hust,luh,pytorch_mamba_library,100,869.5855643365351,94.57498470912175,97.38647140635847,4.417258595849459,-4.800387654737948,1.1472771543346238,53.0,12.0,106.0,50.6,5,785.0773300562574,950.8152586479272,86.6253456855559,107.82133118964647,-7.062611884235135,-3.401645609581935,530,106
naive_cross,hust_to_matr,hust,matr,pytorch_mamba_library,100,742.5675185825478,52.86823130873689,72.18258559540718,6.25544744894415,-3.9972556479600585,0.6674527439264011,53.0,12.0,129.0,25.8,5,692.6082994086142,788.853378977577,65.85304526733769,78.25820052987793,-6.525458086315087,-2.67288190406336,645,129
naive_cross,hust_to_sandia,hust,sandia,pytorch_mamba_library,100,1267.9008927977143,88.57690638903449,132.6010293295157,2.453072693890038,-0.5126060181923069,0.16518927905975764,53.0,12.0,50.0,34.0,5,1174.3400981958146,1355.0598055836128,119.46502983601,143.74144597145798,-1.7265051055877252,-0.13028288238170105,250,50
naive_cross,luh_to_hust,luh,hust,pytorch_mamba_library,100,901.9017515129993,129.37949219945574,86.5741109593713,17.762815060495928,-11.326834856893916,2.9368930937613666,74.0,16.0,77.0,157.8,5,835.5746062081107,972.5957639859482,81.95278980344932,90.93810617082467,-16.031651387321563,-8.577702299488319,385,77
naive_cross,luh_to_matr,luh,matr,pytorch_mamba_library,100,366.16366092942997,54.17182563971028,48.73419485874161,7.148709865754771,-0.8957953455609822,0.40968393684482096,74.0,16.0,129.0,182.8,5,323.43375114730514,414.93596589335294,44.97182436989432,52.99485227016501,-1.2198147905363357,-0.6929192568500179,645,129
naive_cross,luh_to_sandia,luh,sandia,pytorch_mamba_library,100,466.3536351930502,95.33349389241747,52.3149949458068,6.865266475915132,0.2663901828891255,0.3173869242722995,74.0,16.0,50.0,168.4,5,274.1073233516391,694.3888911126547,42.02335929526055,63.28401132310187,0.12419953046620888,0.38332476575177404,250,50
naive_cross,matr_to_hust,matr,hust,pytorch_mamba_library,100,766.132124243613,111.0109838506917,69.99502834954207,11.394028139530972,-8.317757626127595,1.8890563837149374,89.0,20.0,77.0,108.2,5,700.800049176147,832.6172755874167,65.22084939106152,74.75541965203145,-11.695831971898341,-6.344524528950194,385,77
naive_cross,matr_to_luh,matr,luh,pytorch_mamba_library,100,359.7942005013107,28.93189889996354,79.56240973779548,13.40277390607414,-0.37813786236179314,0.23165417035498956,89.0,20.0,106.0,79.8,5,308.4453364565299,417.2948826744956,72.77582139913183,86.41109180808537,-0.583662993851568,-0.23708277657616292,530,106
naive_cross,matr_to_sandia,matr,sandia,pytorch_mamba_library,100,676.9705314482094,158.2659295548449,98.75039472997904,39.91446622472843,-0.058765191165411304,0.11436916818705861,89.0,20.0,50.0,79.6,5,459.5609223798365,922.4194575092732,90.61338858195411,106.89344524696403,-0.19108926614096952,-0.010612371543930682,250,50
naive_cross,sandia_to_hust,sandia,hust,pytorch_mamba_library,100,1354.9086432512036,523.2415628096725,61.518570958601615,18.909159894214085,-27.792642333486164,15.963320470436543,34.0,8.0,77.0,32.0,5,1286.5616718341755,1418.461930019687,57.57775154421265,65.13540075191167,-38.80583398788433,-21.470606803686568,385,77
naive_cross,sandia_to_luh,sandia,luh,pytorch_mamba_library,100,257.6487409694417,78.3449289382208,47.11550050021666,4.415180403100907,0.1829950927436889,0.470094579288881,34.0,8.0,106.0,25.0,5,224.47179273818662,293.70086115341894,43.7737163555527,50.77826114437078,-0.02863684226862167,0.3291216618322518,530,106
naive_cross,sandia_to_matr,sandia,matr,pytorch_mamba_library,100,2131.0865126952,392.4284202148443,117.16309259620216,8.48379940363301,-36.96181872360477,12.917007403056822,34.0,8.0,129.0,31.4,5,2039.8064415890688,2218.4585283198903,111.99153579875708,122.3631235362321,-56.87034178915063,-26.79223918794794,645,129
within_split,hust_to_hust,hust,hust,pytorch_mamba_library,100,246.1792123668562,10.794647270852693,16.946935437001265,0.5620903271555562,-0.17039118397527805,0.15087789385514008,53.0,12.0,12.0,21.4,5,199.12101440267526,298.44654054503303,13.474813768760528,20.724505563966893,-0.547375763138591,0.04136916113585727,60,43
within_split,luh_to_luh,luh,luh,pytorch_mamba_library,100,123.3859007260426,16.766995264925463,19.17403718284846,2.3759900047421416,0.7362987570925407,0.06522723903175824,74.0,16.0,16.0,146.0,5,85.26501329618453,164.98697336424036,14.850036833181498,23.25529116815563,0.5194480704470708,0.8572804577700385,80,53
within_split,matr_to_matr,matr,matr,pytorch_mamba_library,100,221.31190764600234,41.14690093270926,28.57236507550747,5.195989492079848,0.023808604779501065,0.3097170708650438,89.0,20.0,20.0,64.6,5,169.78035673446104,281.1496479297327,22.137610309258882,36.00067950842734,-0.6171712252064603,0.45250548081101194,100,75
within_split,sandia_to_sandia,sandia,sandia,pytorch_mamba_library,100,165.34427394915056,138.5185788278732,26.911610110264604,11.581730346016966,0.7872649886459386,0.3666364080191143,34.0,8.0,8.0,46.4,5,63.51500785091827,329.322221008337,19.942475704358735,36.149271808492216,0.38299143025951116,0.9826869754195722,40,31
