experiment,source,target,model,n_cycles,adapter_type,k,baseline_MAE,baseline_MAE_std,baseline_SMAPE,baseline_R2,baseline_R2_std,adapted_MAE,adapted_MAE_std,adapted_SMAPE,adapted_R2,adapted_R2_std,adapter_slope_mean,adapter_intercept_mean,delta_MAE,delta_R2
matr_to_hust,matr,hust,elastic_net,100,residual_mean,5,795.6722005940848,114.000433576879,72.23841840762097,-10.738655065396356,4.685322546981398,525.1313405279561,291.16202563477736,37.29167172810179,-6.455232389559617,8.841322699969533,1.0,625.62871575423,-270.54086006612863,4.283422675836739
matr_to_hust,matr,hust,elastic_net,100,residual_mean,10,795.6722005940848,114.000433576879,72.23841840762097,-10.738655065396356,4.685322546981398,507.1506687699495,280.5830646657145,35.85881490727526,-5.649874244850487,7.641575797158509,1.0,650.2864437807568,-288.52153182413525,5.088780820545869
matr_to_hust,matr,hust,elastic_net,100,residual_mean,15,795.6722005940848,114.000433576879,72.23841840762097,-10.738655065396356,4.685322546981398,508.9727867932643,287.40198288431924,34.75427801285662,-5.734179830450271,8.046289418292341,1.0,639.955500823732,-286.6994138008205,5.004475234946085
matr_to_hust,matr,hust,elastic_net,100,residual_mean,20,795.6722005940848,114.000433576879,72.23841840762097,-10.738655065396356,4.685322546981398,503.8911317445644,281.70123034202794,35.96122329984716,-5.329003912319207,7.257157952423463,1.0,620.7475173134928,-291.78106884952035,5.409651153077149
matr_to_hust,matr,hust,elastic_net,100,linear,5,795.6722005940848,114.000433576879,72.23841840762097,-10.738655065396356,4.685322546981398,288.27677462161523,14.825131053452653,20.357832731131293,-0.8696487791787909,0.3469036782043114,-0.28883297455150236,1692.7792519704064,-507.3954259724695,9.869006286217566
matr_to_hust,matr,hust,elastic_net,100,linear,10,795.6722005940848,114.000433576879,72.23841840762097,-10.738655065396356,4.685322546981398,247.03309832149952,5.634685718151056,16.865926342301602,-0.25379220291673565,0.045246545788628134,-0.08695036227209796,1565.7057785629372,-548.6391022725852,10.48486286247962
matr_to_hust,matr,hust,elastic_net,100,linear,15,795.6722005940848,114.000433576879,72.23841840762097,-10.738655065396356,4.685322546981398,242.40317581023382,4.052426736481503,16.54368870787606,-0.1876734417197835,0.051148631486998546,-0.13549653101672124,1596.1926586418326,-553.2690247838509,10.550981623676574
matr_to_hust,matr,hust,elastic_net,100,linear,20,795.6722005940848,114.000433576879,72.23841840762097,-10.738655065396356,4.685322546981398,238.7375968525189,2.806503726943039,16.27925189025257,-0.134000822976622,0.03314389827252307,-0.16087738310952454,1610.1541608543166,-556.9346037415659,10.604654242419734
matr_to_hust,matr,hust,pls,100,residual_mean,5,802.8941287836452,79.15579076722295,77.56055886841216,-10.730996531477,2.1024762167438937,619.1550277123908,244.8590701979511,44.601120179221724,-6.973754871119873,5.981219274641939,1.0,629.0974554032223,-183.73910107125437,3.7572416603571277
matr_to_hust,matr,hust,pls,100,residual_mean,10,802.8941287836452,79.15579076722295,77.56055886841216,-10.730996531477,2.1024762167438937,600.7432923435601,239.57046576394714,43.002557316685774,-6.030172667173559,4.892857327100519,1.0,642.2380116110675,-202.15083644008507,4.700823864303441
matr_to_hust,matr,hust,pls,100,residual_mean,15,802.8941287836452,79.15579076722295,77.56055886841216,-10.730996531477,2.1024762167438937,602.023810019499,246.49380709639,42.128040657543586,-5.89388070566722,5.009096995941445,1.0,629.3471904328228,-200.8703187641462,4.83711582580978
matr_to_hust,matr,hust,pls,100,residual_mean,20,802.8941287836452,79.15579076722295,77.56055886841216,-10.730996531477,2.1024762167438937,598.6296189085373,242.3594695326348,43.16227169376839,-5.80505663571397,4.790600001999469,1.0,610.7541340751824,-204.26450987510793,4.9259398957630305
matr_to_hust,matr,hust,pls,100,linear,5,802.8941287836452,79.15579076722295,77.56055886841216,-10.730996531477,2.1024762167438937,296.6534267016531,32.4622475580827,20.642318563034365,-1.0776903078327034,0.6487811153113466,-0.1687917470983846,1612.178856577795,-506.24070208199214,9.653306223644297
matr_to_hust,matr,hust,pls,100,linear,10,802.8941287836452,79.15579076722295,77.56055886841216,-10.730996531477,2.1024762167438937,243.89260464021405,4.946444663313716,16.6064905827321,-0.21252346568360933,0.034558541219626024,-0.10795747387790453,1584.5414191122168,-559.0015241434312,10.51847306579339
matr_to_hust,matr,hust,pls,100,linear,15,802.8941287836452,79.15579076722295,77.56055886841216,-10.730996531477,2.1024762167438937,239.40670762341648,2.411318556259171,16.32197592888972,-0.15520367991804251,0.04997127219163125,-0.11583348596341954,1582.7852563693036,-563.4874211602287,10.575792851558958
