dataset,experiment,model,n_cycles,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,n_seeds
hust,matr_to_hust,elastic_net,50,893.9782090505448,211.07436461265854,88.54022708989666,34.703551327166416,-11.606159075917475,5.985137616040969,5
hust,matr_to_hust,pls,50,1224.769077917682,233.6009958513586,144.6608933476678,38.03029549589178,-21.14850714859651,6.341090901428404,5
hust,matr_to_hust,random_forest,50,880.8990020043955,44.408403679178,82.7232477555434,6.111039662567196,-10.489060933565897,1.0418020579908522,5
hust,matr_to_hust,xgboost,50,766.0127614999747,150.60735035473874,69.57835732573929,17.351814286055205,-8.317434669836397,2.6896255627255288,5
hust,matr_to_hust,catboost,50,890.5224524206964,49.36342803939386,83.8668014941431,6.69659371708424,-10.665579903233619,1.0932895117437516,5
hust,matr_to_hust,gaussian_process,50,781.7414261575921,8.778887229952812,69.05739002510728,1.0884555018215851,-8.134728888831297,0.18383113994038705,5
hust,matr_to_hust,stacking,50,902.0267801057687,67.32512834386709,85.64048492322414,9.111868610150403,-10.958557880736922,1.5856484682581957,5
hust,matr_to_hust,elastic_net,100,1061.190688307032,135.5042448107829,112.90084064862238,22.226813136663672,-16.070331921951144,3.7611520203011586,5
hust,matr_to_hust,pls,100,1282.607007332477,110.39279562460534,152.997451843565,18.96875041999059,-22.646230986527062,2.964174747505988,5
hust,matr_to_hust,random_forest,100,864.4746151802968,89.37457092727423,81.11041927143252,10.29691752257484,-10.41755380262627,1.5765339363731852,5
hust,matr_to_hust,xgboost,100,836.0663564706778,145.47118296496612,79.17149561844596,18.259360573277373,-10.23402497553381,2.9318072338571612,5
hust,matr_to_hust,catboost,100,885.1717601181059,38.77520952453666,82.6412596039856,5.179651772177381,-10.52762422862383,0.9130660575576731,5
hust,matr_to_hust,gaussian_process,100,781.7414261463931,8.778887220583291,69.05739002358568,1.0884555005383845,-8.134728888714015,0.1838311398405937,5
hust,matr_to_hust,stacking,100,858.913323092361,50.720390809880925,79.36045608702236,6.348036887563562,-10.021030211046098,1.0174203095520236,5
matr,hust_to_matr,elastic_net,50,1.391051758327937e+107,2.782103516655874e+107,56.00672666892215,10.785454191686258,-9.574495195857007e+211,inf,5
matr,hust_to_matr,pls,50,1.5308915447834732e+143,3.0617830895669464e+143,71.30109236537264,14.665101336949315,-1.1596265639489761e+284,inf,5
matr,hust_to_matr,random_forest,50,539.4564811702178,54.46937122998623,57.991254477382356,3.662174424873569,-1.7115224412443866,0.5044777701467283,5
matr,hust_to_matr,xgboost,50,575.045209828458,48.362126277007654,60.4063656713397,3.299664549479227,-2.0423051770665697,0.43163323926930014,5
matr,hust_to_matr,catboost,50,618.9794836325049,64.90452146416456,63.242910762219786,4.118808984944089,-2.4619789070540525,0.6542893046824021,5
matr,hust_to_matr,gaussian_process,50,701.9516978824125,39.5181560795724,68.2902546899801,2.3783131744915966,-3.3924429479297737,0.4485508321458693,5
matr,hust_to_matr,stacking,50,602.2476595211867,47.528703565029126,62.26546861981346,3.050247284894445,-2.283531048498859,0.4755766866869851,5
matr,hust_to_matr,elastic_net,100,1.5171547203023492e+84,3.034309440604698e+84,51.824194817369765,3.8809531825883576,-1.1389090704910625e+166,inf,5
matr,hust_to_matr,pls,100,3.715083403378887e+73,7.430166806757774e+73,55.57229007938572,5.652426377436622,-6.829146708868822e+144,1.3658293417737644e+145,5
matr,hust_to_matr,random_forest,100,552.0172913730056,41.29925920081837,58.88373239814937,2.7230331859585792,-1.8043483909457152,0.39211869884346845,5
matr,hust_to_matr,xgboost,100,586.3087894410126,39.20218599063137,61.03879586462507,2.4741714973929185,-2.1355775790070908,0.3961784799648589,5
matr,hust_to_matr,catboost,100,568.4082490802036,33.333527536592776,59.98285855763711,2.291440650625283,-1.9701308348572923,0.2947769226871675,5
matr,hust_to_matr,gaussian_process,100,594.7090300901954,70.65502088885437,61.43022269497258,4.892938105712774,-2.2703235936579946,0.6423210360094422,5
matr,hust_to_matr,stacking,100,561.4370899153158,54.09864422507433,59.49433867548267,3.5512802000555204,-1.9025328154085586,0.5265787166770874,5
