scenario_label,protocol,direction,model,confidence_level,k_target,k_adapter,adapter_type,coverage_mean,coverage_wilson95_lower_mean,coverage_wilson95_upper_mean,finite_interval_fraction_mean,coverage_short_life_mean,coverage_long_life_mean,short_long_coverage_gap_mean,median_width_mean,winkler_mean_mean,MAE_median,MAE_mean,SMAPE_median,SMAPE_mean,R2_median,R2_mean,finite_q_mean,n_runs
"Target-domain CP, no adapter",Target CP,LUH -> SANDIA,gaussian_process,0.9,15.0,,none,0.9505714285714286,0.8294662049910082,0.982552729354372,1.0,0.9994117647058824,0.9044444444444444,0.0949673202614378,5722.310409842546,6081.231658957912,613.270948100288,612.1986392769763,74.72435446035325,74.78695733175925,-0.104503123897873,-0.1067389542527762,1.0,100
"Target-domain CP, no adapter",Target CP,LUH -> SANDIA,gaussian_process,0.9,20.0,,none,0.9106666666666666,0.7631101611401203,0.9649908385996602,1.0,0.998,0.8233333333333333,0.1746666666666666,5328.517658839535,6119.730722824697,623.0219211853721,612.4293502495884,74.77942921542376,75.22968463627653,-0.109943917545117,-0.1099169786674599,1.0,100
Linear target-adapted CP,Linear-adapted CP,MATR -> HUST,catboost,0.9,5.0,5.0,linear,0.8294029850746268,0.7325380280196008,0.8905434377605178,1.0,0.82,0.8385294117647057,0.1638413547237076,1091.608172458332,1683.8669826939822,269.0884402230006,296.7002759132111,18.180281981024393,20.505650444074572,-0.4431352291863266,-0.9960516459766188,0.0,100
Linear target-adapted CP,Linear-adapted CP,MATR -> HUST,catboost,0.9,10.0,10.0,linear,0.9052631578947368,0.8099980373337461,0.9493525912591028,1.0,0.9121428571428573,0.8986206896551724,0.1033743842364531,1121.3680461362592,1343.1050588819337,245.41692888106468,249.4512521281324,16.759010754170635,16.98648159316827,-0.1869859908404463,-0.2834995958477396,1.0,100
Linear target-adapted CP,Linear-adapted CP,MATR -> HUST,catboost,0.9,15.0,15.0,linear,0.948936170212766,0.8505825811411176,0.9794486763967412,1.0,0.9543478260869566,0.94375,0.0588224637681159,1163.9099996893526,1263.290714490595,238.9541032991705,241.182714515247,16.44467688163583,16.42247939748106,-0.103601294373627,-0.1665950619357956,1.0,100
Linear target-adapted CP,Linear-adapted CP,MATR -> HUST,catboost,0.9,20.0,20.0,linear,0.8975675675675676,0.7660261435582573,0.9543203095192968,1.0,0.9061111111111112,0.8894736842105263,0.1024269005847952,984.7960239734064,1182.982001777239,240.4718854481734,240.99809927955383,16.34371550321235,16.38536354489977,-0.0723802532566771,-0.1394762425870777,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> HUST,catboost,0.9,5.0,5.0,residual_mean,0.8388059701492537,0.7420598184215715,0.8988078423490985,1.0,0.8393939393939394,0.8382352941176471,0.1849019607843137,994.1853359063686,1378.0800199096543,253.3058624634392,265.15796579045457,17.24537942838375,18.143939047846956,-0.2272871631510325,-0.3925073840687015,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> HUST,catboost,0.9,10.0,10.0,residual_mean,0.906140350877193,0.809796854610196,0.951197390061858,1.0,0.9007142857142857,0.9113793103448276,0.1183004926108374,1065.6577622469665,1260.456978807688,253.1462064216249,256.07873957904934,17.25385853358623,17.478660029956597,-0.2008573572696509,-0.2834284945929713,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> HUST,catboost,0.9,15.0,15.0,residual_mean,0.9342553191489362,0.8331116442044852,0.9697764110726568,1.0,0.927391304347826,0.9408333333333332,0.079927536231884,1139.715079284632,1258.349311519711,249.76984015127024,249.42338025543597,17.111515843631988,17.033717988175958,-0.1743044262850351,-0.2199576522566785,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> HUST,catboost,0.9,20.0,20.0,residual_mean,0.905945945945946,0.7759568912973387,0.9595702144283488,1.0,0.8911111111111112,0.92,0.1109941520467835,1007.4603566621204,1177.9737725583475,245.6520546957812,246.0212247555446,16.694128665309826,16.828349228621178,-0.1728938841713013,-0.1950210399076996,1.0,100
"Target-domain CP, no adapter",Target CP,MATR -> HUST,catboost,0.9,5.0,,none,0.8534722222222223,0.7638644945650901,0.9072723848076918,1.0,0.9936111111111112,0.7133333333333333,0.2802777777777777,2448.5544909127166,2853.295870985618,903.5294930626688,873.5814625679454,85.5651568527353,81.4747717562068,-10.722633810894411,-10.307916233245964,0.0,100
"Target-domain CP, no adapter",Target CP,MATR -> HUST,catboost,0.9,10.0,,none,0.9150746268656716,0.8304851036143153,0.9546483609686072,1.0,1.0,0.8326470588235294,0.1673529411764705,2590.4026000031567,2766.164728362922,900.6478693523877,875.1642152304443,85.81541065830143,81.5978976789243,-10.720813609188426,-10.48973025345636,1.0,100
"Target-domain CP, no adapter",Target CP,MATR -> HUST,catboost,0.9,15.0,,none,0.9372580645161288,0.8529958917196605,0.9704974052265264,1.0,1.0,0.8745161290322581,0.1254838709677419,2647.998119030289,2763.5215817477724,897.9924077743542,875.6985040300524,85.54931674179949,81.60759396963394,-10.62562216431651,-10.369907929684045,1.0,100
"Target-domain CP, no adapter",Target CP,MATR -> HUST,catboost,0.9,20.0,,none,0.9017543859649124,0.8028019582481261,0.9499742060279014,1.0,1.0,0.806896551724138,0.193103448275862,2531.4148758375345,2733.4088294700405,896.988931663826,874.0251168229264,85.0535468458902,81.4635620864753,-10.50335792988022,-10.29960229135415,1.0,100
Linear target-adapted CP,Linear-adapted CP,MATR -> LUH,catboost,0.9,5.0,5.0,linear,0.8245833333333333,0.7458692138143,0.8783203837347591,1.0,0.8664583333333333,0.7827083333333333,0.1837499999999999,1618.803780840364,2725.1938294510956,337.8415266558526,386.3433790542164,70.20043261598923,74.39874988993992,-0.0542661458812362,-1.6342720634464931,0.0,100
Linear target-adapted CP,Linear-adapted CP,MATR -> LUH,catboost,0.9,10.0,10.0,linear,0.9113953488372092,0.8385693551695438,0.9490402955288384,1.0,0.9472093023255812,0.8755813953488372,0.1116279069767441,1769.806931904346,2119.7571213081683,320.15667269698986,346.9488448379909,66.9375957455541,68.90550926029296,0.0393333102680232,-0.4069048459433995,1.0,100
Linear target-adapted CP,Linear-adapted CP,MATR -> LUH,catboost,0.9,15.0,15.0,linear,0.9382894736842106,0.8666976691262529,0.9677059224916492,1.0,0.9702631578947368,0.9063157894736844,0.0892105263157894,1739.8328394032912,1932.557840087484,313.59889270772277,321.1330472460973,65.19680402558417,66.04535423502699,0.0914308347333361,-0.0855031347406907,1.0,100
Linear target-adapted CP,Linear-adapted CP,MATR -> LUH,catboost,0.9,20.0,20.0,linear,0.91,0.8210804999639345,0.9538174032849616,1.0,0.9742424242424242,0.8457575757575758,0.1381818181818181,1350.54420905113,1706.8744420808182,313.1516492627542,318.0164357974082,64.91232257218168,65.6417562523839,0.0884014731768921,0.0485336641527864,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> LUH,catboost,0.9,5.0,5.0,residual_mean,0.8528125,0.7772995875959399,0.9011760757219878,1.0,0.8904166666666667,0.8152083333333333,0.1818749999999999,1402.6559310830896,1934.1257409378316,333.8181135611646,349.1866455135844,66.64936740556738,67.72059384495988,-0.0335995992823686,-0.1300584832065983,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> LUH,catboost,0.9,10.0,10.0,residual_mean,0.9147674418604652,0.8434595330081851,0.9506059344992004,1.0,0.9665116279069766,0.8630232558139536,0.1272093023255813,1499.639976279496,1812.6718255831,338.59242243883034,344.59917567576815,66.54861794299673,66.99207226150946,-0.0029056201445792,-0.0537537567375063,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> LUH,catboost,0.9,15.0,15.0,residual_mean,0.9325,0.8574511104765508,0.9659306384421056,1.0,0.985,0.88,0.1102631578947368,1626.903658237987,1850.215319276473,333.1009074656698,335.15660579514685,64.85738201319842,65.39000751579538,0.0173939941408684,-0.0090144661349781,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> LUH,catboost,0.9,20.0,20.0,residual_mean,0.9207575757575758,0.8338331834194618,0.9613964829967188,1.0,0.9842424242424244,0.8572727272727273,0.133030303030303,1461.787315382518,1743.7559598503442,329.55255023740756,329.9988465559241,64.88887156682881,65.15007420239256,0.023886319239776,-0.007310777801089,1.0,100
"Target-domain CP, no adapter",Target CP,MATR -> LUH,catboost,0.9,5.0,,none,0.8375247524752476,0.7612693921830238,0.8890458625541823,1.0,0.89,0.7860784313725491,0.1682039215686274,1215.9281870168134,1814.5880897690415,331.2920101205592,336.43935246388565,65.27588764975586,65.63167833930942,0.0392249500387611,-0.0064663300138844,0.0,100
"Target-domain CP, no adapter",Target CP,MATR -> LUH,catboost,0.9,10.0,,none,0.8910416666666667,0.8201995444145581,0.9317926729150848,1.0,0.9525,0.8295833333333333,0.1454166666666666,1398.654566437394,1822.8470275776745,331.96742642821073,337.0001369196835,65.48674109510557,65.79267987991518,0.0360311041055461,-0.0053020263381066,1.0,100
"Target-domain CP, no adapter",Target CP,MATR -> LUH,catboost,0.9,15.0,,none,0.94989010989011,0.8883879434754056,0.9749475747477075,1.0,0.9904444444444443,0.910217391304348,0.0834347826086955,1674.6613187503183,1834.6373893846744,329.88496800281337,333.82397052689186,65.08625726573403,65.32187955585644,0.0371966390190641,-0.0030068394893983,1.0,100
"Target-domain CP, no adapter",Target CP,MATR -> LUH,catboost,0.9,20.0,,none,0.913953488372093,0.8395864331234051,0.9529207337749104,1.0,0.974186046511628,0.8537209302325581,0.133953488372093,1419.312764683966,1731.7169805167205,331.1730847069239,335.03397199733956,65.25760260670889,65.44587085241079,0.0370974543021046,-0.006446638732296,1.0,100
Linear target-adapted CP,Linear-adapted CP,MATR -> SANDIA,catboost,0.9,5.0,5.0,linear,0.8242499999999999,0.6916191317184055,0.9000582599051541,1.0,0.8845000000000001,0.764,0.1584999999999999,3552.547074505924,6669.703171777567,697.885077398643,788.395892845772,102.44038806828988,100.46015438462636,-0.1661495310793887,-0.4626025355082925,0.0,100
Linear target-adapted CP,Linear-adapted CP,MATR -> SANDIA,catboost,0.9,10.0,10.0,linear,0.885,0.736406975549942,0.9461877117061024,1.0,0.964,0.8059999999999999,0.1659999999999999,3896.778054684784,5340.720870384934,785.8113526983541,753.7506004846484,100.39349822938344,99.3399177114181,-0.0163186807978431,-0.0418238096357694,1.0,100
Linear target-adapted CP,Linear-adapted CP,MATR -> SANDIA,catboost,0.9,15.0,15.0,linear,0.9385,0.7561060768444531,0.9795871595432244,1.0,0.98,0.897,0.1029999999999999,4161.117066478309,4743.622325967857,742.2392914397539,701.7288526667321,101.60791426290348,99.50555051352092,0.0529064195229693,0.0947459300019568,1.0,100
Linear target-adapted CP,Linear-adapted CP,MATR -> SANDIA,catboost,0.9,20.0,20.0,linear,0.904,0.6111880621909108,0.9725654355198748,1.0,0.972,0.836,0.1679999999999999,3813.758602118128,4698.601761529294,725.9851613886076,716.5979792476242,99.08683668806542,99.40180103764976,0.0706072124957571,-4.583974956634578,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> SANDIA,catboost,0.9,5.0,5.0,residual_mean,0.8532500000000001,0.7288411111014704,0.9157542276526464,1.0,0.924,0.7825,0.1624999999999999,3627.261758922281,6146.675029876593,802.351629335981,837.4444586596046,105.04381066657623,98.15999077970002,-0.050131531277973,-0.1458556142152687,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> SANDIA,catboost,0.9,10.0,10.0,residual_mean,0.9086666666666668,0.7652894923079316,0.9592655610045449,1.0,0.9806666666666666,0.8366666666666667,0.1466666666666666,4298.460515910684,5412.791133136067,831.564447646555,847.8474388270776,108.87821001387309,104.82609460096982,-0.0012433827387724,-0.0928972566975666,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> SANDIA,catboost,0.9,15.0,15.0,residual_mean,0.9375,0.75463088449515,0.9793846022086332,1.0,1.0,0.875,0.1249999999999999,4753.205289027039,5295.541091944127,845.0452087642174,844.2239381387352,106.51028211077228,105.57415337284478,0.0057887361338914,-0.0422785050245988,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> SANDIA,catboost,0.9,20.0,20.0,residual_mean,0.914,0.6219984444489529,0.9762043972645748,1.0,0.998,0.83,0.1679999999999999,4641.31787606345,5329.844691784108,816.7512999262523,805.7965654575142,102.62910151870813,100.92355640377048,-0.0221349818256065,-4.937271757257424,1.0,100
"Target-domain CP, no adapter",Target CP,MATR -> SANDIA,catboost,0.9,5.0,,none,0.8420000000000001,0.7204285604044752,0.9097737460622292,1.0,0.9322727272727274,0.7556521739130434,0.1833794466403161,3568.4878631672923,6415.35495382347,732.7228744897262,725.9285670599762,97.15308663671055,94.48526498997605,0.0352689632723346,0.0385246716275954,0.0,100
"Target-domain CP, no adapter",Target CP,MATR -> SANDIA,catboost,0.9,10.0,,none,0.92675,0.810844814841044,0.9678701485370718,1.0,0.997,0.8565,0.1404999999999999,4788.299817677396,5665.124550989701,733.1635008184825,727.9089320772524,97.34915909059984,94.90564306027072,0.0301776836375147,0.036350023099633,1.0,100
"Target-domain CP, no adapter",Target CP,MATR -> SANDIA,catboost,0.9,15.0,,none,0.9354285714285716,0.8114816906862518,0.9732468165695244,1.0,0.9988235294117648,0.8755555555555555,0.1232679738562091,4989.084860552307,5648.640702656313,718.389554899265,723.2454206256751,97.29631413980806,94.67634407184582,0.0253902159486911,0.0331068036871626,1.0,100
"Target-domain CP, no adapter",Target CP,MATR -> SANDIA,catboost,0.9,20.0,,none,0.9093333333333332,0.761768153301465,0.9639688821534462,1.0,0.9973333333333332,0.8213333333333332,0.176,4739.610331962695,5589.894043428028,722.853691533996,719.4037291333345,97.1317918070567,94.50154481936504,0.025956557094681,0.031261745672036,1.0,100
Linear target-adapted CP,Linear-adapted CP,SANDIA -> HUST,xgboost,0.9,5.0,5.0,linear,0.8526865671641791,0.7592010229330195,0.9079224494903698,1.0,0.8348484848484848,0.87,0.1754367201426024,1214.531179727548,1827.063096173052,261.35445678025883,318.0370761916188,17.730059008325746,21.26590213681784,-0.447763484967466,-2.8058935865838053,0.0,100
Linear target-adapted CP,Linear-adapted CP,SANDIA -> HUST,xgboost,0.9,10.0,10.0,linear,0.896140350877193,0.7980751195338324,0.9441819018352812,1.0,0.8878571428571429,0.9041379310344828,0.1026600985221674,1093.3614149536118,1407.26887739601,248.00550729640293,250.4541621420398,16.707214027229718,16.9308869008186,-0.2282599143566584,-0.33991543899489,1.0,100
Linear target-adapted CP,Linear-adapted CP,SANDIA -> HUST,xgboost,0.9,15.0,15.0,linear,0.941063829787234,0.8409816141884167,0.9744945928618114,1.0,0.942608695652174,0.9395833333333332,0.0604891304347825,1222.3723341952414,1412.9234690505475,238.88874499350575,242.6608638953107,16.225791773102095,16.464606802817876,-0.1624783082028039,-0.2489315693576401,1.0,100
Linear target-adapted CP,Linear-adapted CP,SANDIA -> HUST,xgboost,0.9,20.0,20.0,linear,0.8983783783783784,0.7675663967722066,0.9542491517229088,1.0,0.9055555555555556,0.8915789473684211,0.1035087719298245,973.931298727168,1251.110369446796,242.84847897131817,239.9545352367026,16.423769492325718,16.283788582066535,-0.1480711827144599,-0.187541934599342,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,SANDIA -> HUST,xgboost,0.9,5.0,5.0,residual_mean,0.8597014925373133,0.7676803586071119,0.9127121799203396,1.0,0.8503030303030303,0.8688235294117647,0.1781996434937611,2198.5178194860523,2684.690240308693,699.7700656912164,660.9491995659273,48.21544794400869,48.68646484595523,-7.02883607309624,-6.882631775333096,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,SANDIA -> HUST,xgboost,0.9,10.0,10.0,residual_mean,0.903157894736842,0.8082842964571734,0.9471216535455826,1.0,0.9082142857142856,0.8982758620689656,0.1374261083743842,2207.2521365001917,2460.868215967818,699.6694099255064,648.6235564289733,49.5273594400678,47.592389674109434,-6.8478551202209115,-6.36524627204916,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,SANDIA -> HUST,xgboost,0.9,15.0,15.0,residual_mean,0.9374468085106384,0.8353962512278647,0.9733925001929116,1.0,0.9308695652173912,0.94375,0.0856340579710144,2195.040174710355,2311.051873238119,695.1151393416087,646.81207042477,51.26506195194249,47.12224746210218,-6.597496761710705,-6.084191329925703,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,SANDIA -> HUST,xgboost,0.9,20.0,20.0,residual_mean,0.9156756756756756,0.7899918789173949,0.9631643718190284,1.0,0.9144444444444444,0.916842105263158,0.1251461988304093,2084.595907944855,2272.5457304492043,686.7252842236429,647.5968073836935,49.61234586492768,48.41880552802277,-6.689568709580295,-6.158801261692475,1.0,100
"Target-domain CP, no adapter",Target CP,SANDIA -> HUST,xgboost,0.9,5.0,,none,0.8275,0.7343469400081214,0.8874765419411987,1.0,0.6861111111111111,0.9688888888888888,0.2827777777777777,3566.549836108879,4524.637915167086,931.2086131704096,1040.123700023223,45.43829130682447,49.386099904671134,-17.045397221106377,-20.0742668938694,0.0,100
"Target-domain CP, no adapter",Target CP,SANDIA -> HUST,xgboost,0.9,10.0,,none,0.9016417910447762,0.8150771795957787,0.9446474350006412,1.0,0.8075757575757576,0.9929411764705882,0.1853654188948306,3837.4080926964502,4138.709256175983,918.1695112602974,1037.7036689060064,44.86392879000893,49.165382223000776,-17.164853333278383,-20.13669295188486,1.0,100
"Target-domain CP, no adapter",Target CP,SANDIA -> HUST,xgboost,0.9,15.0,,none,0.9433870967741936,0.8620428642973604,0.972993311765003,1.0,0.8919354838709677,0.9948387096774194,0.1029032258064516,3961.46620813825,4123.172709558092,927.8036029283676,1032.084572601315,45.077526939037256,48.988376698994344,-17.29584893912518,-20.06861544978629,1.0,100
"Target-domain CP, no adapter",Target CP,SANDIA -> HUST,xgboost,0.9,20.0,,none,0.9087719298245612,0.8107134578569541,0.9552116350527158,1.0,0.8142857142857143,1.0,0.1857142857142857,3833.122118000985,4022.916202451506,933.3054988988802,1034.8221671824997,45.50149751543736,49.06776199033461,-17.557631072685503,-20.188014067340447,1.0,100
Linear target-adapted CP,Linear-adapted CP,SANDIA -> LUH,xgboost,0.9,5.0,5.0,linear,0.8466666666666667,0.7714468191253735,0.8952101066266381,1.0,0.9210416666666668,0.7722916666666667,0.1770833333333333,1187.3230613347594,1796.2875082260323,231.1662663010625,265.81067631813306,57.341287464393375,58.28875916252351,0.4216072921066757,0.1878189727505089,0.0,100
Linear target-adapted CP,Linear-adapted CP,SANDIA -> LUH,xgboost,0.9,10.0,10.0,linear,0.909186046511628,0.8366441268214772,0.9467358507951446,1.0,0.9667441860465116,0.8516279069767441,0.1281395348837209,1250.9702420690885,1558.7526269332566,217.22211669250368,246.50157602135997,51.5044634732138,52.9543068938149,0.5004481387124493,0.3383700751870532,1.0,100
Linear target-adapted CP,Linear-adapted CP,SANDIA -> LUH,xgboost,0.9,15.0,15.0,linear,0.9284210526315788,0.8543700374172709,0.9612463223269166,1.0,0.9615789473684212,0.8952631578947369,0.0889473684210526,1255.4697273313775,1443.8567542792312,217.6785839316841,236.7531683401906,53.417225205331576,53.52022438070298,0.529573263169355,0.403970285822738,1.0,100
Linear target-adapted CP,Linear-adapted CP,SANDIA -> LUH,xgboost,0.9,20.0,20.0,linear,0.9027272727272728,0.8121262319796544,0.9490262539167116,1.0,0.9645454545454544,0.8409090909090909,0.1309090909090909,1097.5187299351203,1387.170912303782,211.99073472868864,232.19497014061503,54.298437362318026,54.04657842848699,0.5376630053744151,0.4299062850219428,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,SANDIA -> LUH,xgboost,0.9,5.0,5.0,residual_mean,0.8458333333333333,0.7689295600639922,0.8961248250011157,1.0,0.91875,0.7729166666666667,0.2120833333333333,1197.47165461012,1820.4147433795615,295.8441764281501,309.88879787115764,58.81987742356711,61.37066893564892,0.1768249203422998,0.0839039554910735,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,SANDIA -> LUH,xgboost,0.9,10.0,10.0,residual_mean,0.911279069767442,0.838874142237396,0.948512894088262,1.0,0.9725581395348836,0.85,0.1341860465116278,1390.452043735057,1720.3095314785785,293.48894450724504,307.5342303735856,60.69688769705013,62.02979223185013,0.198758710182376,0.1220692345187313,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,SANDIA -> LUH,xgboost,0.9,15.0,15.0,residual_mean,0.9409210526315788,0.8696105019912814,0.969803018126278,1.0,0.9952631578947368,0.8865789473684211,0.1086842105263157,1563.3567785143314,1776.5938569100556,289.05568962244956,301.4317388159154,59.93883544509328,61.10247257037821,0.2221148517330495,0.153937016350864,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,SANDIA -> LUH,xgboost,0.9,20.0,20.0,residual_mean,0.9048484848484848,0.8149935073428438,0.9501680586146768,1.0,0.9878787878787878,0.8218181818181819,0.1684848484848484,1314.4011880205735,1686.7082134085797,290.7127137400817,298.25655380426105,59.51224742659889,60.471474114215646,0.2177436582070248,0.1537379555558825,1.0,100
"Target-domain CP, no adapter",Target CP,SANDIA -> LUH,xgboost,0.9,5.0,,none,0.8177227722772277,0.7406940865628192,0.8714683224872526,1.0,0.9922,0.6466666666666667,0.3455333333333333,1480.6382855322945,2645.303019911915,312.78580332425497,323.5186434670054,57.00904066123584,61.25183437022633,-0.2955463384291785,-0.3267708163027372,0.0,100
"Target-domain CP, no adapter",Target CP,SANDIA -> LUH,xgboost,0.9,10.0,,none,0.8984375,0.8286996033198193,0.9375151626060956,1.0,0.9997916666666667,0.7970833333333333,0.2027083333333333,1849.5570038051333,2391.77221167699,313.58321939537166,322.54111598170965,56.87745325510403,61.06127636469746,-0.2831299314022568,-0.3236325815312755,1.0,100
"Target-domain CP, no adapter",Target CP,SANDIA -> LUH,xgboost,0.9,15.0,,none,0.9372527472527472,0.8718768589409052,0.9672076615793116,1.0,1.0,0.8758695652173912,0.1241304347826086,2087.370568593516,2324.7089392761836,320.100631859858,324.77524461047307,57.565824467258096,61.36140839199526,-0.3185830961885713,-0.3358334821769381,1.0,100
"Target-domain CP, no adapter",Target CP,SANDIA -> LUH,xgboost,0.9,20.0,,none,0.9132558139534884,0.8383936528361008,0.9527778278258694,1.0,1.0,0.8265116279069766,0.1734883720930232,1871.5280240138925,2260.032440888061,322.83245462761187,322.9864767668636,57.87064014596685,61.192768713838056,-0.3263339810377716,-0.3291621887918339,1.0,100
Linear target-adapted CP,Linear-adapted CP,SANDIA -> MATR,xgboost,0.9,5.0,5.0,linear,0.879327731092437,0.8151907367142713,0.9197402944433564,1.0,0.89,0.8688333333333332,0.1013870056497174,7932.871369500172,14073.29214205108,347.80058001962766,842.0639804994316,43.91430231565984,51.02009813724642,-0.6667023332750258,-226.9262119654456,0.0,100
Linear target-adapted CP,Linear-adapted CP,SANDIA -> MATR,xgboost,0.9,10.0,10.0,linear,0.9144036697247706,0.8521403499275574,0.9484519230201977,1.0,0.9316666666666668,0.8974545454545455,0.0783198653198652,2622.4037147306512,5420.684678872166,294.54095948884753,445.514646196963,37.91182778928297,40.25802201753592,-0.1873724126769037,-68.06038725995198,1.0,100
Linear target-adapted CP,Linear-adapted CP,SANDIA -> MATR,xgboost,0.9,15.0,15.0,linear,0.936969696969697,0.876571003070115,0.9647239473530324,1.0,0.9595918367346938,0.9148,0.0613061224489795,2647.928803411337,2988.569613507515,283.27230102362626,304.1200783813553,36.88905287514139,38.087854103871265,-0.0775005353277447,-2.927533163942035,1.0,100
Linear target-adapted CP,Linear-adapted CP,SANDIA -> MATR,xgboost,0.9,20.0,20.0,linear,0.906741573033708,0.8330404155869909,0.9467836082882372,1.0,0.938181818181818,0.8759999999999999,0.0867070707070706,1497.4866597064286,2061.7584435265508,286.4370462548296,296.8080919043975,36.6847902055771,37.69795837627437,-0.1026981426410504,-0.3842499492674949,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,SANDIA -> MATR,xgboost,0.9,5.0,5.0,residual_mean,0.8436134453781513,0.7747104879611507,0.8910256632137584,1.0,0.8513559322033899,0.836,0.1032542372881355,1836.0071052126275,2926.013600104725,402.23989684777194,425.54736072859583,49.9190669269249,55.48780263539375,-1.39615214588473,-1.5058532320057676,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,SANDIA -> MATR,xgboost,0.9,10.0,10.0,residual_mean,0.90651376146789,0.8425618686530499,0.9427877796603223,1.0,0.9001851851851852,0.9127272727272726,0.0667508417508417,2190.6225645176046,2768.554524943122,393.8224052656947,396.7372861320065,48.49670791726825,51.38096177019121,-1.3037572055494255,-1.275703764450133,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,SANDIA -> MATR,xgboost,0.9,15.0,15.0,residual_mean,0.9248484848484848,0.8611710185262068,0.956787040068282,1.0,0.9148979591836734,0.9346,0.0595959183673469,2319.39983055597,2794.051720422682,389.1263368848656,389.6188544595188,48.277375025624266,50.258257866925945,-1.2156491744718594,-1.2228282055887008,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,SANDIA -> MATR,xgboost,0.9,20.0,20.0,residual_mean,0.9059550561797752,0.8315397249233887,0.9467763519443462,1.0,0.8963636363636364,0.9153333333333332,0.0655353535353534,2065.717661390044,2643.2495727935748,384.563694109195,380.747426101636,48.10262889499651,48.776159445724154,-1.141847828039965,-1.149842267821309,1.0,100
"Target-domain CP, no adapter",Target CP,SANDIA -> MATR,xgboost,0.9,5.0,,none,0.8426612903225806,0.7761725224302615,0.8885570636048128,1.0,0.7301612903225806,0.9551612903225808,0.2256451612903225,3664.952350486371,4935.689690932658,1065.32468443241,1222.756369349775,82.89136814322798,87.38518841068073,-9.695977447390913,-14.019742698549477,0.0,100
"Target-domain CP, no adapter",Target CP,SANDIA -> MATR,xgboost,0.9,10.0,,none,0.9172268907563026,0.8589514887489961,0.9494075209314696,1.0,0.8576271186440678,0.9758333333333332,0.1182062146892654,4219.445255411731,4853.704645473611,1066.8596580513977,1221.8572596805695,82.78813936158683,87.38488602190337,-9.64660565513092,-13.901726100509723,1.0,100
"Target-domain CP, no adapter",Target CP,SANDIA -> MATR,xgboost,0.9,15.0,,none,0.9405263157894737,0.8851558897650995,0.9671757175075844,1.0,0.893859649122807,0.9871929824561404,0.0933333333333333,4520.286657169924,4896.739701180581,1062.9110550168064,1222.177148246754,82.45525095065554,87.39152918491187,-9.42704183464356,-13.942823948631617,1.0,100
"Target-domain CP, no adapter",Target CP,SANDIA -> MATR,xgboost,0.9,20.0,,none,0.9020183486238532,0.8351153602342866,0.941549536833914,1.0,0.8301851851851851,0.9725454545454544,0.1429999999999999,3993.836154505479,4773.925227642107,1056.93234027353,1219.3312700689253,82.11194132054965,87.21033663947148,-9.550509804611302,-14.231539882063869,1.0,100
Linear target-adapted CP,Linear-adapted CP,HUST -> LUH,random_forest,0.95,5.0,5.0,linear,0.7894791666666667,0.7069459044671637,0.8497366666460696,1.0,0.838125,0.7408333333333332,0.2306249999999999,1766.3869464674165,3796.599830574566,375.5688774268359,477.81442018904863,73.05571335984072,75.99692360082246,-0.3768726204369276,-8.794110021713843,0.0,100
Linear target-adapted CP,Linear-adapted CP,HUST -> LUH,random_forest,0.95,10.0,10.0,linear,0.9122093023255816,0.8404789791325389,0.9486889721749132,1.0,0.9493023255813954,0.8751162790697674,0.1267441860465116,1651.26516246937,2264.474690565374,354.90569662274515,364.8369621220885,70.12102403424825,71.04351282292528,-0.1503242462001795,-0.2335753676724524,0.0,100
Linear target-adapted CP,Linear-adapted CP,HUST -> LUH,random_forest,0.95,15.0,15.0,linear,0.9306578947368422,0.8581823052784019,0.9616924936904944,1.0,0.9589473684210524,0.9023684210526316,0.1092105263157894,1701.4885983237973,2160.632891457311,352.5609711736764,357.9046827185843,68.27636322898815,69.50534679459379,-0.0722893458628791,-0.1399620709946352,0.0,100
