scenario_label,protocol,direction,model,confidence_level,k_target,k_adapter,adapter_type,coverage_mean,coverage_wilson95_lower_mean,coverage_wilson95_upper_mean,finite_interval_fraction_mean,coverage_short_life_mean,coverage_long_life_mean,short_long_coverage_gap_mean,median_width_mean,winkler_mean_mean,MAE_median,MAE_mean,SMAPE_median,SMAPE_mean,R2_median,R2_mean,finite_q_mean,n_runs
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> MATR,random_forest,0.9,5.0,5.0,residual_mean,0.8481512605042016,0.7802446085833747,0.8942833626363975,1.0,0.8928813559322033,0.8041666666666667,0.1615451977401129,1177.6076557685035,1875.6771395483345,276.25290751433295,292.2674500167952,35.72564903692046,37.87068052173024,0.0024247867607562,-0.1087119612315097,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> MATR,random_forest,0.9,10.0,10.0,residual_mean,0.9074311926605504,0.8438872363495069,0.9432348101771656,1.0,0.9479629629629628,0.8676363636363637,0.1062188552188551,1400.1567827370618,1814.9793961911748,270.26287222113285,275.7862032416857,35.28178661911653,35.860056694634466,0.046256697726989,-0.0066854567761528,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> MATR,random_forest,0.9,15.0,15.0,residual_mean,0.9333333333333332,0.8717820195772452,0.9625118632973044,1.0,0.9736734693877552,0.8937999999999999,0.0953591836734693,1592.1075781111567,1897.7922334662217,266.66862882292423,270.09749104545097,34.69603162949588,35.15382939805937,0.0425440107991427,0.0193508152124104,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> MATR,random_forest,0.9,20.0,20.0,residual_mean,0.9146067415730336,0.8417429330965943,0.9531605608535694,1.0,0.9627272727272728,0.8675555555555556,0.1192121212121211,1302.6913860536088,1688.984056606848,268.5693151791702,271.5874161039103,35.206136118613,35.47239068744241,0.0494449826193403,-0.0018508794966052,1.0,100
"Target-domain CP, no adapter",Target CP,HUST -> MATR,random_forest,0.9,5.0,,none,0.8128225806451613,0.746083966088529,0.8607614244104245,1.0,0.6495161290322581,0.9761290322580644,0.3266129032258064,2184.3806324034563,2697.771229715585,795.2265195826509,796.6007765838896,73.61019299718734,73.61259990353612,-4.538711976395975,-4.574033689359497,0.0,100
"Target-domain CP, no adapter",Target CP,HUST -> MATR,random_forest,0.9,10.0,,none,0.9095798319327733,0.8493542068921286,0.9441889578979196,1.0,0.8177966101694915,0.9998333333333334,0.1820367231638417,2326.3628886823585,2437.8770361681054,793.2948082361883,794.9431381130082,73.22140611574673,73.42251894447159,-4.5041105760087845,-4.587600510532109,1.0,100
"Target-domain CP, no adapter",Target CP,HUST -> MATR,random_forest,0.9,15.0,,none,0.931842105263158,0.8753664712473049,0.9601629000397166,1.0,0.8636842105263157,1.0,0.1363157894736842,2368.8758587128573,2457.201966271519,795.4182945260443,796.4518438167391,73.62273351374438,73.59060084951214,-4.562730096555565,-4.62220231213659,1.0,100
"Target-domain CP, no adapter",Target CP,HUST -> MATR,random_forest,0.9,20.0,,none,0.9138532110091744,0.8500018616255498,0.9495269723942248,1.0,0.8261111111111111,1.0,0.1738888888888888,2314.852573013578,2402.445911487489,792.8335744069765,794.1355789290967,73.25401600755961,73.36248336479018,-4.437777239585735,-4.503147894858091,1.0,100
Linear target-adapted CP,Linear-adapted CP,HUST -> SANDIA,random_forest,0.9,5.0,5.0,linear,0.812,0.6817669370398411,0.887557183813052,1.0,0.9035,0.7204999999999999,0.2259999999999999,4000.6711497073056,9248.138083553484,790.772709560149,1057.2931383258324,109.46099309610804,103.528369987173,-0.258167287068463,-7.542971085864365,0.0,100
Linear target-adapted CP,Linear-adapted CP,HUST -> SANDIA,random_forest,0.9,10.0,10.0,linear,0.9093333333333332,0.7641070287857865,0.9616300066691248,1.0,0.9813333333333334,0.8373333333333334,0.1493333333333333,4327.29358190856,5316.7638735222035,798.7352778687672,815.4547362873029,111.08533219317526,108.31143697431304,0.0017092779962075,-0.1002522003668468,1.0,100
Linear target-adapted CP,Linear-adapted CP,HUST -> SANDIA,random_forest,0.9,15.0,15.0,linear,0.937,0.754851067158435,0.9783255447034012,1.0,0.994,0.88,0.1159999999999999,4750.982155352092,5207.244280187697,789.3739337761249,787.5893067023344,102.45500292106826,105.72693295429136,0.00439068831266,-0.0632982191184582,1.0,100
Linear target-adapted CP,Linear-adapted CP,HUST -> SANDIA,random_forest,0.9,20.0,20.0,linear,0.91,0.6181209432448266,0.9743021608676042,1.0,0.988,0.8320000000000001,0.1639999999999999,4280.760707696726,4906.215598393741,788.0599118297778,800.8224086980674,108.92927749983556,109.43556826618747,0.0063876949713818,-4.408489618290968,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> SANDIA,random_forest,0.9,5.0,5.0,residual_mean,0.84925,0.7214968620764889,0.9157994494872064,1.0,0.9115,0.787,0.1704999999999999,3651.023442250115,5584.378509435344,765.0993678730274,881.4888746661983,107.66525506697992,110.07883459337408,-0.0737460260245951,-0.2091130231184577,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> SANDIA,random_forest,0.9,10.0,10.0,residual_mean,0.9183333333333332,0.7781551365627857,0.963538657814994,1.0,0.9853333333333332,0.8513333333333333,0.1339999999999999,4406.722140604163,5360.282029781755,767.0878258366865,789.1188567220097,100.48831362935394,101.2719446229218,0.0533284006851301,-0.0093049342107563,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> SANDIA,random_forest,0.9,15.0,15.0,residual_mean,0.9255,0.7414871369114632,0.9723953535855878,1.0,0.996,0.855,0.141,4509.027244144068,5200.688624524522,832.7624466292255,833.2836931641352,102.3229016441483,103.24748075260985,0.0431851026209258,-1.526612573868732,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> SANDIA,random_forest,0.9,20.0,20.0,residual_mean,0.892,0.5990936020742869,0.967320682833208,1.0,0.988,0.7959999999999999,0.1999999999999999,4184.746355549964,5286.539494350104,772.1642287608996,785.8692667909198,102.40897075708664,101.62435867516088,0.0040796456469767,-6.385622522691133,1.0,100
"Target-domain CP, no adapter",Target CP,HUST -> SANDIA,random_forest,0.9,5.0,,none,0.8297777777777777,0.7105797943047218,0.8971006623532308,1.0,0.855,0.8056521739130434,0.0802173913043478,3047.208023827687,3599.028504215019,1221.6142401688458,1227.7150508918558,126.04392051541328,126.4100147419924,-0.356055254213562,-0.3913042921977633,0.0,100
"Target-domain CP, no adapter",Target CP,HUST -> SANDIA,random_forest,0.9,10.0,,none,0.90975,0.7897316858606641,0.9579624119581596,1.0,0.9365,0.883,0.0714999999999999,3237.3582731303204,3447.9216640179466,1221.585497761153,1226.0193922660633,126.4875178678338,126.49892616283964,-0.3758007939882115,-0.4203433871072222,1.0,100
"Target-domain CP, no adapter",Target CP,HUST -> SANDIA,random_forest,0.9,15.0,,none,0.932,0.8087057387070459,0.9698438039246692,1.0,0.96,0.9055555555555556,0.0558823529411764,3330.912049413068,3481.453717001624,1222.4517252653673,1224.6653502464735,126.5421949368756,126.333903457667,-0.3814287670110301,-0.450096379184054,1.0,100
"Target-domain CP, no adapter",Target CP,HUST -> SANDIA,random_forest,0.9,20.0,,none,0.902,0.7520821617246913,0.9606530701634378,1.0,0.9453333333333334,0.8586666666666666,0.1026666666666666,3181.449607380847,3419.769939616484,1231.283017946807,1230.908369008412,125.88147162246956,126.09673287229008,-0.3375452450757502,-0.4095598297542665,1.0,100
Linear target-adapted CP,Linear-adapted CP,LUH -> HUST,gaussian_process,0.9,5.0,5.0,linear,0.8361194029850746,0.740217931630529,0.8955679591428408,1.0,0.8339393939393939,0.838235294117647,0.175597147950089,925.392,1329.2917014925374,238.56567164179103,247.4823582089552,16.24187169779984,16.895391695123013,-0.1314096538299234,-0.2320769089267598,0.0,100
Linear target-adapted CP,Linear-adapted CP,LUH -> HUST,gaussian_process,0.9,10.0,10.0,linear,0.9185964912280702,0.8282339003099196,0.9560996926868496,1.0,0.9182142857142856,0.9189655172413792,0.085283251231527,1075.5739999999998,1235.5887368421054,230.9157894736842,234.23682456140352,15.83822395362563,15.985580333449208,-0.0492582289818273,-0.1029304761265349,1.0,100
Linear target-adapted CP,Linear-adapted CP,LUH -> HUST,gaussian_process,0.9,15.0,15.0,linear,0.9451063829787236,0.8470232589555157,0.9759271632099822,1.0,0.9430434782608696,0.9470833333333332,0.0613586956521738,1106.26,1206.63390070922,234.62978723404257,235.58019858156032,16.030148651380223,16.05934795722768,-0.0531915367388576,-0.0868627416506661,1.0,100
