scenario,source,target,calibration_domain,model,n_cycles,confidence_level,adapter_type,k_adapter,k_target,coverage_mean,coverage_std,coverage_gap_mean,coverage_gap_std,coverage_wilson95_lower_mean,coverage_wilson95_lower_std,coverage_wilson95_upper_mean,coverage_wilson95_upper_std,finite_interval_fraction_mean,finite_interval_fraction_std,mean_width_mean,mean_width_std,median_width_mean,median_width_std,winkler_mean_mean,winkler_mean_std,MAE_mean,MAE_median,MAE_std,SMAPE_mean,SMAPE_median,SMAPE_std,R2_mean,R2_median,R2_std,q_hat_mean,q_hat_std,finite_q_mean,adapter_slope_mean,adapter_slope_std,adapter_intercept_mean,adapter_intercept_std,coverage_short_mean,coverage_short_std,coverage_mid_mean,coverage_mid_std,coverage_long_mean,coverage_long_std,coverage_short_life_mean,coverage_short_life_std,coverage_long_life_mean,coverage_long_life_std,coverage_short_life_wilson95_lower_mean,coverage_short_life_wilson95_lower_std,coverage_short_life_wilson95_upper_mean,coverage_short_life_wilson95_upper_std,coverage_long_life_wilson95_lower_mean,coverage_long_life_wilson95_lower_std,coverage_long_life_wilson95_upper_mean,coverage_long_life_wilson95_upper_std,short_long_coverage_gap_mean,short_long_coverage_gap_std,lifetime_split_threshold_mean,lifetime_split_threshold_std,n_train_mean,n_adapter_mean,n_calibration_mean,n_test_mean,n_short_life_mean,n_short_life_std,n_long_life_mean,n_long_life_std,n_runs,scenario_label,direction
within_split_cp,hust,hust,hust,random_forest,100,0.9,none,,,0.9666666666666666,0.0745355992499929,0.0933333333333332,0.0149071198499985,0.7163986222252128,0.0919188761996176,0.9906069715632292,0.021003450099208,1.0,0.0,1056.051235437762,261.3987285165258,1056.0512354377622,261.3987285165259,1142.926414233811,274.2240122410368,208.56801131128577,209.37771966885805,13.907116661569924,14.213122251587444,14.07720843376772,1.257574746125626,0.1464402337651209,0.1150916364702746,0.1075806829686104,528.0256177188807,130.6993642582639,1.0,,,,,0.95,0.1118033988749894,1.0,0.0,0.95,0.1118033988749894,0.9666666666666666,0.0745355992499929,0.9666666666666666,0.0745355992499929,0.5750320052409739,0.0774433228447417,0.9939893260503384,0.0134402755420299,0.5750320052409739,0.0774433228447417,0.9939893260503384,0.0134402755420299,0.0,0.0,1563.2,40.34476422040412,53.0,0.0,12.0,12.0,6.0,0.0,6.0,0.0,5,Within-dataset CP,HUST
within_split_cp,hust,hust,hust,random_forest,100,0.95,none,,,0.9666666666666666,0.0745355992499929,0.0633333333333333,0.0298142396999971,0.7163986222252128,0.0919188761996176,0.9906069715632292,0.021003450099208,1.0,0.0,1056.0512354377574,261.3987285165261,1056.0512354377574,261.398728516526,1229.8015930298527,396.9147130272981,208.56801131128583,209.37771966885825,13.90711666157002,14.213122251587446,14.077208433767732,1.2575747461256277,0.1464402337651199,0.1150916364702749,0.1075806829686091,inf,,0.0,,,,,0.95,0.1118033988749894,1.0,0.0,0.95,0.1118033988749894,0.9666666666666666,0.0745355992499929,0.9666666666666666,0.0745355992499929,0.5750320052409739,0.0774433228447417,0.9939893260503384,0.0134402755420299,0.5750320052409739,0.0774433228447417,0.9939893260503384,0.0134402755420299,0.0,0.0,1563.2,40.34476422040412,53.0,0.0,12.0,12.0,6.0,0.0,6.0,0.0,5,Within-dataset CP,HUST
within_split_cp,luh,luh,luh,gaussian_process,100,0.9,none,,,0.9,0.0559016994374947,0.0449999999999999,0.0243669858620224,0.6719641581227409,0.0660651884494467,0.97314969744971,0.024158684926172,1.0,0.0,622.8405289996994,100.38293395144744,622.8405289996994,100.38293395144744,786.5329003219691,62.09010286813152,114.13650892514028,116.37515815929056,15.102789094614666,17.92470169234651,18.095241905681423,1.586446067935468,0.7769226859783641,0.7755178904431448,0.0271260633565087,311.4202644998496,50.191466975723706,1.0,,,,,1.0,0.0,1.0,0.0,0.68,0.1788854381999832,1.0,0.0,0.8,0.1118033988749894,0.67559243511612,0.0,1.0,0.0,0.4604706556548471,0.1008670080885644,0.9448848054148248,0.0503856249742005,0.2,0.1118033988749894,500.6,47.12536472007405,74.0,0.0,16.0,16.0,8.0,0.0,8.0,0.0,5,Within-dataset CP,LUH
within_split_cp,luh,luh,luh,gaussian_process,100,0.95,none,,,0.9,0.0559016994374947,0.0499999999999999,0.0559016994374947,0.6719641581227409,0.0660651884494467,0.97314969744971,0.024158684926172,1.0,0.0,622.8405289996994,100.38293395144744,622.8405289996994,100.38293395144744,950.2252716442388,211.0112327788065,114.13650892514028,116.37515815929056,15.102789094614666,17.92470169234651,18.095241905681423,1.586446067935468,0.7769226859783641,0.7755178904431448,0.0271260633565087,inf,,0.0,,,,,1.0,0.0,1.0,0.0,0.68,0.1788854381999832,1.0,0.0,0.8,0.1118033988749894,0.67559243511612,0.0,1.0,0.0,0.4604706556548471,0.1008670080885644,0.9448848054148248,0.0503856249742005,0.2,0.1118033988749894,500.6,47.12536472007405,74.0,0.0,16.0,16.0,8.0,0.0,8.0,0.0,5,Within-dataset CP,LUH
within_split_cp,matr,matr,matr,catboost,100,0.9,none,,,0.91,0.0894427190999915,0.0699999999999999,0.0447213595499957,0.7200559483346448,0.1158369439762656,0.9678214220620436,0.03481156583763,1.0,0.0,1052.9985982082635,449.1721506880976,1052.9985982082635,449.1721506880976,1494.6555139684554,91.85786194688282,175.23232215400452,193.3993376302884,45.73375291192423,24.287804767895004,23.179327159072493,5.071603716870041,0.5277022072650193,0.4287501638704496,0.1542692749364037,526.4992991041318,224.5860753440488,1.0,,,,,0.9428571428571428,0.0782460796435951,1.0,0.0,0.8,0.191662969499982,0.96,0.0547722557505165,0.86,0.1341640786499874,0.6718203093641713,0.0693511113595983,0.9928495147619708,0.0097912051549407,0.5644074981617302,0.1492397282483053,0.9557688859369896,0.0454497872926129,0.0999999999999999,0.0999999999999999,768.2,13.311649033834987,89.0,0.0,20.0,20.0,10.0,0.0,10.0,0.0,5,Within-dataset CP,MATR
within_split_cp,matr,matr,matr,catboost,100,0.95,none,,,0.95,0.0707106781186547,0.0599999999999999,0.0223606797749978,0.7710344031744596,0.0952375197136416,0.9839529545780032,0.0236193140676312,1.0,0.0,1385.1015885600011,483.5489555648594,1385.1015885600011,483.54895556485945,1824.9433209877343,385.6102975937268,175.23232215400452,193.3993376302884,45.73375291192423,24.287804767895004,23.179327159072493,5.071603716870041,0.5277022072650193,0.4287501638704496,0.1542692749364037,692.5507942800007,241.77447778242973,1.0,,,,,0.9714285714285712,0.063887656499994,1.0,0.0,0.8857142857142858,0.1564921592871903,0.98,0.0447213595499957,0.92,0.1095445115010331,0.6971437547506409,0.05662494530865,0.9964247573809852,0.007994485532171,0.6295453086969233,0.1272385400695923,0.9773271394182498,0.0310460929594856,0.0599999999999999,0.0894427190999915,768.2,13.311649033834987,89.0,0.0,20.0,20.0,10.0,0.0,10.0,0.0,5,Within-dataset CP,MATR
within_split_cp,sandia,sandia,sandia,xgboost,100,0.9,none,,,0.875,0.0883883476483184,0.0649999999999999,0.0575543221661066,0.5344406637575457,0.0944395944767451,0.9722536625795442,0.0263040558809495,1.0,0.0,762.393413754319,435.2275802996179,762.393413754319,435.2275802996179,1458.3552749290386,682.1536063196938,135.73362505810186,130.25166475755032,45.88215737700625,25.361339133186764,24.85894964286539,7.096699903552159,0.925789081268821,0.9637130633568268,0.0716937081686327,inf,,0.0,,,,,1.0,0.0,1.0,0.0,0.6666666666666666,0.2357022603955158,1.0,0.0,0.75,0.1767766952966369,0.5101091635454028,0.0,1.0,0.0,0.3124147360889516,0.1283206656244115,0.9426398456837496,0.0554422149500577,0.25,0.1767766952966369,302.6,27.097970403703663,34.0,0.0,8.0,8.0,4.0,0.0,4.0,0.0,5,Within-dataset CP,SANDIA
within_split_cp,sandia,sandia,sandia,xgboost,100,0.95,none,,,0.875,0.0883883476483184,0.0949999999999999,0.0596866819315665,0.5344406637575457,0.0944395944767451,0.9722536625795442,0.0263040558809495,1.0,0.0,762.393413754319,435.2275802996179,762.393413754319,435.2275802996179,2154.3171361037566,1127.9412818254734,135.73362505810186,130.25166475755032,45.88215737700625,25.361339133186764,24.85894964286539,7.096699903552159,0.925789081268821,0.9637130633568268,0.0716937081686327,inf,,0.0,,,,,1.0,0.0,1.0,0.0,0.6666666666666666,0.2357022603955158,1.0,0.0,0.75,0.1767766952966369,0.5101091635454028,0.0,1.0,0.0,0.3124147360889516,0.1283206656244115,0.9426398456837496,0.0554422149500577,0.25,0.1767766952966369,302.6,27.097970403703663,34.0,0.0,8.0,8.0,4.0,0.0,4.0,0.0,5,Within-dataset CP,SANDIA
cross_source_calibrated_cp,hust,luh,hust,random_forest,100,0.9,none,,,0.2924528301886792,0.0739829582139534,0.6075471698113207,0.0739829582139534,0.2153536622030979,0.0657707134042145,0.3840689922990979,0.0770218159378289,1.0,0.0,1056.051235437761,261.3987285165273,1056.051235437761,261.3987285165272,7974.867778919894,1144.966358725062,802.9386965747733,775.2743077149867,61.79503142011657,95.129617377166,93.6402164366658,3.138740030322616,-3.9213920719683486,-3.6424267165744215,0.6342407413476525,528.0256177188805,130.69936425826305,1.0,,,,,0.0,0.0,0.1257142857142856,0.1238827622210217,0.76,0.1041976144503454,0.0,0.0,0.5849056603773585,0.1479659164279068,0.0,0.0,0.0675819885765418,0.0,0.455584360272715,0.1468227290944387,0.7027507737425892,0.1291283697278937,0.5849056603773585,0.1479659164279068,451.0,0.0,53.0,0.0,12.0,106.0,53.0,0.0,53.0,0.0,5,Naive source-calibrated cross CP,HUST -> LUH
cross_source_calibrated_cp,hust,luh,hust,random_forest,100,0.95,none,,,0.2924528301886792,0.0739829582139534,0.6575471698113207,0.0739829582139533,0.2153536622030979,0.0657707134042145,0.3840689922990979,0.0770218159378289,1.0,0.0,1056.0512354377604,261.3987285165277,1056.0512354377606,261.39872851652757,14893.68432240202,2507.2742382258916,802.9386965747735,775.2743077149868,61.79503142011729,95.129617377166,93.6402164366658,3.1387400303226336,-3.921392071968351,-3.6424267165744215,0.6342407413476586,inf,,0.0,,,,,0.0,0.0,0.1257142857142856,0.1238827622210217,0.76,0.1041976144503454,0.0,0.0,0.5849056603773585,0.1479659164279068,0.0,0.0,0.0675819885765418,0.0,0.455584360272715,0.1468227290944387,0.7027507737425892,0.1291283697278937,0.5849056603773585,0.1479659164279068,451.0,0.0,53.0,0.0,12.0,106.0,53.0,0.0,53.0,0.0,5,Naive source-calibrated cross CP,HUST -> LUH
