scenario_label,confidence_level,direction,model,coverage_mean,coverage_short_life_mean,coverage_long_life_mean,short_long_coverage_gap_mean,coverage_wilson95_lower_mean,coverage_wilson95_upper_mean,finite_interval_fraction_mean,n_runs
"Target-domain CP, no adapter",0.9,LUH -> HUST,gaussian_process,0.9105263157894736,1.0,0.8241379310344827,0.1758620689655172,0.8129456741869884,0.9562666508810922,1.0,100
"Target-domain CP, no adapter",0.95,LUH -> HUST,gaussian_process,0.9587719298245614,1.0,0.9189655172413792,0.0810344827586206,0.8759502320345715,0.9836609773898006,1.0,100
"Target-domain CP, no adapter",0.9,LUH -> MATR,gaussian_process,0.9057798165137616,1.0,0.8132727272727273,0.1867272727272727,0.8399558126450363,0.9439759170976956,1.0,100
"Target-domain CP, no adapter",0.95,LUH -> MATR,gaussian_process,0.9510091743119268,1.0,0.902909090909091,0.097090909090909,0.8966506221172466,0.9746603395411912,1.0,100
"Target-domain CP, no adapter",0.9,LUH -> SANDIA,gaussian_process,0.9106666666666666,0.998,0.8233333333333333,0.1746666666666666,0.7631101611401203,0.9649908385996602,1.0,100
"Target-domain CP, no adapter",0.95,LUH -> SANDIA,gaussian_process,0.9576666666666668,0.9993333333333334,0.916,0.0833333333333333,0.8257205106958727,0.9857102300855546,1.0,100
"Target-domain CP, no adapter",0.9,MATR -> HUST,catboost,0.9017543859649124,1.0,0.806896551724138,0.193103448275862,0.8028019582481261,0.9499742060279014,1.0,100
"Target-domain CP, no adapter",0.95,MATR -> HUST,catboost,0.9478947368421052,1.0,0.8975862068965518,0.1024137931034482,0.8619919725894069,0.9772383974528196,1.0,100
"Target-domain CP, no adapter",0.9,MATR -> LUH,catboost,0.913953488372093,0.974186046511628,0.8537209302325581,0.133953488372093,0.8395864331234051,0.9529207337749104,1.0,100
"Target-domain CP, no adapter",0.95,MATR -> LUH,catboost,0.9530232558139536,0.9932558139534884,0.9127906976744186,0.0809302325581395,0.8898083021700732,0.9774972939635892,1.0,100
"Target-domain CP, no adapter",0.9,MATR -> SANDIA,catboost,0.9093333333333332,0.9973333333333332,0.8213333333333332,0.176,0.761768153301465,0.9639688821534462,1.0,100
"Target-domain CP, no adapter",0.95,MATR -> SANDIA,catboost,0.9526666666666668,1.0,0.9053333333333332,0.0946666666666666,0.8187936494794079,0.9837722252337592,1.0,100
"Target-domain CP, no adapter",0.9,SANDIA -> HUST,xgboost,0.9087719298245612,0.8142857142857143,1.0,0.1857142857142857,0.8107134578569541,0.9552116350527158,1.0,100
"Target-domain CP, no adapter",0.95,SANDIA -> HUST,xgboost,0.9515789473684212,0.9014285714285714,1.0,0.0985714285714285,0.8670222960602318,0.9791112615146568,1.0,100
"Target-domain CP, no adapter",0.9,SANDIA -> LUH,xgboost,0.9132558139534884,1.0,0.8265116279069766,0.1734883720930232,0.8383936528361008,0.9527778278258694,1.0,100
"Target-domain CP, no adapter",0.95,SANDIA -> LUH,xgboost,0.950813953488372,1.0,0.901627906976744,0.0983720930232558,0.8871533571268665,0.9759225659250352,1.0,100
