dataset,experiment,model,n_cycles,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,n_seeds,MAE_seed_boot_mean_ci95_lower,MAE_seed_boot_mean_ci95_upper,SMAPE_seed_boot_mean_ci95_lower,SMAPE_seed_boot_mean_ci95_upper,R2_seed_boot_mean_ci95_lower,R2_seed_boot_mean_ci95_upper,MAE_ci95_lower,MAE_ci95_upper,SMAPE_ci95_lower,SMAPE_ci95_upper,R2_ci95_lower,R2_ci95_upper,ci95_method
umich,luh_to_umich,elastic_net,100,910797423.1838449,49161549.98712018,199.99962038719698,0.0001818834968260628,-419070882561151.94,27640744943937.992,5,837211502.4215107,972343713.7101291,199.9992413477515,199.99985174677664,-685616339038024.6,-289127004383181.3,837211502.4215107,972343713.7101291,199.9992413477515,199.99985174677664,-685616339038024.6,-289127004383181.3,mean_of_seed_bootstrap_intervals
umich,luh_to_umich,pls,100,885384298.4081156,55922699.228625156,199.99425834324552,0.007120620896655493,-409328137431082.8,27819121002621.316,5,791080965.3244598,963058702.6201856,199.9842905760877,199.99978884159006,-668031933607180.4,-282807703601506.56,791080965.3244598,963058702.6201856,199.9842905760877,199.99978884159006,-668031933607180.4,-282807703601506.56,mean_of_seed_bootstrap_intervals
umich,luh_to_umich,random_forest,100,832.2409380502361,71.15471131900064,111.39882165507018,4.207950290096284,-328.4809082273092,55.955415250419385,5,812.552579861893,854.2771585104904,108.41487819061754,114.67880617519968,-543.3086165708509,-230.67079829308372,812.552579861893,854.2771585104904,108.41487819061754,114.67880617519968,-543.3086165708509,-230.67079829308372,mean_of_seed_bootstrap_intervals
umich,luh_to_umich,xgboost,100,782.7058958043351,146.92056931517567,107.21552155208545,10.470857621132406,-302.19625247127544,98.79439724186487,5,751.8943496461204,813.8502550506643,103.73120166918007,110.75292246421195,-500.81594588690234,-211.112978359206,751.8943496461204,813.8502550506643,103.73120166918007,110.75292246421195,-500.81594588690234,-211.112978359206,mean_of_seed_bootstrap_intervals
umich,luh_to_umich,catboost,100,548.2532574017846,123.35154337094801,89.39999510317445,11.243472651760332,-151.4928497291075,64.49859411411889,5,520.8810088858944,577.4547875002145,85.34832093845338,93.82319556458299,-249.09797628027846,-107.740755216771,520.8810088858944,577.4547875002145,85.34832093845338,93.82319556458299,-249.09797628027846,-107.740755216771,mean_of_seed_bootstrap_intervals
umich,luh_to_umich,gaussian_process,100,73.76184001851996,4.062409358808275,20.939493458735985,0.9915346055015583,-2.458833985649824,0.32028788264744945,5,60.69228287090323,87.0544822087317,16.92503747671038,25.19532399301779,-4.678891742564287,-1.501458881409043,60.69228287090323,87.0544822087317,16.92503747671038,25.19532399301779,-4.678891742564287,-1.501458881409043,mean_of_seed_bootstrap_intervals
umich,luh_to_umich,stacking,100,574.3242276704336,91.37953046097459,92.53124840546351,8.25596745777133,-160.05858893120165,47.93201298374167,5,553.805490938124,596.9092476001972,88.95311682618271,96.35146834637047,-266.37244532930777,-112.84740047593257,553.805490938124,596.9092476001972,88.95311682618271,96.35146834637047,-266.37244532930777,-112.84740047593257,mean_of_seed_bootstrap_intervals
luh,umich_to_luh,elastic_net,100,356.30048661658634,20.048905981619086,76.01898320806698,10.53269953588083,-0.399611398695856,0.15538916651346352,5,296.9223744202515,417.555435473222,68.74534161601417,83.58809387789574,-0.6334295843943822,-0.2316628785674238,296.9223744202515,417.555435473222,68.74534161601417,83.58809387789574,-0.6334295843943822,-0.2316628785674238,mean_of_seed_bootstrap_intervals
luh,umich_to_luh,pls,100,414.5561047597351,27.97009723654925,122.06939946788437,19.25533089058408,-0.7190122262168644,0.15922271452240874,5,353.4109151113723,477.4678679175149,115.60338191972255,128.4907715615876,-1.0349604769998924,-0.49827552854458645,353.4109151113723,477.4678679175149,115.60338191972255,128.4907715615876,-1.0349604769998924,-0.49827552854458645,mean_of_seed_bootstrap_intervals
luh,umich_to_luh,random_forest,100,347.1555859365177,5.035918735138128,70.94607666925683,1.3479782995700522,-0.32665488092217626,0.04102741950747055,5,289.7086914950235,407.0350860013831,63.61923008152068,78.55306004911435,-0.540069630756491,-0.1750431173406209,289.7086914950235,407.0350860013831,63.61923008152068,78.55306004911435,-0.540069630756491,-0.1750431173406209,mean_of_seed_bootstrap_intervals
luh,umich_to_luh,xgboost,100,344.98278307738553,5.280698421776876,70.3576193518988,1.331081531540494,-0.3072473264969341,0.04352342441407834,5,287.9284526481166,404.25957503153984,62.93305814770446,78.02853481980897,-0.515220234711171,-0.15900559902635014,287.9284526481166,404.25957503153984,62.93305814770446,78.02853481980897,-0.515220234711171,-0.15900559902635014,mean_of_seed_bootstrap_intervals
