scenario_label,protocol,direction,model,confidence_level,k_target,k_adapter,adapter_type,coverage_mean,coverage_wilson95_lower_mean,coverage_wilson95_upper_mean,coverage_short_life_mean,coverage_long_life_mean,short_long_coverage_gap_mean,median_width_mean,winkler_mean_mean,MAE_median,MAE_mean,SMAPE_median,SMAPE_mean,R2_median,R2_mean,finite_q_mean,n_runs
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> HUST,catboost,0.9,10.0,10.0,residual_mean,0.905438596491228,0.8083509097184121,0.9513284420902776,0.9071428571428573,0.903793103448276,0.1235467980295566,1062.366949540467,1251.7307211604211,251.0303996642205,257.27849694153184,17.239511948154053,17.556078296403275,-0.2019389437973869,-0.2907379537750704,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> HUST,catboost,0.9,15.0,15.0,residual_mean,0.932340425531915,0.829986861175889,0.9693607764150726,0.9269565217391303,0.9375,0.0802536231884057,1135.241524445671,1255.8015756072396,249.51248427815813,250.91582758477784,17.04079792213947,17.131831218137933,-0.1712434947497259,-0.2318412179133482,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> HUST,catboost,0.9,20.0,20.0,residual_mean,0.9075675675675676,0.7781831246309321,0.960282171929878,0.8922222222222221,0.9221052631578948,0.1077192982456139,998.6609260345537,1171.4922184417578,243.66385650278585,246.35914865497972,16.77051430414147,16.845850951891105,-0.1809741056831132,-0.1941983237847399,1.0,100
"Target-domain CP, no adapter",Target CP,MATR -> HUST,catboost,0.9,5.0,,none,0.8575,0.7691647964953539,0.9096196150981788,0.9947222222222224,0.7202777777777777,0.2744444444444444,2433.391224479354,2846.973147552864,857.6745150505328,858.6518142539317,79.41893659926212,79.32297337090516,-9.944309849257415,-9.942572708163448,0.0,100
"Target-domain CP, no adapter",Target CP,MATR -> HUST,catboost,0.9,10.0,,none,0.9268656716417908,0.8444497565475122,0.9629870319124512,1.0,0.8558823529411764,0.1441176470588235,2593.8248184328627,2737.8227260753843,866.2995599245626,860.183399190473,79.7655417294374,79.4353586761377,-9.948045019193724,-10.112598287788376,1.0,100
"Target-domain CP, no adapter",Target CP,MATR -> HUST,catboost,0.9,15.0,,none,0.9408064516129032,0.8577433716125763,0.9724326448219232,1.0,0.8816129032258064,0.1183870967741935,2638.2797319930837,2745.738690772218,862.4242219134928,860.6496353365873,79.90678383530482,79.43368242928585,-9.97000203150494,-10.006097582565184,1.0,100
"Target-domain CP, no adapter",Target CP,MATR -> HUST,catboost,0.9,20.0,,none,0.9017543859649124,0.8029951322924755,0.949781031983552,1.0,0.806896551724138,0.193103448275862,2513.996285755377,2715.794876169102,855.8212243121127,859.0278118772602,79.43355624843434,79.29682626729848,-9.91255584065344,-9.912047398090513,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> HUST,random_forest,0.9,5.0,5.0,residual_mean,0.8326865671641791,0.7372920099810562,0.8920005080179852,0.7960606060606061,0.8682352941176471,0.2019786096256684,1044.6255881265397,1504.370387231383,262.60118802786474,280.27235589846754,17.874069546598896,19.130917884233767,-0.377793905255835,-0.5876910047038352,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> HUST,random_forest,0.9,10.0,10.0,residual_mean,0.9135087719298244,0.8198445155901739,0.9549561041472048,0.8992857142857144,0.9272413793103448,0.1027093596059113,1153.3226594447594,1332.5910393274812,256.0623136188366,269.74921076531103,17.498996665378165,18.437045442948214,-0.2761844154758749,-0.4329302552193412,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> HUST,random_forest,0.9,15.0,15.0,residual_mean,0.9342553191489362,0.8324921888743497,0.9703958664027924,0.9130434782608696,0.9545833333333332,0.0884963768115941,1189.7428392966854,1316.2232631002364,257.8212987333869,267.5857716726301,17.535489132090746,18.24555304026272,-0.2802093448575142,-0.4286674478703551,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> HUST,random_forest,0.9,20.0,20.0,residual_mean,0.9067567567567568,0.7773737989447866,0.959622402198462,0.8866666666666667,0.9257894736842104,0.1152631578947367,1057.187066740661,1238.6367557988146,259.65165608229586,269.46856859106117,17.681181167293452,18.400147535583613,-0.253040433755343,-0.4067179226730081,1.0,100
"Target-domain CP, no adapter",Target CP,MATR -> HUST,random_forest,0.9,5.0,,none,0.8697222222222223,0.7815649633474028,0.9204257529159942,0.9969444444444444,0.7425,0.2544444444444444,2541.9743327525134,2876.538589424853,913.9902933814888,890.1729710739135,87.20880350962037,84.23950446078193,-11.263989326944694,-10.920576004091895,0.0,100
"Target-domain CP, no adapter",Target CP,MATR -> HUST,random_forest,0.9,10.0,,none,0.9052238805970148,0.8196059625431309,0.9468943453830232,1.0,0.8132352941176471,0.1867647058823529,2636.915020066058,2843.9659207526315,915.4759763522828,892.1672984997413,87.29395715220876,84.33961177254605,-11.155407789638463,-10.964900918651828,1.0,100
"Target-domain CP, no adapter",Target CP,MATR -> HUST,random_forest,0.9,15.0,,none,0.9311290322580644,0.8467913050848762,0.965159112745134,1.0,0.862258064516129,0.1377419354838709,2705.995651419934,2833.912154028314,910.4586209164448,891.8530755615362,86.95065553730402,84.37632454627914,-11.192895183069076,-11.0685499469978,1.0,100
"Target-domain CP, no adapter",Target CP,MATR -> HUST,random_forest,0.9,20.0,,none,0.8852631578947369,0.7819910029519471,0.9398851790350208,0.999642857142857,0.7748275862068965,0.2248152709359605,2568.111550923126,2805.9879000915016,916.6203819531966,895.7409794253693,87.03438323272474,84.69983278613681,-11.354541500734085,-11.089035597914178,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> MATR,catboost,0.95,5.0,5.0,residual_mean,0.8184873949579832,0.7493254968697062,0.8677300210938316,0.8393220338983051,0.7979999999999999,0.1787853107344632,1203.2331268215814,2777.050274723242,285.097442740264,307.2631652636645,37.14265160260186,39.17810336089054,-0.0683535121614765,-0.2222169021223872,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> MATR,catboost,0.95,10.0,10.0,residual_mean,0.9047706422018348,0.8425956780258559,0.9393864136822458,0.9416666666666668,0.8685454545454546,0.112030303030303,1464.6899968170778,2310.502329216853,281.9317713112794,289.6799935850309,36.46182474057194,37.30883072252502,-0.0408428522508183,-0.0963771158376681,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> MATR,catboost,0.95,15.0,15.0,residual_mean,0.9466666666666668,0.8879072409883214,0.9720572228977528,0.983469387755102,0.9106,0.0797020408163265,1691.6093055473125,2163.960232620297,276.64653191376243,278.8403612158063,35.72645766087831,36.06087869313813,-0.0030349998612329,-0.0298936093642643,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> MATR,catboost,0.95,20.0,20.0,residual_mean,0.9561797752808988,0.8962348055205674,0.9783744588256827,0.9922727272727272,0.9208888888888888,0.0738181818181818,1779.143200192543,2192.3887523873746,276.08831351225365,276.4269198327917,35.63419159526185,35.7093549985999,0.0004487261778874,-0.0200584351452043,1.0,100
"Target-domain CP, no adapter",Target CP,HUST -> MATR,catboost,0.95,5.0,,none,0.8162903225806452,0.7502153144255175,0.8633571582573635,0.6569354838709677,0.9756451612903224,0.3187096774193548,1928.5348275167248,3044.104049061296,669.6576625369314,671.611475167636,66.52739616353821,66.44072582071387,-3.04067828765777,-3.1014837477415114,0.0,100
"Target-domain CP, no adapter",Target CP,HUST -> MATR,catboost,0.95,10.0,,none,0.9191596638655462,0.8604537654074689,0.9516499083661794,0.8369491525423729,1.0,0.1630508474576271,2101.1676742897016,2278.682014086534,670.3237486122739,671.0544565852408,66.36631351153238,66.40955591291691,-3.105313388674247,-3.058440381690902,0.0,100
"Target-domain CP, no adapter",Target CP,HUST -> MATR,catboost,0.95,15.0,,none,0.9369298245614036,0.8814482143095697,0.9639248911912744,0.8747368421052631,0.999122807017544,0.1243859649122806,2131.461387295878,2271.001407882636,672.1265071976575,671.5417046268292,66.31249380754977,66.43406288556054,-3.0973515821918047,-3.114695445265692,0.0,100
"Target-domain CP, no adapter",Target CP,HUST -> MATR,catboost,0.95,20.0,,none,0.9511926605504588,0.89752835365293,0.974137087648168,0.9014814814814816,1.0,0.0985185185185184,2160.077258108005,2244.0847706323275,673.2650046287397,670.3333706851544,66.29988086331204,66.26859549405107,-3.049033896348427,-3.1043235681088763,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> MATR,random_forest,0.95,5.0,5.0,residual_mean,0.8404201680672269,0.7713836164040496,0.8881656984429928,0.8815254237288136,0.8,0.1776497175141242,1174.6580408692046,2573.780081500719,280.62628637412604,298.4845400576812,36.502202902071915,38.34089044118341,-0.0298877707152008,-0.1400331820493016,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> MATR,random_forest,0.95,10.0,10.0,residual_mean,0.9059633027522936,0.8420899872384173,0.9421962221469748,0.9427777777777776,0.8698181818181818,0.1126969696969696,1413.6204044125277,2237.768901678029,274.7578322946722,280.73575190515544,35.704159269690436,36.26382202582551,0.008924038484567,-0.0344769054012578,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> MATR,random_forest,0.95,15.0,15.0,residual_mean,0.937878787878788,0.8771901188230851,0.9658550984872116,0.9775510204081632,0.899,0.0912448979591836,1609.738325875977,2207.4280333290794,271.5025197876346,275.5031067571536,35.11585781908303,35.653941466624374,0.0247181931610812,-0.0034291566409617,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> MATR,random_forest,0.95,20.0,20.0,residual_mean,0.9586516853932584,0.8996643894233669,0.9796841369464346,0.9845454545454544,0.9333333333333332,0.0613535353535353,1839.576499777717,2180.6364526229295,276.032779570871,276.6278698346034,35.90015399417524,35.937755807501446,0.0261346032293025,-0.0271446691302233,1.0,100
"Target-domain CP, no adapter",Target CP,HUST -> MATR,random_forest,0.95,5.0,,none,0.8084677419354839,0.741164049866369,0.8572333769597452,0.6370967741935484,0.9798387096774194,0.3427419354838709,1769.9255355225446,2817.611020160088,603.4100033378675,611.5228315765575,62.2633957253545,62.7968000185144,-2.231018517071994,-2.4183877184308766,0.0,100
"Target-domain CP, no adapter",Target CP,HUST -> MATR,random_forest,0.95,10.0,,none,0.9111764705882354,0.8519637511668978,0.9446728317870838,0.8208474576271186,1.0,0.1791525423728813,1919.7748358379713,2134.8691908620144,598.290122154825,610.0916679870883,61.60372074048754,62.61777456342595,-2.213475846151499,-2.4273000303622454,0.0,100
"Target-domain CP, no adapter",Target CP,HUST -> MATR,random_forest,0.95,15.0,,none,0.9316666666666668,0.8753073864358086,0.9598825457403914,0.8633333333333333,1.0,0.1366666666666666,1957.949761106585,2099.7962463352324,602.2439913815093,611.3789020265043,62.110797083661,62.77833803367068,-2.2502626851930803,-2.44543897253998,0.0,100
"Target-domain CP, no adapter",Target CP,HUST -> MATR,random_forest,0.95,20.0,,none,0.9547706422018348,0.901855830589165,0.9767219637438042,0.9087037037037036,1.0,0.0912962962962962,1995.4612303821905,2071.6386260875083,597.2043177093726,609.6735989980964,61.78700046057074,62.57653864440156,-2.179929759174521,-2.374339370164974,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> HUST,catboost,0.95,5.0,5.0,residual_mean,0.844776119402985,0.7493504501354725,0.9028100328514208,0.8454545454545455,0.8441176470588235,0.1864171122994652,997.5360957145608,1740.3391390618008,255.42476083470416,266.6395203334881,17.472740854901403,18.2347155631676,-0.2472625162718027,-0.3937532289642324,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> HUST,catboost,0.95,10.0,10.0,residual_mean,0.905438596491228,0.8083509097184121,0.9513284420902776,0.9071428571428573,0.903793103448276,0.1235467980295566,1062.366949540467,1441.0944927803748,251.0303996642205,257.27849694153184,17.239511948154053,17.556078296403275,-0.2019389437973869,-0.2907379537750704,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> HUST,catboost,0.95,15.0,15.0,residual_mean,0.932340425531915,0.829986861175889,0.9693607764150726,0.9269565217391303,0.9375,0.0802536231884057,1135.241524445671,1376.361626768808,249.51248427815813,250.91582758477784,17.04079792213947,17.131831218137933,-0.1712434947497259,-0.2318412179133482,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> HUST,catboost,0.95,20.0,20.0,residual_mean,0.9537837837837838,0.8387735873301326,0.9834301480316712,0.9405555555555556,0.9663157894736842,0.0566374269005847,1167.4562105969662,1342.7292638050574,243.66385650278585,246.35914865497972,16.77051430414147,16.845850951891105,-0.1809741056831132,-0.1941983237847399,1.0,100
"Target-domain CP, no adapter",Target CP,MATR -> HUST,catboost,0.95,5.0,,none,0.8575,0.7691647964953539,0.9096196150981788,0.9947222222222224,0.7202777777777777,0.2744444444444444,2433.391224479354,3260.5550706263725,857.6745150505328,858.6518142539317,79.41893659926212,79.32297337090516,-9.944309849257415,-9.942572708163448,0.0,100
"Target-domain CP, no adapter",Target CP,MATR -> HUST,catboost,0.95,10.0,,none,0.9268656716417908,0.8444497565475122,0.9629870319124512,1.0,0.8558823529411764,0.1441176470588235,2593.8248184328627,2881.820633717906,866.2995599245626,860.183399190473,79.7655417294374,79.4353586761377,-9.948045019193724,-10.112598287788376,0.0,100
"Target-domain CP, no adapter",Target CP,MATR -> HUST,catboost,0.95,15.0,,none,0.9408064516129032,0.8577433716125763,0.9724326448219232,1.0,0.8816129032258064,0.1183870967741935,2638.2797319930837,2853.1976495513513,862.4242219134928,860.6496353365873,79.90678383530482,79.43368242928585,-9.97000203150494,-10.006097582565184,0.0,100
"Target-domain CP, no adapter",Target CP,MATR -> HUST,catboost,0.95,20.0,,none,0.9482456140350876,0.8625219576363784,0.97736585883753,1.0,0.8982758620689656,0.1017241379310344,2665.872879260669,2839.2041863602335,855.8212243121127,859.0278118772602,79.43355624843434,79.29682626729848,-9.91255584065344,-9.912047398090513,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> HUST,random_forest,0.95,5.0,5.0,residual_mean,0.8326865671641791,0.7372920099810562,0.8920005080179852,0.7960606060606061,0.8682352941176471,0.2019786096256684,1044.62558812654,1964.1151863362236,262.60118802786474,280.27235589846754,17.874069546598886,19.130917884233767,-0.3777939052558355,-0.5876910047038352,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> HUST,random_forest,0.95,10.0,10.0,residual_mean,0.9135087719298244,0.8198445155901739,0.9549561041472048,0.8992857142857144,0.9272413793103448,0.1027093596059113,1153.3226594447592,1511.8594192102023,256.06231361883664,269.74921076531103,17.49899666537818,18.43704544294821,-0.2761844154758738,-0.4329302552193412,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> HUST,random_forest,0.95,15.0,15.0,residual_mean,0.9342553191489362,0.8324921888743497,0.9703958664027924,0.9130434782608696,0.9545833333333332,0.0884963768115941,1189.7428392966854,1442.7036869037872,257.8212987333869,267.5857716726301,17.535489132090753,18.24555304026272,-0.2802093448575133,-0.4286674478703552,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,MATR -> HUST,random_forest,0.95,20.0,20.0,residual_mean,0.9462162162162164,0.8298834685660801,0.9786087095651516,0.9322222222222222,0.9594736842105264,0.0683625730994151,1252.730471947992,1446.0157366105068,259.65165608229574,269.4685685910612,17.68118116729344,18.400147535583613,-0.2530404337553424,-0.4067179226730084,1.0,100
"Target-domain CP, no adapter",Target CP,MATR -> HUST,random_forest,0.95,5.0,,none,0.8697222222222223,0.7815649633474028,0.9204257529159942,0.9969444444444444,0.7425,0.2544444444444444,2541.9743327525134,3211.102846097192,913.9902933814884,890.1729710739137,87.20880350962042,84.23950446078193,-11.263989326944689,-10.920576004091895,0.0,100
"Target-domain CP, no adapter",Target CP,MATR -> HUST,random_forest,0.95,10.0,,none,0.9052238805970148,0.8196059625431309,0.9468943453830232,1.0,0.8132352941176471,0.1867647058823529,2636.915020066058,3051.0168214392047,915.4759763522828,892.1672984997413,87.29395715220875,84.33961177254605,-11.155407789638469,-10.964900918651828,0.0,100
"Target-domain CP, no adapter",Target CP,MATR -> HUST,random_forest,0.95,15.0,,none,0.9311290322580644,0.8467913050848762,0.965159112745134,1.0,0.862258064516129,0.1377419354838709,2705.995651419934,2961.8286566366933,910.4586209164444,891.8530755615363,86.95065553730402,84.37632454627914,-11.192895183069089,-11.0685499469978,0.0,100
"Target-domain CP, no adapter",Target CP,MATR -> HUST,random_forest,0.95,20.0,,none,0.9408771929824562,0.8519715717480913,0.9741098696604924,1.0,0.8837931034482759,0.1162068965517241,2731.980606967542,2905.126021456934,916.6203819531968,895.7409794253691,87.03438323272471,84.6998327861368,-11.354541500734085,-11.089035597914178,1.0,100
