direction,model,confidence_level,coverage_no_adapter,coverage_adapted,median_width_no_adapter,median_width_adapted,median_width_reduction_pct,MAE_no_adapter,MAE_adapted,MAE_reduction_pct,R2_no_adapter,R2_adapted,winkler_no_adapter,winkler_adapted,winkler_reduction_pct,short_life_coverage_adapted,long_life_coverage_adapted,short_long_coverage_gap_adapted
HUST -> MATR,catboost,0.9,0.9026605504587156,0.9051685393258428,2074.833628925817,1302.279503440718,37.23450953920897,670.3333706851544,276.4269198327917,58.76276910542988,-3.1043235681088763,-0.0200584351452043,2175.483463404941,1742.883646178083,19.885226640600518,0.9613636363636364,0.8502222222222222,0.1265757575757576
HUST -> MATR,catboost,0.95,0.9511926605504588,0.9561797752808988,2160.077258108005,1779.143200192543,17.635205244886443,670.3333706851544,276.4269198327917,58.76276910542988,-3.1043235681088763,-0.0200584351452043,2244.0847706323275,2192.3887523873746,2.3036571042896137,0.9922727272727272,0.9208888888888888,0.0738181818181818
HUST -> MATR,random_forest,0.9,0.9077064220183486,0.9092134831460674,1904.3726367643967,1281.4448703362752,32.71039261971859,609.6735989980964,276.6278698346035,54.626890472344826,-2.374339370164974,-0.0271446691302237,1994.5313710794055,1690.289903305818,15.253782025445783,0.9561363636363636,0.8633333333333333,0.1193484848484848
HUST -> MATR,random_forest,0.95,0.9547706422018348,0.9586516853932584,1995.4612303821905,1839.576499777717,7.811964884660627,609.6735989980964,276.6278698346034,54.62689047234483,-2.374339370164974,-0.0271446691302233,2071.6386260875083,2180.6364526229295,-5.261430500611697,0.9845454545454544,0.9333333333333332,0.0613535353535353
MATR -> HUST,catboost,0.9,0.9017543859649124,0.9075675675675676,2513.996285755377,998.6609260345537,60.275958572687884,859.0278118772602,246.35914865497972,71.32116734188112,-9.912047398090513,-0.1941983237847399,2715.794876169102,1171.4922184417578,56.86374443366415,0.8922222222222221,0.9221052631578948,0.107719298245614
MATR -> HUST,catboost,0.95,0.9482456140350876,0.9537837837837838,2665.872879260669,1167.4562105969662,56.20735633423231,859.0278118772602,246.35914865497972,71.32116734188112,-9.912047398090513,-0.1941983237847399,2839.2041863602335,1342.7292638050574,52.707548465318645,0.9405555555555556,0.9663157894736842,0.0566374269005848
MATR -> HUST,random_forest,0.9,0.8852631578947369,0.9067567567567568,2568.111550923126,1057.187066740661,58.834067532594226,895.7409794253693,269.46856859106117,69.91668632109149,-11.089035597914178,-0.4067179226730081,2805.9879000915016,1238.6367557988146,55.857373591724205,0.8866666666666667,0.9257894736842104,0.1152631578947368
MATR -> HUST,random_forest,0.95,0.9408771929824562,0.9462162162162164,2731.980606967542,1252.730471947992,54.14570408175392,895.7409794253691,269.4685685910612,69.91668632109148,-11.089035597914178,-0.4067179226730084,2905.126021456934,1446.0157366105068,50.22536971097304,0.9322222222222222,0.9594736842105264,0.0683625730994152
