direction,pair,regime,delta_mahalanobis,pct_mahalanobis_reduction,delta_mmd,pct_mmd_reduction,raw_R2,cap_R2,delta_R2
hust_to_luh,hust_vs_luh,strong_rank_signal,150.4624888630509,79.87348368101526,0.06140070127692632,7.362907786433346,-4.941056459685158,-0.5620604259849377,4.37899603370022
hust_to_matr,matr_vs_hust,negative_or_inverted_signal,9.271044567784745,58.01644307035413,0.14003210979756608,24.537863839468827,-2.051705110427774,-3.6001135620102005,-1.5484084515824263
hust_to_sandia,hust_vs_sandia,strong_rank_signal,1.6557936182854398,12.552495584284964,0.021602907285631412,2.749091594133715,-0.5329268210931012,-0.2314739418959273,0.3014528791971739
luh_to_hust,hust_vs_luh,rank_signal_collapsed,150.4624888630509,79.87348368101526,0.06140070127692632,7.362907786433346,-3.856777311424301,-0.7633991911495887,3.0933781202747124
luh_to_matr,matr_vs_luh,weak_rank_signal,211.710069622168,91.47297886379022,0.034604583894861984,4.083047163759397,0.0070850456938248,-0.2751555415129972,-0.282240587206822
luh_to_sandia,sandia_vs_luh,strong_rank_signal,-0.705478915143253,-7.942960376743641,0.017454607051371418,3.5575473192420493,0.3203582175006663,0.4987192368143311,0.17836101931366483
matr_to_hust,matr_vs_hust,negative_or_inverted_signal,9.271044567784745,58.01644307035413,0.14003210979756608,24.537863839468827,-8.124868589002542,-7.936737027557716,0.188131561444826
matr_to_luh,matr_vs_luh,moderate_rank_signal,211.710069622168,91.47297886379022,0.034604583894861984,4.083047163759397,0.0208772301701287,0.0038324202528452,-0.0170448099172835
matr_to_sandia,matr_vs_sandia,moderate_rank_signal,3.2076810220948904,23.12355698129774,0.023067307332563236,2.702081863633166,0.0335872647720518,0.0455318396232738,0.011944574851221995
sandia_to_hust,hust_vs_sandia,weak_rank_signal,1.6557936182854398,12.552495584284964,0.021602907285631412,2.749091594133715,-1.8111879428868656,-2.0265370030134924,-0.2153490601266268
sandia_to_luh,sandia_vs_luh,strong_rank_signal,-0.705478915143253,-7.942960376743641,0.017454607051371418,3.5575473192420493,0.1289762739474336,0.4944713375776242,0.3654950636301906
sandia_to_matr,matr_vs_sandia,rank_signal_collapsed,3.2076810220948904,23.12355698129774,0.023067307332563236,2.702081863633166,-0.922868905105762,-0.8021333947043509,0.12073551040141117
