experiment,scenario,source,target,model,n_cycles,seed,train_cells,calibration_cells,test_cells,MAE,SMAPE,R2,y_mean_log,y_std_log,log_lower,log_upper,best_filters,best_learning_rate,best_epoch,epochs_run,best_val_loss,final_train_loss
hust_to_luh,naive_cross,hust,luh,pytorch_simple_transformer,100,1011,53,12,106,821.7558379526866,96.64774479408501,-3.947035220067912,7.291066646575928,0.1885673850774765,6.836259365081787,7.612831115722656,32,0.001,8,16,0.9161984324455261,0.921917736530304
hust_to_luh,naive_cross,hust,luh,pytorch_simple_transformer,100,123,53,12,106,852.561178511482,97.99628107008294,-4.306223735564661,7.280747890472412,0.19897635281085968,6.72022008895874,7.612831115722656,32,0.001,1,9,0.8315763473510742,0.9520031213760376
hust_to_luh,naive_cross,hust,luh,pytorch_simple_transformer,100,42,53,12,106,816.01312701602,96.29415645802995,-3.898606537638864,7.299964904785156,0.18443509936332703,6.967909336090088,7.612831115722656,32,0.003,1,9,1.2941768169403076,0.9152738451957703
hust_to_luh,naive_cross,hust,luh,pytorch_simple_transformer,100,456,53,12,106,608.5174794003341,85.17759817023061,-1.8640623172682202,7.2845354080200195,0.19942925870418549,6.72022008895874,7.612831115722656,32,0.001,22,30,0.32412388920783997,0.7931615114212036
hust_to_luh,naive_cross,hust,luh,pytorch_simple_transformer,100,789,53,12,106,667.2988085836861,88.27186674318227,-2.4418940257627986,7.282606601715088,0.19414253532886505,6.72022008895874,7.612831115722656,64,0.001,9,17,0.8299520015716553,0.890903115272522
hust_to_matr,naive_cross,hust,matr,pytorch_simple_transformer,100,1011,53,12,129,760.3034393623998,71.65207645495586,-4.094989161168984,7.291066646575928,0.1885673850774765,6.836259365081787,7.612831115722656,32,0.001,8,16,0.9161984324455261,0.921917736530304
hust_to_matr,naive_cross,hust,matr,pytorch_simple_transformer,100,123,53,12,129,682.984192912616,67.23852043411418,-3.164895466979935,7.280747890472412,0.19897635281085968,6.72022008895874,7.612831115722656,32,0.001,1,9,0.8315763473510742,0.9520031213760376
hust_to_matr,naive_cross,hust,matr,pytorch_simple_transformer,100,42,53,12,129,779.2661628818382,72.70548167905898,-4.330312694969754,7.299964904785156,0.18443509936332703,6.967909336090088,7.612831115722656,32,0.003,1,9,1.2941768169403076,0.9152738451957703
hust_to_matr,naive_cross,hust,matr,pytorch_simple_transformer,100,456,53,12,129,765.4984341816444,71.66815717985415,-4.2831874181430125,7.2845354080200195,0.19942925870418549,6.72022008895874,7.612831115722656,32,0.001,22,30,0.32412388920783997,0.7931615114212036
hust_to_matr,naive_cross,hust,matr,pytorch_simple_transformer,100,789,53,12,129,809.8056728015436,74.32430519828992,-4.742873154990828,7.282606601715088,0.19414253532886505,6.72022008895874,7.612831115722656,64,0.001,9,17,0.8299520015716553,0.890903115272522
