scenario,experiment,source,target,model,n_cycles,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,train_cells_mean,calibration_cells_mean,test_cells_mean,best_epoch_mean,n_runs,MAE_cluster_ci95_lower,MAE_cluster_ci95_upper,SMAPE_cluster_ci95_lower,SMAPE_cluster_ci95_upper,R2_cluster_ci95_lower,R2_cluster_ci95_upper,bootstrap_prediction_rows,bootstrap_distinct_cells
naive_cross,hust_to_luh,hust,luh,pytorch_simple_transformer,100,753.2292862928418,108.2012913549285,92.87752944712216,5.7573985593108405,-3.2915643672604915,1.0709082198230306,53.0,12.0,106.0,8.2,5,683.8147699947531,818.2943783753335,82.45038280098483,103.0883166392756,-4.962123060323331,-2.2787883198071754,530,106
naive_cross,hust_to_matr,hust,matr,pytorch_simple_transformer,100,759.5715804280084,46.937809263890045,71.5177081892546,2.628684566829566,-4.1232515792505025,0.5855830166445759,53.0,12.0,129.0,8.2,5,709.0145461915984,807.8129509320963,65.50567799895495,77.37576938621213,-6.8279322026708185,-2.7387122702339886,645,129
naive_cross,hust_to_sandia,hust,sandia,pytorch_simple_transformer,100,1203.3295681757577,45.77149661936363,126.79887669041148,1.7101063150434876,-0.32774798914616576,0.09151901117129393,53.0,12.0,50.0,8.2,5,1127.0189097380958,1288.5896066659227,115.90753495123442,136.51527436849173,-1.3389782067302425,-0.05979682057059487,250,50
naive_cross,luh_to_hust,luh,hust,pytorch_simple_transformer,100,265.2949403939871,46.25093085374943,18.323257727160957,3.6425528899045756,-0.4931133043447158,0.5475631988033344,74.0,16.0,77.0,17.0,5,236.98790302421256,297.2993352350942,16.44356407404158,20.304456734303496,-0.8032826976928071,-0.3152473526920855,385,77
naive_cross,luh_to_matr,luh,matr,pytorch_simple_transformer,100,733.6740595503185,142.87545786197526,69.4848109693394,8.680044316961332,-3.911555188303784,1.6196980472652396,74.0,16.0,129.0,17.0,5,688.4148776000153,779.6424386044264,63.95994461464248,75.04287913020484,-6.528062896258107,-2.6064706314283748,645,129
naive_cross,luh_to_sandia,luh,sandia,pytorch_simple_transformer,100,692.8412622752969,160.2801283459101,75.66894559995617,12.245703344828609,0.17192719224850875,0.13687326103996778,74.0,16.0,50.0,17.0,5,528.331097028703,867.5610526968417,61.17917105563299,88.82093948862209,-0.17093646048338226,0.2706151749816657,250,50
naive_cross,matr_to_hust,matr,hust,pytorch_simple_transformer,100,816.7017454819473,59.363005623209716,74.00657773652617,8.18791204281091,-8.906907244630627,1.326420332873475,89.0,20.0,77.0,11.0,5,754.8690100320512,879.7123037524556,70.21625390595317,77.71269921134383,-12.658126471268805,-6.742876218049804,385,77
naive_cross,matr_to_luh,matr,luh,pytorch_simple_transformer,100,362.06156900866233,22.105343267718816,70.57424535882724,6.903462311449449,-0.18847277956397537,0.28298742365729385,89.0,20.0,106.0,11.0,5,325.1715553223232,402.1035717561204,64.40064312258467,77.12901933062393,-0.2758582034912117,-0.15322865547430778,530,106
naive_cross,matr_to_sandia,matr,sandia,pytorch_simple_transformer,100,720.1593230145421,100.54166808775305,92.82582535974308,16.12443766513802,-0.013943748470360284,0.03781743703633496,89.0,20.0,50.0,11.0,5,523.037534983026,947.0402334176667,85.2702665241469,100.5418886750931,-0.1294353127966645,0.009240781001182774,250,50
naive_cross,sandia_to_hust,sandia,hust,pytorch_simple_transformer,100,1110.8524714324672,496.41534916277794,53.48018429354545,18.158549469808847,-19.374779701878758,15.31670843404327,34.0,8.0,77.0,13.4,5,1043.1055683786253,1175.5470684694847,49.48308389804527,57.38753052145185,-26.46963193380325,-15.31613968864795,385,77
naive_cross,sandia_to_luh,sandia,luh,pytorch_simple_transformer,100,479.1991459176443,272.9629534483615,75.37218397023346,6.093087032852556,-2.4636817343270097,4.624287619067704,34.0,8.0,106.0,13.4,5,406.11903860117314,557.6257823145493,69.43658387098228,81.90406269084427,-3.551259231450557,-1.7273537327364485,530,106
naive_cross,sandia_to_matr,sandia,matr,pytorch_simple_transformer,100,1765.100376709547,585.2946117208356,107.12613655810671,17.27368444638728,-26.302791643061276,16.19689184783719,34.0,8.0,129.0,13.4,5,1698.6496345544117,1827.5998595975668,101.92767586329394,112.17428643041754,-40.38576241197027,-19.17723164473099,645,129
within_split,hust_to_hust,hust,hust,pytorch_simple_transformer,100,238.87367776877937,19.94045967328026,16.385139658967788,1.235573607844401,-0.11488134939088035,0.19661808347584706,53.0,12.0,12.0,8.2,5,193.61263646580593,286.3929981411996,13.059513549184054,20.013705878560796,-0.42864058784921016,0.08367418564460576,60,43
within_split,luh_to_luh,luh,luh,pytorch_simple_transformer,100,133.1165250513247,16.478620661897125,22.245572907749548,1.993776267784,0.741724142228534,0.06717999634289035,74.0,16.0,16.0,17.0,5,99.66125931617162,169.24637581473604,17.65821093902858,27.232897459022308,0.6051871463716273,0.8356709791635868,80,53
within_split,matr_to_matr,matr,matr,pytorch_simple_transformer,100,278.80222563801334,29.017858271963373,38.518305197836966,3.194213627157136,-0.0004522768803081334,0.056380141880617345,89.0,20.0,20.0,11.0,5,225.63741521512222,335.269580086301,30.538148112147244,47.8576946339499,-0.16831644676465976,0.07312770145001973,100,75
within_split,sandia_to_sandia,sandia,sandia,pytorch_simple_transformer,100,159.31066780154993,50.9437625240015,34.14364310503971,7.392700662391585,0.9267075796355039,0.052770741291958495,34.0,8.0,8.0,13.4,5,98.85740913148032,238.31457795141813,26.607414876265736,43.15523527851722,0.829146751192978,0.9709742842585333,40,31
