scenario,source,target,model,n_cycles,seed,confidence_level,clip,n_train,n_calibration,n_test,discriminator_auc,cal_weight_ess,cal_weight_ess_fraction,raw_cal_weight_ess,raw_cal_weight_ess_fraction,cal_weight_sum,cal_weight_min,cal_weight_median,cal_weight_max,target_weight_median,target_weight_max,target_mass_fraction_median,target_mass_fraction_max,finite_interval_fraction,n_infinite_intervals,q_hat_median,mean_width,median_width,median_finite_width,winkler_mean,MAE,SMAPE,R2,covered_count,coverage,coverage_wilson95_lower,coverage_wilson95_upper
unweighted_source_cp,matr,hust,catboost,100,42,0.9,unweighted,89,20,77,,20.0,1.0,20.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,0.047619047619047616,0.047619047619047616,1.0,0,633.4154228868251,1266.8308457736505,1266.8308457736503,1266.8308457736503,7355.0554473929515,914.5200586033561,86.56493910540168,-11.162695297864643,17,0.22077922077922077,0.14266403041098702,0.3254306746168657
importance_weighted_source_cp,matr,hust,catboost,100,42,0.9,5,89,20,77,1.0,20.000000000000004,1.0000000000000002,16.356260507385738,0.8178130253692869,4.000000000000001,0.2,0.2,0.2,5.0,5.0,0.5555555555555556,0.5555555555555556,0.0,77,inf,inf,inf,inf,inf,914.5200586033561,86.56493910540168,-11.162695297864643,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,catboost,100,42,0.9,10,89,20,77,1.0,20.000000000000004,1.0000000000000002,16.356260507385738,0.8178130253692869,2.0000000000000004,0.1,0.1,0.1,10.0,10.0,0.8333333333333334,0.8333333333333334,0.0,77,inf,inf,inf,inf,inf,914.5200586033561,86.56493910540168,-11.162695297864643,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,catboost,100,42,0.9,20,89,20,77,1.0,20.000000000000004,1.0000000000000002,16.356260507385738,0.8178130253692869,1.0000000000000002,0.05,0.05,0.05,20.0,20.0,0.9523809523809523,0.9523809523809523,0.0,77,inf,inf,inf,inf,inf,914.5200586033561,86.56493910540168,-11.162695297864643,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,catboost,100,42,0.9,inf,89,20,77,1.0,16.356260507385738,0.8178130253692869,16.356260507385738,0.8178130253692869,0.17495371172499619,0.0024973418145147032,0.00868003197096286,0.017188419314154654,191.2359412711577,5839.361016132776,0.9990859782995077,0.9999700397920951,0.0,77,inf,inf,inf,inf,inf,914.5200586033561,86.56493910540168,-11.162695297864643,77,1.0,0.9524815747175658,0.9999999999999999
unweighted_source_cp,matr,hust,catboost,100,42,0.95,unweighted,89,20,77,,20.0,1.0,20.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,0.047619047619047616,0.047619047619047616,1.0,0,709.9133411616066,1419.8266823232132,1419.8266823232132,1419.8266823232132,11253.213058416151,914.5200586033561,86.56493910540168,-11.162695297864643,21,0.2727272727272727,0.18584490792429903,0.3812089217495345
importance_weighted_source_cp,matr,hust,catboost,100,42,0.95,5,89,20,77,1.0,20.000000000000004,1.0000000000000002,16.356260507385738,0.8178130253692869,4.000000000000001,0.2,0.2,0.2,5.0,5.0,0.5555555555555556,0.5555555555555556,0.0,77,inf,inf,inf,inf,inf,914.5200586033561,86.56493910540168,-11.162695297864643,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,catboost,100,42,0.95,10,89,20,77,1.0,20.000000000000004,1.0000000000000002,16.356260507385738,0.8178130253692869,2.0000000000000004,0.1,0.1,0.1,10.0,10.0,0.8333333333333334,0.8333333333333334,0.0,77,inf,inf,inf,inf,inf,914.5200586033561,86.56493910540168,-11.162695297864643,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,catboost,100,42,0.95,20,89,20,77,1.0,20.000000000000004,1.0000000000000002,16.356260507385738,0.8178130253692869,1.0000000000000002,0.05,0.05,0.05,20.0,20.0,0.9523809523809523,0.9523809523809523,0.0,77,inf,inf,inf,inf,inf,914.5200586033561,86.56493910540168,-11.162695297864643,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,catboost,100,42,0.95,inf,89,20,77,1.0,16.356260507385738,0.8178130253692869,16.356260507385738,0.8178130253692869,0.17495371172499619,0.0024973418145147032,0.00868003197096286,0.017188419314154654,191.2359412711577,5839.361016132776,0.9990859782995077,0.9999700397920951,0.0,77,inf,inf,inf,inf,inf,914.5200586033561,86.56493910540168,-11.162695297864643,77,1.0,0.9524815747175658,0.9999999999999999
unweighted_source_cp,matr,hust,random_forest,100,42,0.9,unweighted,89,20,77,,20.0,1.0,20.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,0.047619047619047616,0.047619047619047616,1.0,0,449.96620247286,899.93240494572,899.93240494572,899.93240494572,10422.25552018403,919.2441361879693,87.47813473974365,-11.430578184409805,6,0.07792207792207792,0.03620095505416615,0.1597561571972392
importance_weighted_source_cp,matr,hust,random_forest,100,42,0.9,5,89,20,77,1.0,20.000000000000004,1.0000000000000002,16.356260507385738,0.8178130253692869,4.000000000000001,0.2,0.2,0.2,5.0,5.0,0.5555555555555556,0.5555555555555556,0.0,77,inf,inf,inf,inf,inf,919.2441361879693,87.47813473974365,-11.430578184409805,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,random_forest,100,42,0.9,10,89,20,77,1.0,20.000000000000004,1.0000000000000002,16.356260507385738,0.8178130253692869,2.0000000000000004,0.1,0.1,0.1,10.0,10.0,0.8333333333333334,0.8333333333333334,0.0,77,inf,inf,inf,inf,inf,919.2441361879693,87.47813473974365,-11.430578184409805,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,random_forest,100,42,0.9,20,89,20,77,1.0,20.000000000000004,1.0000000000000002,16.356260507385738,0.8178130253692869,1.0000000000000002,0.05,0.05,0.05,20.0,20.0,0.9523809523809523,0.9523809523809523,0.0,77,inf,inf,inf,inf,inf,919.2441361879693,87.47813473974365,-11.430578184409805,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,random_forest,100,42,0.9,inf,89,20,77,1.0,16.356260507385738,0.8178130253692869,16.356260507385738,0.8178130253692869,0.17495371172499619,0.0024973418145147032,0.00868003197096286,0.017188419314154654,191.2359412711577,5839.361016132776,0.9990859782995077,0.9999700397920951,0.0,77,inf,inf,inf,inf,inf,919.2441361879693,87.47813473974365,-11.430578184409805,77,1.0,0.9524815747175658,0.9999999999999999
unweighted_source_cp,matr,hust,random_forest,100,42,0.95,unweighted,89,20,77,,20.0,1.0,20.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,0.047619047619047616,0.047619047619047616,1.0,0,712.8314014901115,1425.6628029802232,1425.662802980223,1425.662802980223,11757.085875831659,919.2441361879693,87.47813473974365,-11.430578184409805,21,0.2727272727272727,0.18584490792429903,0.3812089217495345
importance_weighted_source_cp,matr,hust,random_forest,100,42,0.95,5,89,20,77,1.0,20.000000000000004,1.0000000000000002,16.356260507385738,0.8178130253692869,4.000000000000001,0.2,0.2,0.2,5.0,5.0,0.5555555555555556,0.5555555555555556,0.0,77,inf,inf,inf,inf,inf,919.2441361879693,87.47813473974365,-11.430578184409805,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,random_forest,100,42,0.95,10,89,20,77,1.0,20.000000000000004,1.0000000000000002,16.356260507385738,0.8178130253692869,2.0000000000000004,0.1,0.1,0.1,10.0,10.0,0.8333333333333334,0.8333333333333334,0.0,77,inf,inf,inf,inf,inf,919.2441361879693,87.47813473974365,-11.430578184409805,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,random_forest,100,42,0.95,20,89,20,77,1.0,20.000000000000004,1.0000000000000002,16.356260507385738,0.8178130253692869,1.0000000000000002,0.05,0.05,0.05,20.0,20.0,0.9523809523809523,0.9523809523809523,0.0,77,inf,inf,inf,inf,inf,919.2441361879693,87.47813473974365,-11.430578184409805,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,random_forest,100,42,0.95,inf,89,20,77,1.0,16.356260507385738,0.8178130253692869,16.356260507385738,0.8178130253692869,0.17495371172499619,0.0024973418145147032,0.00868003197096286,0.017188419314154654,191.2359412711577,5839.361016132776,0.9990859782995077,0.9999700397920951,0.0,77,inf,inf,inf,inf,inf,919.2441361879693,87.47813473974365,-11.430578184409805,77,1.0,0.9524815747175658,0.9999999999999999
