scenario,source,target,model,n_cycles,confidence_level,clip,n_cycles_mean,n_cycles_std,confidence_level_mean,confidence_level_std,n_train_mean,n_train_std,n_calibration_mean,n_calibration_std,n_test_mean,n_test_std,discriminator_auc_mean,discriminator_auc_std,cal_weight_ess_mean,cal_weight_ess_std,cal_weight_ess_fraction_mean,cal_weight_ess_fraction_std,raw_cal_weight_ess_mean,raw_cal_weight_ess_std,raw_cal_weight_ess_fraction_mean,raw_cal_weight_ess_fraction_std,cal_weight_sum_mean,cal_weight_sum_std,cal_weight_min_mean,cal_weight_min_std,cal_weight_median_mean,cal_weight_median_std,cal_weight_max_mean,cal_weight_max_std,target_weight_median_mean,target_weight_median_std,target_weight_max_mean,target_weight_max_std,target_mass_fraction_median_mean,target_mass_fraction_median_std,target_mass_fraction_max_mean,target_mass_fraction_max_std,finite_interval_fraction_mean,finite_interval_fraction_std,n_infinite_intervals_mean,n_infinite_intervals_std,q_hat_median_mean,q_hat_median_std,mean_width_mean,mean_width_std,median_width_mean,median_width_std,median_finite_width_mean,median_finite_width_std,winkler_mean_mean,winkler_mean_std,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,covered_count_mean,covered_count_std,coverage_mean,coverage_std,coverage_wilson95_lower_mean,coverage_wilson95_lower_std,coverage_wilson95_upper_mean,coverage_wilson95_upper_std
importance_weighted_source_cp,hust,matr,catboost,100,0.9,10,100.0,0.0,0.9,0.0,53.0,0.0,12.0,0.0,129.0,0.0,0.996113963555824,0.007064310286040347,11.999999999999998,0.0,0.9999999999999998,0.0,6.619058172751792,1.2118514303889836,0.5515881810626493,0.10098761919908199,1.2000000000000002,0.0,0.1,0.0,0.1,0.0,0.1,0.0,10.0,0.0,10.0,0.0,0.8928571428571429,0.0,0.8928571428571429,0.0,0.007751937984496124,0.009494146289857279,128.0,1.2247448713915898,inf,,inf,,inf,,inf,,inf,,670.9436156390645,33.418676436548054,66.37915269921146,1.973657875329217,-3.064543073408135,0.38438051656113575,128.2,0.8366600265340772,0.993798449612403,0.006485736639799054,0.9604382497367624,0.010912002295946506,0.9985996976856695,0.0017402068945818188
importance_weighted_source_cp,hust,matr,catboost,100,0.9,20,100.0,0.0,0.9,0.0,53.0,0.0,12.0,0.0,129.0,0.0,0.996113963555824,0.007064310286040347,11.999999999999998,0.0,0.9999999999999998,0.0,6.619058172751792,1.2118514303889836,0.5515881810626493,0.10098761919908199,0.6000000000000001,0.0,0.05,0.0,0.05,0.0,0.05,0.0,20.0,0.0,20.0,0.0,0.9708737864077669,0.0,0.9708737864077669,0.0,0.007751937984496124,0.009494146289857279,128.0,1.2247448713915898,inf,,inf,,inf,,inf,,inf,,670.9436156390645,33.418676436548054,66.37915269921146,1.973657875329217,-3.064543073408135,0.38438051656113575,128.2,0.8366600265340772,0.993798449612403,0.006485736639799054,0.9604382497367624,0.010912002295946506,0.9985996976856695,0.0017402068945818188
importance_weighted_source_cp,hust,matr,catboost,100,0.9,5,100.0,0.0,0.9,0.0,53.0,0.0,12.0,0.0,129.0,0.0,0.996113963555824,0.007064310286040347,11.999999999999998,0.0,0.9999999999999998,0.0,6.619058172751792,1.2118514303889836,0.5515881810626493,0.10098761919908199,2.4000000000000004,0.0,0.2,0.0,0.2,0.0,0.2,0.0,5.0,0.0,5.0,0.0,0.6756756756756757,0.0,0.6756756756756757,0.0,0.009302325581395349,0.01010729055070178,127.8,1.3038404810405302,inf,,inf,,inf,,inf,,inf,,670.9436156390645,33.418676436548054,66.37915269921146,1.973657875329217,-3.064543073408135,0.38438051656113575,128.0,1.0,0.9922480620155039,0.007751937984496138,0.958005611541332,0.012928989306938933,0.9980212277259273,0.0021580618589102166
importance_weighted_source_cp,hust,matr,catboost,100,0.9,inf,100.0,0.0,0.9,0.0,53.0,0.0,12.0,0.0,129.0,0.0,0.996113963555824,0.007064310286040347,6.619058172751792,1.2118514303889836,0.5515881810626493,0.10098761919908199,6.619058172751792,1.2118514303889836,0.5515881810626493,0.10098761919908199,0.08940401637092135,0.027702931137102225,0.0010816319495562784,0.0015319667371032689,0.005240410542164028,0.0013712963760980261,0.024107502508159122,0.005894117239872372,110.9355717132174,5.635323989546411,1522.2678032292715,314.82354258162553,0.9991893989840521,0.00026271301984450877,0.9999375619080103,2.5375575391686442e-05,0.004651162790697674,0.006933544116278417,128.4,0.8944271909999143,inf,,inf,,inf,,inf,,inf,,670.9436156390645,33.418676436548054,66.37915269921146,1.973657875329217,-3.064543073408135,0.38438051656113575,128.4,0.8944271909999143,0.9953488372093023,0.006933544116278431,0.9631754137737387,0.01164981195408359,0.9988736418038655,0.0018505380686468715
importance_weighted_source_cp,hust,matr,catboost,100,0.95,10,100.0,0.0,0.95,0.0,53.0,0.0,12.0,0.0,129.0,0.0,0.996113963555824,0.007064310286040347,11.999999999999998,0.0,0.9999999999999998,0.0,6.619058172751792,1.2118514303889836,0.5515881810626493,0.10098761919908199,1.2000000000000002,0.0,0.1,0.0,0.1,0.0,0.1,0.0,10.0,0.0,10.0,0.0,0.8928571428571429,0.0,0.8928571428571429,0.0,0.0,0.0,129.0,0.0,inf,,inf,,inf,,inf,,inf,,670.9436156390645,33.418676436548054,66.37915269921146,1.973657875329217,-3.064543073408135,0.38438051656113575,129.0,0.0,1.0,0.0,0.9710823800431218,0.0,0.9999999999999998,0.0
importance_weighted_source_cp,hust,matr,catboost,100,0.95,20,100.0,0.0,0.95,0.0,53.0,0.0,12.0,0.0,129.0,0.0,0.996113963555824,0.007064310286040347,11.999999999999998,0.0,0.9999999999999998,0.0,6.619058172751792,1.2118514303889836,0.5515881810626493,0.10098761919908199,0.6000000000000001,0.0,0.05,0.0,0.05,0.0,0.05,0.0,20.0,0.0,20.0,0.0,0.9708737864077669,0.0,0.9708737864077669,0.0,0.0,0.0,129.0,0.0,inf,,inf,,inf,,inf,,inf,,670.9436156390645,33.418676436548054,66.37915269921146,1.973657875329217,-3.064543073408135,0.38438051656113575,129.0,0.0,1.0,0.0,0.9710823800431218,0.0,0.9999999999999998,0.0
importance_weighted_source_cp,hust,matr,catboost,100,0.95,5,100.0,0.0,0.95,0.0,53.0,0.0,12.0,0.0,129.0,0.0,0.996113963555824,0.007064310286040347,11.999999999999998,0.0,0.9999999999999998,0.0,6.619058172751792,1.2118514303889836,0.5515881810626493,0.10098761919908199,2.4000000000000004,0.0,0.2,0.0,0.2,0.0,0.2,0.0,5.0,0.0,5.0,0.0,0.6756756756756757,0.0,0.6756756756756757,0.0,0.0,0.0,129.0,0.0,inf,,inf,,inf,,inf,,inf,,670.9436156390645,33.418676436548054,66.37915269921146,1.973657875329217,-3.064543073408135,0.38438051656113575,129.0,0.0,1.0,0.0,0.9710823800431218,0.0,0.9999999999999998,0.0
importance_weighted_source_cp,hust,matr,catboost,100,0.95,inf,100.0,0.0,0.95,0.0,53.0,0.0,12.0,0.0,129.0,0.0,0.996113963555824,0.007064310286040347,6.619058172751792,1.2118514303889836,0.5515881810626493,0.10098761919908199,6.619058172751792,1.2118514303889836,0.5515881810626493,0.10098761919908199,0.08940401637092135,0.027702931137102225,0.0010816319495562784,0.0015319667371032689,0.005240410542164028,0.0013712963760980261,0.024107502508159122,0.005894117239872372,110.9355717132174,5.635323989546411,1522.2678032292715,314.82354258162553,0.9991893989840521,0.00026271301984450877,0.9999375619080103,2.5375575391686442e-05,0.0031007751937984496,0.006933544116278417,128.6,0.8944271909999163,inf,,inf,,inf,,inf,,inf,,670.9436156390645,33.418676436548054,66.37915269921146,1.973657875329217,-3.064543073408135,0.38438051656113575,128.8,0.44721359549995715,0.9984496124031008,0.0034667720581392117,0.9683452160061453,0.006120484852247017,0.9997260558818037,0.0006125576703226245
importance_weighted_source_cp,hust,matr,random_forest,100,0.9,10,100.0,0.0,0.9,0.0,53.0,0.0,12.0,0.0,129.0,0.0,0.996113963555824,0.007064310286040347,11.999999999999998,0.0,0.9999999999999998,0.0,6.619058172751792,1.2118514303889836,0.5515881810626493,0.10098761919908199,1.2000000000000002,0.0,0.1,0.0,0.1,0.0,0.1,0.0,10.0,0.0,10.0,0.0,0.8928571428571429,0.0,0.8928571428571429,0.0,0.007751937984496124,0.009494146289857279,128.0,1.2247448713915898,inf,,inf,,inf,,inf,,inf,,610.200982768889,58.553230398971,62.6360918427866,3.6704857957604586,-2.403228691422731,0.6110953394209804,128.2,0.8366600265340772,0.993798449612403,0.006485736639799054,0.9604382497367624,0.010912002295946506,0.9985996976856695,0.0017402068945818188
importance_weighted_source_cp,hust,matr,random_forest,100,0.9,20,100.0,0.0,0.9,0.0,53.0,0.0,12.0,0.0,129.0,0.0,0.996113963555824,0.007064310286040347,11.999999999999998,0.0,0.9999999999999998,0.0,6.619058172751792,1.2118514303889836,0.5515881810626493,0.10098761919908199,0.6000000000000001,0.0,0.05,0.0,0.05,0.0,0.05,0.0,20.0,0.0,20.0,0.0,0.9708737864077669,0.0,0.9708737864077669,0.0,0.007751937984496124,0.009494146289857279,128.0,1.2247448713915898,inf,,inf,,inf,,inf,,inf,,610.200982768889,58.553230398971,62.6360918427866,3.6704857957604586,-2.403228691422731,0.6110953394209804,128.2,0.8366600265340772,0.993798449612403,0.006485736639799054,0.9604382497367624,0.010912002295946506,0.9985996976856695,0.0017402068945818188
