block,confidence_level,protocol,k,n_directions,coverage_mean,coverage_median,coverage_q25,coverage_q75,coverage_min,coverage_max,median_width_mean,median_width_median,median_width_q25,median_width_q75,finite_interval_fraction_mean,short_long_coverage_gap_mean
conformal_prediction,0.9,Residual-adapted CP,5,12,0.8395749101568488,0.8447233893557423,0.8377635261194031,0.850140625,0.795546218487395,0.8597014925373133,1916.9213968261756,1416.917089977262,1138.3724340547706,2528.8877556849056,1.0,0.18140318155382337
conformal_prediction,0.9,Residual-adapted CP,10,12,0.9092034450146417,0.9093333333333334,0.9064204088202157,0.9121511627906977,0.8962385321100917,0.9183333333333332,2250.8416697718503,1539.7591571414978,1397.7311914395543,2730.054231352815,1.0,0.11977372942135038
conformal_prediction,0.9,Residual-adapted CP,15,12,0.9335959204776394,0.9331666666666667,0.9316886954652912,0.9374601063829788,0.9248484848484848,0.9409210526315788,2415.13137030875,1656.088624609732,1584.9290451195097,2866.8066839529947,1.0,0.09713328877317513
conformal_prediction,0.9,Residual-adapted CP,20,12,0.911184645575095,0.9115505617977528,0.905952778621318,0.9156961506961507,0.892,0.928,2193.5594817760725,1466.2218815135823,1311.474854362185,2609.633519846132,1.0,0.1278638357256778
conformal_prediction,0.9,Target CP,5,12,0.8329229309355667,0.8318333333333333,0.8268915681890769,0.8421653225806452,0.8128225806451613,0.8534722222222223,2679.141302979069,2660.913334834041,2059.2066783868986,3567.0343428734823,1.0,0.25498172808996383
conformal_prediction,0.9,Target CP,10,12,0.909831007558496,0.9113455882352941,0.9008407182835821,0.9173231531418539,0.8910416666666667,0.92675,3105.8290491371667,2857.3155870119053,2270.1371926754255,3932.91738337527,1.0,0.15880049214729547
conformal_prediction,0.9,Target CP,15,12,0.9401980271190798,0.9383064516129032,0.9361597744360904,0.9446557071960298,0.931842105263158,0.9505714285714284,3298.7634142284173,2977.261364294952,2358.582614479206,4101.171320396168,1.0,0.10770205094086217
conformal_prediction,0.9,Target CP,20,12,0.9088028533569897,0.9099298245614034,0.9048394495412845,0.9133720930232558,0.9017543859649124,0.913953488372093,3074.2647766828827,2867.644466357421,2221.70421567475,3873.300627127109,1.0,0.16596910815876328
conformal_prediction,0.95,Residual-adapted CP,5,12,0.8395749101568488,0.8447233893557423,0.8377635261194031,0.850140625,0.795546218487395,0.8597014925373133,1916.9213968261756,1416.917089977262,1138.3724340547697,2528.8877556849056,1.0,0.18140318155382337
conformal_prediction,0.95,Residual-adapted CP,10,12,0.9092034450146417,0.9093333333333334,0.9064204088202157,0.9121511627906977,0.8962385321100917,0.9183333333333332,2250.8416697718503,1539.759157141498,1397.731191439555,2730.054231352815,1.0,0.11977372942135038
conformal_prediction,0.95,Residual-adapted CP,15,12,0.9335959204776394,0.9331666666666667,0.9316886954652912,0.9374601063829788,0.9248484848484848,0.9409210526315788,2415.13137030875,1656.088624609732,1584.9290451195102,2866.8066839529947,1.0,0.09713328877317513
conformal_prediction,0.95,Residual-adapted CP,20,12,0.9578135308444297,0.957495904995905,0.9546136363636364,0.9603030303030302,0.9519101123595506,0.969,2579.212337463458,1813.8771581248313,1739.235285084199,3107.528483289063,1.0,0.06696909888357251
conformal_prediction,0.95,Target CP,5,12,0.8329229309355667,0.8318333333333333,0.8268915681890769,0.8421653225806452,0.8128225806451613,0.8534722222222223,2679.1413029790688,2660.9133348340415,2059.2066783868977,3567.0343428734823,1.0,0.25498172808996383
conformal_prediction,0.95,Target CP,10,12,0.909831007558496,0.9113455882352941,0.9008407182835821,0.9173231531418539,0.8910416666666667,0.92675,3105.8290491371667,2857.3155870119053,2270.137192675425,3932.91738337527,1.0,0.15880049214729547
conformal_prediction,0.95,Target CP,15,12,0.9401980271190798,0.9383064516129032,0.9361597744360904,0.9446557071960298,0.931842105263158,0.9505714285714284,3298.7634142284173,2977.261364294952,2358.582614479206,4101.171320396168,1.0,0.10770205094086217
conformal_prediction,0.95,Target CP,20,12,0.9524171027365728,0.952122807017544,0.9506334008960955,0.9533546511627906,0.9478947368421052,0.9587719298245614,3385.7652374024506,3017.051735818596,2472.4103657922055,4170.819237453977,1.0,0.08890649809020562
