direction,source,target,model,n_cycles,MAE_mean_raw,SMAPE_mean_raw,R2_mean_raw,MAE_std_raw,SMAPE_std_raw,R2_std_raw,MAE_mean_capnorm,SMAPE_mean_capnorm,R2_mean_capnorm,MAE_std_capnorm,SMAPE_std_capnorm,R2_std_capnorm,delta_MAE_capnorm_minus_raw,delta_SMAPE_capnorm_minus_raw,delta_R2_capnorm_minus_raw,MAE_pct_change_capnorm_vs_raw,capnorm_better_MAE,capnorm_better_R2
hust_to_luh,hust,luh,catboost,50,997.5566344273524,104.15372684439149,-6.086957433216823,128.72435050012123,5.403447544594196,1.615897848413454,893.1273393947702,99.70723034004928,-4.81401229441824,106.56243741120484,4.706549272642785,1.2605359453480829,-104.42929503258222,-4.446496504342207,1.2729451387985833,-10.468507895045967,True,True
hust_to_luh,hust,luh,elastic_net,50,505816296.2829251,199.96558313107067,-2412292949917.197,298037275.1902573,0.0675662884432386,2119726809859.452,508.33673995807385,75.930285312099,-1.441533163505481,259.08577805920316,15.467528851546282,2.4904144457225126,-505815787.9461852,-124.03529781897167,2412292949915.7554,-99.99989950170769,True,True
hust_to_luh,hust,luh,gaussian_process,50,910.2523749404204,100.7434727061186,-4.941056459685158,9.604647637716983,0.4246285058550251,0.1129924000885524,910.252374940396,100.743472706117,-4.941056459685087,9.604647637738674,0.4246285058564877,0.1129924000886167,-2.4442670110147446e-11,-1.5916157281026244e-12,7.105427357601002e-14,-2.6852629867345654e-12,True,True
hust_to_luh,hust,luh,pls,50,809582447.524394,199.99864225355049,-4819885950267.35,370483705.3669977,0.0022668825469734,2389422100489.715,72446.02898145573,101.72583925961044,-2500434.164625141,143728.495638423,39.186826638895205,5000864.3978497265,-809510001.4954126,-98.27280299394005,4819883449833.185,-99.99105143284628,True,True
hust_to_luh,hust,luh,random_forest,50,1148.6010584683504,110.31339608832712,-8.022142678956403,77.77206580709047,2.898945001358068,1.0752850459860146,885.1373765462189,99.29089565095072,-4.735401110907792,86.66297830267037,3.860365921787385,1.0166885725191843,-263.4636819221315,-11.022500437376408,3.286741568048611,-22.937788536731635,True,True
hust_to_luh,hust,luh,stacking,50,1035.4362784976247,105.79268895700474,-6.552956780154159,128.18735601844125,5.055532147430407,1.6837978050332938,980.957430961276,103.76251362746214,-5.801456911348782,79.3021357498032,3.38416909305286,0.9649066418996324,-54.47884753634867,-2.030175329542601,0.7514998688053769,-5.261438938125215,True,True
hust_to_luh,hust,luh,xgboost,50,1072.2534156655363,107.1892608611782,-7.060351910361997,139.24031941534258,5.234116131170697,1.9232647872842343,912.8551957040464,99.88112251140504,-5.197179501966195,197.74964751176225,9.321075848047272,2.2515936729553574,-159.39821996148987,-7.308138349773159,1.8631724083958021,-14.865722751048835,True,True
hust_to_luh,hust,luh,catboost,100,943.329161990728,101.67468808202288,-5.452742970032802,130.44462579153844,5.709351665482274,1.5674046178080316,822.9789020095898,96.14786560135823,-4.088447962988633,121.08721460596436,5.7751882854117,1.3343263595263248,-120.35025998113827,-5.526822480664649,1.364295007044169,-12.758034504855177,True,True
hust_to_luh,hust,luh,elastic_net,100,257162048.2754497,191.5998434979869,-1319172461926.937,361122982.1658475,6.984572117550816,2215552181242.2036,633.38146636495,144.6604412753615,-2.452179431595808,162.83626420632928,44.174051916473026,1.4092928516373868,-257161414.89398333,-46.939402222625404,1319172461924.4849,-99.99975370336696,True,True
hust_to_luh,hust,luh,gaussian_process,100,910.2523749404204,100.7434727061186,-4.941056459685158,9.604647637716983,0.4246285058550251,0.1129924000885524,910.2523749404204,100.7434727061186,-4.941056459685158,9.604647637716983,0.4246285058550251,0.1129924000885524,0.0,0.0,0.0,0.0,False,False
hust_to_luh,hust,luh,pls,100,285649963.45298207,191.473054349458,-1625057437247.7256,330221959.9917528,5.110000346314857,1997499047063.5093,352.7538064344207,104.97522795150546,-0.3730093795318615,157.68162638813766,66.9638248068388,1.0371219798428477,-285649610.69917566,-86.49782639795255,1625057437247.3525,-99.99987650836634,True,True
hust_to_luh,hust,luh,random_forest,100,1028.9143864846983,105.82003064257763,-6.3977302014258175,83.58112420743423,3.543822910770538,1.0146302304423302,805.5280132174051,95.25837703316776,-3.948889278921672,54.498518247446555,2.7639540861692655,0.560584967861507,-223.38637326729315,-10.561653609409873,2.4488409225041456,-21.71088053598863,True,True
hust_to_luh,hust,luh,stacking,100,988.3980163825184,104.00181796236028,-5.925347730996411,113.54151156511192,4.692634738649172,1.4159354988140844,807.890693286641,95.34304676315904,-3.948416654646496,76.71690138297468,4.0091386362233985,0.7780319437662941,-180.5073230958775,-8.65877119920124,1.9769310763499153,-18.26261486809982,True,True
hust_to_luh,hust,luh,xgboost,100,915.7472550302182,100.61973864094251,-5.122075199000022,118.13875173035028,5.646376239361605,1.2974370406432914,806.496276049344,94.85858214543744,-4.010463135105832,136.07790448311437,7.221866268707522,1.34208250763305,-109.25097898087415,-5.761156495505077,1.1116120638941904,-11.930254595987737,True,True
hust_to_matr,hust,matr,catboost,50,694.9506903918323,68.02898019665226,-3.2558308936041676,20.37974635253485,1.1761681529589996,0.2531561227327033,805.6113382594633,74.05101849467769,-4.679045515030326,31.5579694623813,1.6339854244613845,0.4239894736301842,110.66064786763104,6.022038298025436,-1.4232146214261587,15.923525136040594,False,False
