source,target,direction,model,seed,feature_group,pearson_log_contribution,abs_contribution_sum,mean_abs_shap_log,pearson_log,spearman_cycle,r2_cycle,smape_cycle,additivity_rmse_log
matr,hust,matr_to_hust,catboost,42,capacity_level_retention,0.285118290852176,0.285118290852176,0.13676260016231997,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,curvature_acceleration,-0.308929281351182,0.46270653283349467,0.19896531854563282,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,spectral_entropy,-0.06926599385068151,0.06926599385068151,0.026381499435335104,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,trend_decay_timing,0.06615370698267416,0.0803469817423404,0.09317806236587936,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,variability_events,0.08973509955863736,0.12967666785296517,0.12431323987930065,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,sandia,matr_to_sandia,catboost,42,capacity_level_retention,0.023033482274616848,0.18976192042784035,0.1945473512158164,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,curvature_acceleration,0.06407484730065689,0.36521432024867095,0.2329746628191303,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,spectral_entropy,-0.04869495387050426,0.15893924314614535,0.024319976437719687,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,trend_decay_timing,0.1745909153984668,0.3764889461359754,0.14314812564041635,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,variability_events,0.11956892965847507,0.25090177082786114,0.12312609662972984,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,luh,matr_to_luh,catboost,42,capacity_level_retention,0.0835158112253584,0.17179913677569003,0.19314414592679144,0.5219655050482267,0.453837569379078,0.03938507852782247,65.25968392423952,2.728018330495413e-16
matr,luh,matr_to_luh,catboost,42,curvature_acceleration,0.7923572631661085,1.0949860285626114,0.21340546692301637,0.5219655050482267,0.453837569379078,0.03938507852782247,65.25968392423952,2.728018330495413e-16
matr,luh,matr_to_luh,catboost,42,spectral_entropy,-0.09984488276182994,0.18056200727040983,0.014799662334964098,0.5219655050482267,0.453837569379078,0.03938507852782247,65.25968392423952,2.728018330495413e-16
matr,luh,matr_to_luh,catboost,42,trend_decay_timing,0.043546410347724995,0.14342551897427844,0.12108593666203378,0.5219655050482267,0.453837569379078,0.03938507852782247,65.25968392423952,2.728018330495413e-16
matr,luh,matr_to_luh,catboost,42,variability_events,-0.297609096929136,0.47648232356226805,0.11627770766316839,0.5219655050482267,0.453837569379078,0.03938507852782247,65.25968392423952,2.728018330495413e-16
matr,hust,matr_to_hust,catboost,123,capacity_level_retention,0.08655196352229674,0.08941448239580213,0.11852394858632553,-0.16336413764175928,-0.15424151008213466,-11.08859098957288,85.83812559517251,6.321019902049288e-16
matr,hust,matr_to_hust,catboost,123,curvature_acceleration,-0.22659304404637912,0.4224478903007143,0.21733715998127304,-0.16336413764175928,-0.15424151008213466,-11.08859098957288,85.83812559517251,6.321019902049288e-16
matr,hust,matr_to_hust,catboost,123,spectral_entropy,-0.010330427891716933,0.011976311518344353,0.016630100957684107,-0.16336413764175928,-0.15424151008213466,-11.08859098957288,85.83812559517251,6.321019902049288e-16
matr,hust,matr_to_hust,catboost,123,trend_decay_timing,0.047525507022332235,0.07811447476953555,0.1186382433939337,-0.16336413764175928,-0.15424151008213466,-11.08859098957288,85.83812559517251,6.321019902049288e-16
matr,hust,matr_to_hust,catboost,123,variability_events,-0.06051813624829219,0.1455577275053277,0.17181808975175406,-0.16336413764175928,-0.15424151008213466,-11.08859098957288,85.83812559517251,6.321019902049288e-16
matr,sandia,matr_to_sandia,catboost,123,capacity_level_retention,0.10401043888702191,0.10401043888702191,0.16192240476284805,0.7634666732871579,0.5517133733550494,0.09491437200009978,75.8087585452376,6.153480596427405e-16
matr,sandia,matr_to_sandia,catboost,123,curvature_acceleration,0.04812743133869524,0.1904267048713094,0.28470500705059354,0.7634666732871579,0.5517133733550494,0.09491437200009978,75.8087585452376,6.153480596427405e-16
matr,sandia,matr_to_sandia,catboost,123,spectral_entropy,0.025795705372743928,0.026801219859761707,0.03757218831775751,0.7634666732871579,0.5517133733550494,0.09491437200009978,75.8087585452376,6.153480596427405e-16
matr,sandia,matr_to_sandia,catboost,123,trend_decay_timing,0.5027072288656133,0.5254343384466025,0.33740724261674326,0.7634666732871579,0.5517133733550494,0.09491437200009978,75.8087585452376,6.153480596427405e-16
matr,sandia,matr_to_sandia,catboost,123,variability_events,0.08282586882308311,0.1237940042412522,0.19476048347627523,0.7634666732871579,0.5517133733550494,0.09491437200009978,75.8087585452376,6.153480596427405e-16
matr,luh,matr_to_luh,catboost,123,capacity_level_retention,0.05843074365952706,0.06638142170032274,0.16811574511644717,0.5022982895050122,0.4195641771094169,-0.0737682084428739,63.50741669735031,5.523816112727488e-16
matr,luh,matr_to_luh,catboost,123,curvature_acceleration,0.23055870818489918,0.25965232392126103,0.2760271165958051,0.5022982895050122,0.4195641771094169,-0.0737682084428739,63.50741669735031,5.523816112727488e-16
matr,luh,matr_to_luh,catboost,123,spectral_entropy,0.04568493194086892,0.04568493194086892,0.03309381856707618,0.5022982895050122,0.4195641771094169,-0.0737682084428739,63.50741669735031,5.523816112727488e-16
matr,luh,matr_to_luh,catboost,123,trend_decay_timing,0.11717731242293755,0.11717731242293755,0.36686854478002784,0.5022982895050122,0.4195641771094169,-0.0737682084428739,63.50741669735031,5.523816112727488e-16
matr,luh,matr_to_luh,catboost,123,variability_events,0.050446593296778884,0.15196342200848664,0.19672055248749284,0.5022982895050122,0.4195641771094169,-0.0737682084428739,63.50741669735031,5.523816112727488e-16
matr,hust,matr_to_hust,catboost,456,capacity_level_retention,0.002765886059746989,0.04588561474563069,0.04123913489997935,-0.20291569019950395,-0.1605773212172624,-11.660101975537204,88.85030551287491,6.156809501510728e-16
matr,hust,matr_to_hust,catboost,456,curvature_acceleration,-0.22385754861893056,0.25595650332575015,0.2146472935365883,-0.20291569019950395,-0.1605773212172624,-11.660101975537204,88.85030551287491,6.156809501510728e-16
matr,hust,matr_to_hust,catboost,456,spectral_entropy,-0.00817808616942534,0.00817808616942534,0.015859772057150348,-0.20291569019950395,-0.1605773212172624,-11.660101975537204,88.85030551287491,6.156809501510728e-16
matr,hust,matr_to_hust,catboost,456,trend_decay_timing,0.08482107852183708,0.09261249565770954,0.15432423873646497,-0.20291569019950395,-0.1605773212172624,-11.660101975537204,88.85030551287491,6.156809501510728e-16
matr,hust,matr_to_hust,catboost,456,variability_events,-0.05846701999273217,0.08798574560589648,0.14953811837371378,-0.20291569019950395,-0.1605773212172624,-11.660101975537204,88.85030551287491,6.156809501510728e-16
matr,sandia,matr_to_sandia,catboost,456,capacity_level_retention,0.035106226761627245,0.04685839501036803,0.04252304251875674,0.3176510779711832,0.43513760146006436,0.010946333977162936,96.20249000042939,6.404745667978754e-16
matr,sandia,matr_to_sandia,catboost,456,curvature_acceleration,0.11705139546591399,0.2871488761938042,0.25675527842205403,0.3176510779711832,0.43513760146006436,0.010946333977162936,96.20249000042939,6.404745667978754e-16
matr,sandia,matr_to_sandia,catboost,456,spectral_entropy,0.04237283554494563,0.04237283554494563,0.01522209916663507,0.3176510779711832,0.43513760146006436,0.010946333977162936,96.20249000042939,6.404745667978754e-16
matr,sandia,matr_to_sandia,catboost,456,trend_decay_timing,0.07016825888766531,0.19314312601753014,0.2188618010202117,0.3176510779711832,0.43513760146006436,0.010946333977162936,96.20249000042939,6.404745667978754e-16
matr,sandia,matr_to_sandia,catboost,456,variability_events,0.05295236131103151,0.11998627315318655,0.17123303900957865,0.3176510779711832,0.43513760146006436,0.010946333977162936,96.20249000042939,6.404745667978754e-16
matr,luh,matr_to_luh,catboost,456,capacity_level_retention,0.05703414759162294,0.07337058419032264,0.048619306996563194,0.5043735676800112,0.4970322093967267,0.04599959541987941,64.97160118192828,7.008405986815066e-16
matr,luh,matr_to_luh,catboost,456,curvature_acceleration,0.42777884336088196,0.4339197988306956,0.22984548424463577,0.5043735676800112,0.4970322093967267,0.04599959541987941,64.97160118192828,7.008405986815066e-16
matr,luh,matr_to_luh,catboost,456,spectral_entropy,-0.0359570360614696,0.04490429045080357,0.01752819531539838,0.5043735676800112,0.4970322093967267,0.04599959541987941,64.97160118192828,7.008405986815066e-16
