experiment,source,target,naive_best_model,baseline_R2,baseline_MAE,residual_R2,residual_MAE,residual_delta_R2,residual_delta_MAE,linear_R2,linear_MAE,linear_delta_R2,linear_delta_MAE
hust_to_luh,hust,luh,pls,-0.5620604259849377,405.3268079863994,0.3823970936878542,250.78873055723955,0.9444575196727918,-154.53807742915976,0.554733090693768,205.5031723962107,1.1167935166787055,-199.82363559018864
hust_to_matr,hust,matr,gaussian_process,-3.6001135620102005,720.3607091592451,-0.0516354100286126,282.3631885957933,3.548478151981588,-437.99752056345176,-1.182980438540198,304.88517448069643,2.4171331234700024,-415.4755346785486
hust_to_sandia,hust,sandia,xgboost,-0.2314739418959273,1163.070821784149,0.1390330026560563,743.9102965077138,0.3705069445519837,-419.1605252764352,0.2626976876069945,697.5694501761596,0.4941716295029219,-465.5013716079894
luh_to_hust,luh,hust,random_forest,-0.7633991911495897,300.38341265024417,-0.1062004213323114,237.20054820711255,0.6571987698172782,-63.18286444313159,-0.1121847114738199,237.20003383555587,0.6512144796757697,-63.1833788146883
luh_to_matr,luh,matr,stacking,-0.2751555415129963,334.3813501258693,-0.0581028734068266,275.7363665530178,0.2170526681061697,-58.644983572851515,-0.171019141402003,288.2967243608108,0.1041364001109932,-46.08462576505849
luh_to_sandia,luh,sandia,xgboost,0.4987192368143311,414.4729557381428,0.5030243216800107,548.9752776687513,0.0043050848656794,134.50232193060856,0.7863634012139211,324.88798804839007,0.2876441643995899,-89.58496768975272
matr_to_hust,matr,hust,gaussian_process,-7.936737027557716,763.007238641014,-0.2657979282315275,253.26685995765325,7.670939099326189,-509.7403786833608,-0.1075245153696363,236.91819332858728,7.82921251218808,-526.0890453124268
matr_to_luh,matr,luh,stacking,0.0038324202528454,334.0597534177139,0.0191747621261304,330.31870580474003,0.0153423418732849,-3.7410476129738863,0.1371874338447254,303.3028977855317,0.1333550135918799,-30.756855632182237
matr_to_sandia,matr,sandia,xgboost,0.0455318396232738,730.6721621645247,-0.011203013165262,818.8624758466407,-0.0567348527885359,88.19031368211597,0.0292817563814625,697.9530272429005,-0.0162500832418113,-32.71913492162423
sandia_to_hust,sandia,hust,catboost,-2.0265370030134924,384.6534380361403,-0.610569452713435,279.9972300561492,1.4159675503000573,-104.65620797999112,-0.0939724905733032,236.8857798772744,1.9325645124401891,-147.7676581588659
sandia_to_luh,sandia,luh,pls,0.4944713375776242,181.7643593859008,0.6047425824174099,194.82048533938217,0.1102712448397856,13.05612595348137,0.723217488488447,159.00422435434425,0.2287461509108228,-22.76013503155656
sandia_to_matr,sandia,matr,gaussian_process,-0.8021333947043509,361.477608166397,-0.2333604608568694,306.8672787523015,0.5687729338474814,-54.610329414095474,-0.1901737683105209,295.8035562273265,0.61195962639383,-65.67405193907047
