protocol,target,source,source_set,model,n_cycles,k,adapter_type,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,n_test_mean,n_test_std,n_runs,selected_source_mode,selected_model_mode,weight_matr_mean,weight_hust_mean,weight_sandia_mean,weight_luh_mean
pooled_erm_kshot,hust,,matr+sandia+luh,elastic_net,100,20,linear,237.1132495490584,14.788089424496125,16.160671935364313,1.007760563275053,-0.1146445469574045,0.1559350398084563,57.0,0.0,100,,,,,,
pooled_erm_kshot,luh,,matr+hust+sandia,catboost,100,20,linear,177.641255759063,14.975539681207987,49.97604392201765,11.893151606690116,0.6671357901134014,0.0514360258935533,86.0,0.0,100,,,,,,
source_expert_convex,matr,,hust+sandia+luh,source_primary_experts,100,20,residual_mean,277.99977653514577,19.150875544011956,35.918182124365806,2.1340540599417945,-0.0180805884914073,0.125416455576839,109.0,0.0,100,,,,0.239,0.071,0.69
pooled_erm_kshot,sandia,,matr+hust+luh,stacking,100,20,linear,272.5152127038323,58.48961678608561,69.10397491465292,13.018112488582348,0.8618048188296791,0.0551377845992231,30.0,0.0,100,,,,,,
