pair,dataset_a,dataset_b,feature,n_cycles,n_a,n_b,mean_log_life_a,mean_log_life_b,log_life_offset_b_minus_a,life_ratio_b_over_a,slope_a,slope_b,delta_slope_b_minus_a,delta_slope_ci95_low,delta_slope_ci95_high,delta_slope_boot_p,delta_slope_fdr_bh,slope_shift_significant,shift_class
matr_vs_hust,matr,hust,Qdis_N,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.20063536612996608,0.042431577570732154,-0.15820378855923392,-0.30826872568484165,-0.09943055038986276,0.0033222591362126247,0.011295681063122924,True,slope_shifted
matr_vs_hust,matr,hust,delta_Qdis,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.18810265358468461,0.04240598380704162,-0.145696669777643,-0.25059779879466765,-0.07461090901355714,0.006666666666666667,0.01743589743589744,True,slope_shifted
matr_vs_hust,matr,hust,retention_ratio,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.18808774318633212,0.04240798284738768,-0.14567976033894445,-0.2577722013967869,-0.06475551359337547,0.006666666666666667,0.01743589743589744,True,slope_shifted
matr_vs_hust,matr,hust,slope_linear,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.1859363964743887,0.04161318933523015,-0.14432320713915855,-0.2652810439860407,-0.02977470871957134,0.02666666666666667,0.060444444444444446,False,slope_stable
matr_vs_hust,matr,hust,variance_Qdis,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,-0.004606612695065115,-0.03966214460687816,-0.03505553191181305,-1.1498989238597757,30.33294834894525,0.6066666666666667,0.8594444444444446,False,slope_stable
matr_vs_hust,matr,hust,range_Qdis,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.0021263780851655282,-0.0019915388281190553,-0.0041179169132845835,-0.2763365885074004,5.994110877443588,0.9866666666666667,0.9866666666666667,False,slope_stable
matr_vs_hust,matr,hust,max_drop,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.014416423942816888,0.020420849093299814,0.0060044251504829255,-3.6495786757447446,4.2034441538301355,0.9733333333333334,0.9866666666666667,False,slope_stable
matr_vs_hust,matr,hust,std_diff,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.013678450100554759,0.06315231923718538,0.04947386913663062,-0.2779150531740843,8.046599773191042,0.5133333333333333,0.8311111111111111,False,slope_stable
matr_vs_hust,matr,hust,skewness_Qdis,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.011266282123979203,-0.03559568378417647,-0.046861965908155674,-0.12859257668863905,0.13098376185001848,0.47333333333333333,0.8046666666666666,False,slope_stable
matr_vs_hust,matr,hust,slope_ratio,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,-0.07896730520964813,-0.047919940679590385,0.03104736453005775,-0.049967239340159876,0.13167209618140488,0.42,0.751578947368421,False,slope_stable
