source,target,direction,model,seed,n_target,pearson_log,spearman_cycle,r2_cycle,smape_cycle,additivity_rmse_log,sum_feature_contributions,decomposition_error
matr,hust,matr_to_hust,catboost,42,77,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16,0.06281182219162398,-7.216449660063518e-16
matr,sandia,matr_to_sandia,catboost,42,50,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16,0.3325732207617114,1.1102230246251565e-16
matr,luh,matr_to_luh,catboost,42,106,0.5219655050482267,0.453837569379078,0.03938507852782247,65.25968392423952,2.728018330495413e-16,0.5219655050482261,-5.551115123125783e-16
matr,hust,matr_to_hust,catboost,123,77,-0.16336413764175928,-0.15424151008213466,-11.08859098957288,85.83812559517251,6.321019902049288e-16,-0.16336413764175928,0.0
matr,sandia,matr_to_sandia,catboost,123,50,0.7634666732871579,0.5517133733550494,0.09491437200009978,75.8087585452376,6.153480596427405e-16,0.7634666732871573,-5.551115123125783e-16
matr,luh,matr_to_luh,catboost,123,106,0.5022982895050122,0.4195641771094169,-0.0737682084428739,63.50741669735031,5.523816112727488e-16,0.5022982895050117,-5.551115123125783e-16
matr,hust,matr_to_hust,catboost,456,77,-0.20291569019950395,-0.1605773212172624,-11.660101975537204,88.85030551287491,6.156809501510728e-16,-0.20291569019950398,-2.7755575615628914e-17
matr,sandia,matr_to_sandia,catboost,456,50,0.3176510779711832,0.43513760146006436,0.010946333977162936,96.20249000042939,6.404745667978754e-16,0.3176510779711837,4.996003610813204e-16
matr,luh,matr_to_luh,catboost,456,106,0.5043735676800112,0.4970322093967267,0.04599959541987941,64.97160118192828,7.008405986815066e-16,0.5043735676800105,-6.661338147750939e-16
matr,hust,matr_to_hust,catboost,789,77,-0.01020020463921871,0.015760658819539752,-9.104838157719373,74.78561684061744,6.481071050861394e-16,-0.010200204639218419,2.914335439641036e-16
matr,sandia,matr_to_sandia,catboost,789,50,0.579436785903964,0.49759812610979515,0.05537387557083495,97.75618811035186,5.617333549722722e-16,0.5794367859039637,-2.220446049250313e-16
matr,luh,matr_to_luh,catboost,789,106,0.587706164870034,0.6597381071282051,0.05878934284180537,65.26131490905819,6.397770085221443e-16,0.5877061648700332,-7.771561172376096e-16
matr,hust,matr_to_hust,catboost,1011,77,-0.18576563019344394,-0.09214530302333082,-8.740464956873547,71.68907467155242,5.259406470015478e-16,-0.18576563019344383,1.1102230246251565e-16
matr,sandia,matr_to_sandia,catboost,1011,50,0.3152756711821264,0.3258891051056093,0.034430483896777386,106.10962342642935,5.02429586778808e-16,0.31527567118212685,4.440892098500626e-16
matr,luh,matr_to_luh,catboost,1011,106,0.4778200744333185,0.20196844542250636,-0.09586369462874988,68.9800187637047,5.523816112727488e-16,0.477820074433318,-4.996003610813204e-16
matr,hust,matr_to_hust,random_forest,42,77,-0.1587514650090722,-0.1344190968211956,-10.846540217504195,84.34473335343873,2.8789168064102076e-15,-0.1587514650090688,3.3861802251067274e-15
matr,sandia,matr_to_sandia,random_forest,42,50,0.09912515908253845,0.0581342299503365,-0.004356778603901823,101.02815203215894,3.2898589057332355e-15,0.09912515908254443,5.981326545168031e-15
matr,luh,matr_to_luh,random_forest,42,106,0.3909426533226941,-0.018742442564433998,-0.0033118252358630418,66.71926794053708,6.289842494469547e-15,0.3909426533226612,-3.291811268013589e-14
matr,hust,matr_to_hust,random_forest,123,77,-0.1254394838927268,-0.13058080459825513,-12.698227340604944,95.32165672862763,3.4264718088619537e-15,-0.12543948389272735,-5.551115123125783e-16
matr,sandia,matr_to_sandia,random_forest,123,50,0.6582419277984165,0.5296575572739062,0.054953293651927915,77.57720412125192,2.6107007145801953e-15,0.6582419277984104,-6.106226635438361e-15
matr,luh,matr_to_luh,random_forest,123,106,0.5058036565278732,0.4159562676551361,-0.027628534376326286,63.86880835405947,2.761908056363744e-15,0.505803656527868,-5.218048215738236e-15
matr,hust,matr_to_hust,random_forest,456,77,-0.1898735940758058,-0.10129410914376424,-11.515280172836784,87.79840249802147,3.0314546505735058e-15,-0.18987359407580648,-6.661338147750939e-16
matr,sandia,matr_to_sandia,random_forest,456,50,0.2019465065037058,0.24785688622361557,0.016752239449745798,99.32458924035322,5.1222567006789934e-15,0.20194650650369556,-1.0241807402167069e-14
matr,luh,matr_to_luh,random_forest,456,106,0.41815750990633926,-0.003821534105474647,0.037263054088127134,65.543220337763,7.30732186116423e-15,0.4181575099063444,5.162537064506978e-15
matr,hust,matr_to_hust,random_forest,789,77,-0.05860088617634312,-0.10755105126061239,-9.764179596922661,78.41038828548784,3.0883726281651163e-15,-0.058600886176345436,-2.3175905639050143e-15
matr,sandia,matr_to_sandia,random_forest,789,50,0.1161430629858793,0.295253659555136,0.008892542822262484,103.10802367658081,4.1753833363398335e-15,0.1161430629858768,-2.4980018054066022e-15
matr,luh,matr_to_luh,random_forest,789,106,0.511020355485557,0.3602066169239748,0.029683021663185816,66.03045038624873,2.6420966679523296e-15,0.5110203554855596,2.55351295663786e-15
matr,hust,matr_to_hust,random_forest,1011,77,-0.21871461917021873,-0.0885902070325337,-7.867812838854858,64.94566559941009,4.640568738619386e-15,-0.21871461917021884,-1.1102230246251565e-16
matr,sandia,matr_to_sandia,random_forest,1011,50,0.21266635252448057,0.0318520311095073,-0.007387532174899736,115.22205446658546,1.9131948672901813e-15,0.21266635252448038,-1.942890293094024e-16
matr,luh,matr_to_luh,random_forest,1011,106,0.4961266517618966,0.293721800400567,-0.5869686082983023,75.85441686475338,2.5032448417402125e-15,0.496126651761899,2.4424906541753444e-15
hust,matr,hust_to_matr,catboost,42,129,0.3202939999757376,0.2819323785102261,-5.474968273658125,77.03185710886142,4.945786414986703e-16,0.3202939999757388,1.2212453270876722e-15
hust,sandia,hust_to_sandia,catboost,42,50,0.30530054650210436,0.3724096539858607,-0.5512497585836964,129.51343716437862,5.756054031998179e-16,0.305300546502104,-3.885780586188048e-16
hust,luh,hust_to_luh,catboost,42,106,0.1434280412177583,0.13152597005271016,-6.515167972885404,106.09841949812659,5.103654968776438e-16,0.14342804121775757,-7.216449660063518e-16
hust,matr,hust_to_matr,catboost,123,129,0.21581488229894605,0.21022737596934002,-4.283457561944498,72.42982191733586,4.423645850442102e-16,0.2158148822989465,4.440892098500626e-16
hust,sandia,hust_to_sandia,catboost,123,50,0.5117249993564773,0.4651682156805511,-0.2750308734367015,125.7910060816932,4.165926057296536e-16,0.511724999356477,-3.3306690738754696e-16
hust,luh,hust_to_luh,catboost,123,106,0.1799678316417319,0.1342250955607858,-3.2160636366679043,92.7727949205001,5.247448031435873e-16,0.17996783164173272,8.049116928532385e-16
hust,matr,hust_to_matr,catboost,456,129,0.17646081729971694,0.07635833561728694,-5.074238632586148,75.26794320892796,3.4971991123374025e-16,0.1764608172997168,-1.3877787807814457e-16
hust,sandia,hust_to_sandia,catboost,456,50,0.7576989704023999,0.5863932183915146,-0.1818182474147121,123.83137814902989,4.165926057296536e-16,0.7576989704024002,3.3306690738754696e-16
hust,luh,hust_to_luh,catboost,456,106,-0.13089158436512857,-0.13717585283480646,-3.2463410728534505,92.75538310690874,4.3133757115277414e-16,-0.1308915843651286,-2.7755575615628914e-17
hust,matr,hust_to_matr,catboost,789,129,0.35478836208545605,0.25331231343615335,-4.843252612678496,74.75415958137904,3.909987473019178e-16,0.35478836208545633,2.7755575615628914e-16
hust,sandia,hust_to_sandia,catboost,789,50,0.6706608218384709,0.5447341906699531,-0.07694114899854498,121.41539662898057,4.699798436761765e-16,0.670660821838471,1.1102230246251565e-16
hust,luh,hust_to_luh,catboost,789,106,-0.07373251505422257,-0.04481364387543219,-2.1145057370586744,86.39727354874066,5.590773904244359e-16,-0.07373251505422329,-7.216449660063518e-16
hust,matr,hust_to_matr,catboost,1011,129,0.2702871648993934,0.23282814024370413,-5.284314274993515,76.12888700545017,4.756705058963295e-16,0.2702871648993937,2.7755575615628914e-16
hust,sandia,hust_to_sandia,catboost,1011,50,0.3884771922052067,0.43433785681193166,-0.6471763219423357,130.2500776110333,5.02429586778808e-16,0.3884771922052068,1.1102230246251565e-16
hust,luh,hust_to_luh,catboost,1011,106,-0.02946573481144217,-0.0678685466777026,-5.467541405178624,102.28485834826517,6.038725996138838e-16,-0.02946573481144387,-1.700029006457271e-15
hust,matr,hust_to_matr,random_forest,42,129,0.39050826905667724,0.36588345131369354,-4.487188106916127,73.09562223518283,1.2871403206257033e-14,0.3905082690566617,-1.554312234475219e-14
hust,sandia,hust_to_sandia,random_forest,42,50,0.4606467881199312,0.6063487517763225,-0.44638277570275453,127.37274004931358,1.1604247348330123e-14,0.4606467881198947,-3.652633751016765e-14
hust,luh,hust_to_luh,random_forest,42,106,0.22592356553727344,0.12136800368175829,-5.003778826104715,100.18663864793108,1.2022794922801151e-14,0.22592356553725348,-1.995625886763719e-14
hust,matr,hust_to_matr,random_forest,123,129,0.3733340558078014,0.32294636569958746,-4.582616138291804,73.59928333916339,4.9494943648377896e-15,0.3733340558078016,2.220446049250313e-16
hust,sandia,hust_to_sandia,random_forest,123,50,0.47851419632078174,0.5909811293647573,-0.3477751742697539,125.67335414639172,6.001615526872027e-15,0.47851419632078623,4.496403249731884e-15
hust,luh,hust_to_luh,random_forest,123,106,0.2854501395201481,0.15570156725237916,-3.4305645417392103,92.20525268214718,1.1286547391703556e-14,0.2854501395201472,-8.881784197001252e-16
hust,matr,hust_to_matr,random_forest,456,129,0.37777266985041846,0.25596775457497245,-4.907755820028201,74.99153974763647,7.456910956747293e-15,0.3777726698503945,-2.398081733190338e-14
hust,sandia,hust_to_sandia,random_forest,456,50,0.4487998116807985,0.5601018130815183,-0.30774735535821884,124.8105428307912,8.941094124048653e-15,0.44879981168080274,4.218847493575595e-15
hust,luh,hust_to_luh,random_forest,456,106,0.2556559983838378,0.06787257377631599,-3.642426716574427,93.64021643666585,1.0055995104837705e-14,0.25565599838385017,1.2378986724570495e-14
hust,matr,hust_to_matr,random_forest,789,129,0.34671055014110075,0.3148735150293789,-4.516367884466522,73.33833778227289,4.364498887707723e-15,0.3467105501411013,5.551115123125783e-16
hust,sandia,hust_to_sandia,random_forest,789,50,0.3812067553655002,0.4481317842071375,-0.41929407577096356,127.21374415504314,5.382097401544825e-15,0.38120675536550214,1.942890293094024e-15
hust,luh,hust_to_luh,random_forest,789,106,0.2526254590021322,0.08932477986076787,-3.5783429637026476,93.61456409087336,2.054181499899963e-15,0.25262545900213207,-1.1102230246251565e-16
hust,matr,hust_to_matr,random_forest,1011,129,0.38547090252773286,0.338463473618139,-4.278870610952152,72.26395256073911,2.135869801389448e-15,0.38547090252773125,-1.609823385706477e-15
hust,sandia,hust_to_sandia,random_forest,1011,50,0.4010453376989288,0.6014887757232461,-0.34056024077659974,126.56925470842376,2.1093068779688048e-15,0.4010453376989185,-1.0325074129013956e-14
hust,luh,hust_to_luh,random_forest,1011,106,0.18445607699246486,0.038259041994986386,-3.9520354880297655,96.00301651356004,1.901802521188313e-15,0.18445607699246794,3.0808688933348094e-15
sandia,matr,sandia_to_matr,catboost,42,129,0.29805287589234664,0.1335653389259167,-5.2769685836422315,66.06066833274653,1.1625228515011452e-15,0.2980528758923467,5.551115123125783e-17
