direction,source_variant,target_variant,model,n_seed_runs,train_cells_mean,target_cells,MAE_mean,MAE_std,SMAPE_mean,R2_mean,R2_std,pearson_r_mean,pearson_r_std,linear_adapter_R2_mean,life_ratio_target_over_source
hust_to_matr,full,full,gaussian_process,5,53.0,129,720.3607091592451,9.811958932167114,69.4051250330864,-3.6001135620102005,0.12038887047287587,-0.1140931826398683,0.030008007408602256,0.013617574663961851,0.4795699062311346
hust_to_matr,full,restricted,gaussian_process,5,53.0,86,568.7002879590084,9.049800944783907,49.89811595941939,-2.523122570178349,0.11278042984306132,0.019907446084018603,0.05928518746537033,0.0027394620447488784,0.6154240266040283
hust_to_matr,restricted,full,gaussian_process,5,29.4,129,731.2199039648925,15.550531159104343,70.01260915094808,-3.7344169240152203,0.19310955211869132,-0.08109821710270607,0.024726257451911225,0.007066031007045637,0.4734585913223198
hust_to_matr,restricted,restricted,gaussian_process,5,29.4,86,578.7515932217486,14.32155076765573,50.51486780298245,-2.649594322116581,0.18096364551500985,0.07733931494537924,0.08303204134285658,0.011496819456261664,0.6075814785622099
matr_to_hust,full,full,gaussian_process,5,89.0,77,763.007238641014,25.843255364702493,67.09438129384253,-7.936737027557716,0.36883344823285885,-0.12001850460196384,0.1134283751604658,0.02469723848012617,2.085201733901205
matr_to_hust,full,restricted,gaussian_process,5,89.0,43,782.9369690858608,21.871147346995343,69.45135456076821,-11.545225394301772,0.5258614853095783,-0.13511260245914689,0.10175461736574719,0.02653861706748333,2.1121171277241073
matr_to_hust,restricted,full,gaussian_process,5,58.8,77,594.7970959233132,21.328740484235066,48.05386282191722,-4.809257861322156,0.343113529562099,-0.08527880231628653,0.11732256056211546,0.018284140697989205,1.6248959364133062
matr_to_hust,restricted,restricted,gaussian_process,5,58.8,43,612.3335714690672,22.118658425669153,50.03419992900693,-7.0898325451790996,0.5593132666524868,-0.09320439813374874,0.08083329783919446,0.013914277463115998,1.6458697891292133
