n_cycles,dataset,model,feature,mean_abs_shap_log_cycles_mean,mean_abs_shap_log_cycles_std,mean_shap_log_cycles_mean,relative_importance_mean,relative_importance_std,rank_mean,rank_std,n_seed_runs,MAE_mean,SMAPE_mean,R2_mean,attribution_MAE_mean,attribution_SMAPE_mean,attribution_R2_mean,top5_rate,top10_rate,abs_mean_shift_z_raw,abs_mean_shift_z_capnorm,spearman_matr,spearman_hust,spearman_abs_delta,spearman_sign_agree,within_R2_mean,adapted_cross_R2_mean,transfer_stability_score,stability_class,hust_vs_luh_shift_class,hust_vs_luh_delta_slope,hust_vs_luh_delta_slope_fdr_bh,hust_vs_luh_log_life_offset,hust_vs_luh_life_ratio,hust_vs_sandia_shift_class,hust_vs_sandia_delta_slope,hust_vs_sandia_delta_slope_fdr_bh,hust_vs_sandia_log_life_offset,hust_vs_sandia_life_ratio,matr_vs_hust_shift_class,matr_vs_hust_delta_slope,matr_vs_hust_delta_slope_fdr_bh,matr_vs_hust_log_life_offset,matr_vs_hust_life_ratio,matr_vs_luh_shift_class,matr_vs_luh_delta_slope,matr_vs_luh_delta_slope_fdr_bh,matr_vs_luh_log_life_offset,matr_vs_luh_life_ratio,matr_vs_sandia_shift_class,matr_vs_sandia_delta_slope,matr_vs_sandia_delta_slope_fdr_bh,matr_vs_sandia_log_life_offset,matr_vs_sandia_life_ratio,sandia_vs_luh_shift_class,sandia_vs_luh_delta_slope,sandia_vs_luh_delta_slope_fdr_bh,sandia_vs_luh_log_life_offset,sandia_vs_luh_life_ratio
100,hust,random_forest,linearity_r2,0.040604211889348166,0.024055575923984038,0.008396655501450561,0.2345260509366638,0.12620036752238808,1.8,1.3038404810405297,5,208.5782842980493,14.213784121359117,0.14635300833235326,208.56801131128546,14.213122251587425,0.1464402337651217,1.0,1.0,0.7926134476073226,0.7926134476073226,-0.301384183652376,-0.3973815486017567,0.0959973649493806,True,0.0571793774847714,-0.0395933442995103,0.3902886778689827,stable_candidate,slope_stable,-0.1222988179282928,0.1052380952380952,-1.2909351275135368,0.2750134901264263,slope_stable,0.1479091943587664,0.7531182795698925,-1.3980385319726762,0.2470811306855769,slope_shifted,0.135658044616212,0.0112956810631229,0.7348656054389977,2.085201733901205,slope_stable,0.0133592266879192,0.9266666666666666,-0.5560695220745391,0.5734586064578459,slope_stable,0.2835672389749785,0.6434408602150538,-0.6631729265336785,0.5152140021198353,slope_stable,-0.2702080122870592,0.6719047619047619,0.1071034044591394,1.1130493427941877
100,hust,random_forest,slope_ratio,0.03441039533806323,0.018794272211702618,0.008003632373390588,0.20656597058479415,0.11610070685017254,1.8,0.8366600265340756,5,208.5782842980493,14.213784121359117,0.14635300833235326,208.56801131128546,14.213122251587425,0.1464402337651217,1.0,1.0,0.2299162253682134,0.2299162253682134,-0.2714587596184837,-0.3576578530615989,0.0861990934431152,True,-0.0179843355993486,-0.2572667548031951,0.4224130194732104,weak_or_mixed,slope_shifted,-0.3270891106266285,0.0047065337763012,-1.2909351275135368,0.2750134901264263,slope_stable,-0.1355651501927797,0.4455172413793103,-1.3980385319726762,0.2470811306855769,slope_stable,0.0310473645300577,0.751578947368421,0.7348656054389977,2.085201733901205,slope_shifted,-0.2960417460965708,0.0141666666666666,-0.5560695220745391,0.5734586064578459,slope_stable,-0.104517785662722,0.6346666666666667,-0.6631729265336785,0.5152140021198353,slope_stable,-0.1915239604338487,0.4965079365079364,0.1071034044591394,1.1130493427941877
100,hust,random_forest,kurtosis_Qdis,0.010384630423393531,0.0059883164774090945,-0.002071201653422081,0.060670497199234966,0.0339829582615264,5.0,2.5495097567963922,5,208.5782842980493,14.213784121359117,0.14635300833235326,208.56801131128546,14.213122251587425,0.1464402337651217,0.8,1.0,0.4905777067242087,0.4905777067242087,0.1403498473907871,0.2963503361855911,0.1560004887948039,True,-0.1036165319932155,-3.099790129265697,0.3484130995939667,weak_or_mixed,slope_shifted,0.2590105791631585,0.0174358974358974,-1.2909351275135368,0.2750134901264263,slope_stable,0.2752792811686079,0.122051282051282,-1.3980385319726762,0.2470811306855769,slope_stable,-0.0443895823042409,0.6674074074074074,0.7348656054389977,2.085201733901205,slope_stable,0.2146209968589176,0.1762962962962962,-0.5560695220745391,0.5734586064578459,slope_stable,0.230889698864367,0.3051282051282051,-0.6631729265336785,0.5152140021198353,slope_stable,-0.0162687020054493,0.9547474747474748,0.1071034044591394,1.1130493427941877
100,hust,random_forest,variance_Qdis,0.007941226437551612,0.007245113794119807,-0.002531906340577082,0.047222342083149724,0.042994955057115904,8.8,4.324349662087931,5,208.5782842980493,14.213784121359117,0.14635300833235326,208.56801131128546,14.213122251587425,0.1464402337651217,0.2,0.4,0.1160514849716816,0.1167984472327037,-0.5681721620677368,-0.0773573620959061,0.4908147999718307,True,-0.0297985737118905,-0.0746237908536887,0.2371848772683324,weak_or_mixed,slope_shifted,-0.6231785395702376,0.0047065337763012,-1.2909351275135368,0.2750134901264263,slope_shifted,-0.7243547246879821,0.0049111656796186,-1.3980385319726762,0.2470811306855769,slope_stable,-0.0374316308956127,0.8216666666666667,0.7348656054389977,2.085201733901205,slope_stable,-0.6606101704658504,0.3561904761904761,-0.5560695220745391,0.5734586064578459,slope_stable,-0.7617863555835949,0.3525925925925926,-0.6631729265336785,0.5152140021198353,slope_stable,0.1011761851177445,0.7894252873563219,0.1071034044591394,1.1130493427941877
100,hust,random_forest,Qdis_cycle10,0.007278323735061677,0.004235796140605355,-0.00017079067431346188,0.04231437566494572,0.022233465383091254,7.0,4.301162633521313,5,208.5782842980493,14.213784121359117,0.14635300833235326,208.56801131128546,14.213122251587425,0.1464402337651217,0.4,0.6,10.83695782836421,0.200530074660116,-0.1834993682959988,0.6461081425828502,0.829607510878849,False,0.0881290749560108,-0.1303602956720059,-1.0766746804834135,scale_shift_fragile,slope_shifted,0.7043583328226131,0.0047065337763012,-1.2909351275135368,0.2750134901264263,slope_shifted,0.4310060477495093,0.0049111656796186,-1.3980385319726762,0.2470811306855769,slope_stable,-0.020314285416401,0.9866666666666668,0.7348656054389977,2.085201733901205,slope_shifted,0.684044047406212,0.0080683436165163,-0.5560695220745391,0.5734586064578459,slope_shifted,0.4106917623331083,0.023859649122807,-0.6631729265336785,0.5152140021198353,slope_stable,0.2733522850731038,0.4965079365079364,0.1071034044591394,1.1130493427941877
100,hust,random_forest,sample_entropy,0.006913492275992456,0.0027856803630596496,-0.0002630509559872538,0.04028147869108587,0.01507164080267049,7.6,3.7815340802378077,5,208.5782842980493,14.213784121359117,0.14635300833235326,208.56801131128546,14.213122251587425,0.1464402337651217,0.2,0.8,0.3477327760149168,0.3477327760149168,-0.0238514851634939,0.2455455435771497,0.2693970287406437,False,-0.0057872528674165,-0.2373458720541509,-0.1868584307725593,relationship_unstable,slope_stable,-0.0701877876961405,0.3802150537634409,-1.2909351275135368,0.2750134901264263,slope_shifted,0.7240807373583973,0.0090666666666666,-1.3980385319726762,0.2470811306855769,slope_stable,0.0967110252338564,0.17,0.7348656054389977,2.085201733901205,slope_stable,0.0265232375377159,0.87125,-0.5560695220745391,0.5734586064578459,slope_shifted,0.8207917625922537,0.0066445182724252,-0.6631729265336785,0.5152140021198353,slope_shifted,-0.7942685250545378,0.0376522702104097,0.1071034044591394,1.1130493427941877
100,hust,random_forest,max_drop,0.006716387225336453,0.0035780755081569276,-0.001487962834659053,0.03976859232976872,0.021942643995535294,8.6,6.8044103344816,5,208.5782842980493,14.213784121359117,0.14635300833235326,208.56801131128546,14.213122251587425,0.1464402337651217,0.4,0.8,0.1346543738940666,0.1359979124070844,-0.0711686177215517,0.1464203324360744,0.2175889501576261,False,-0.0311581571186978,-30740250171.031845,-0.128992631162923,relationship_unstable,slope_shifted,-0.8169805320941509,0.0047065337763012,-1.2909351275135368,0.2750134901264263,slope_shifted,-0.4100786312042842,0.0090666666666666,-1.3980385319726762,0.2470811306855769,slope_stable,0.0060044251504829,0.9866666666666668,0.7348656054389977,2.085201733901205,slope_stable,-0.810976106943668,0.2482539682539682,-0.5560695220745391,0.5734586064578459,slope_stable,-0.4040742060538013,0.2987878787878787,-0.6631729265336785,0.5152140021198353,slope_stable,-0.4069019008898667,0.3683333333333333,0.1071034044591394,1.1130493427941877
100,hust,random_forest,knee_cycle,0.006660228051488286,0.0030382970381216783,0.00022308668715342555,0.03843175834219443,0.013866771177563374,7.8,2.16794833886788,5,208.5782842980493,14.213784121359117,0.14635300833235326,208.56801131128546,14.213122251587425,0.1464402337651217,0.2,1.0,0.834763550107729,0.834763550107729,-0.2749122631570961,-0.0850996023275905,0.1898126608295056,True,0.0120457900462751,-0.0783063675343923,0.291924927115363,weak_or_mixed,slope_stable,-0.1253274517577839,0.1964444444444444,-1.2909351275135368,0.2750134901264263,slope_shifted,-0.4341386496973739,0.0049111656796186,-1.3980385319726762,0.2470811306855769,slope_shifted,0.1437238521629297,0.0174358974358974,0.7348656054389977,2.085201733901205,slope_stable,0.0183964004051458,0.9266666666666666,-0.5560695220745391,0.5734586064578459,slope_stable,-0.2904147975344442,0.0906666666666666,-0.6631729265336785,0.5152140021198353,slope_stable,0.30881119793959,0.3683333333333333,0.1071034044591394,1.1130493427941877
100,hust,random_forest,range_Qdis,0.006151730742194428,0.003033116266404801,0.0005429585540331355,0.03613407943020774,0.017948395512679686,8.6,4.929503017546495,5,208.5782842980493,14.213784121359117,0.14635300833235326,208.56801131128546,14.213122251587425,0.1464402337651217,0.4,0.8,0.057653016510343,0.0721581347043058,-0.5346940373102244,0.1735249850514964,0.7082190223617209,False,-0.0367611443233264,-1246094425.88638,-0.3627574636574119,relationship_unstable,slope_shifted,-0.7880050296008629,0.0047065337763012,-1.2909351275135368,0.2750134901264263,slope_shifted,-0.9275816209632048,0.0049111656796186,-1.3980385319726762,0.2470811306855769,slope_stable,-0.0041179169132845,0.9866666666666668,0.7348656054389977,2.085201733901205,slope_stable,-0.7921229465141476,0.3595402298850574,-0.5560695220745391,0.5734586064578459,slope_stable,-0.9316995378764896,0.3751724137931034,-0.6631729265336785,0.5152140021198353,slope_stable,0.1395765913623419,0.5492307692307692,0.1071034044591394,1.1130493427941877
100,hust,random_forest,accel_max_abs,0.005096067933379347,0.0048753012482833525,0.0007408600166434302,0.029811637196980843,0.028334659455068162,13.6,10.784247771634329,5,208.5782842980493,14.213784121359117,0.14635300833235326,208.56801131128546,14.213122251587425,0.1464402337651217,0.2,0.4,0.1342210519216805,0.1354344576327857,-0.118220239500228,0.1607613489265814,0.2789815884268095,False,-0.0873707351401829,-29648306856.704777,-0.1596239520016568,relationship_unstable,slope_shifted,-0.5689378749000796,0.0047065337763012,-1.2909351275135368,0.2750134901264263,slope_shifted,-0.4006935254611114,0.0049111656796186,-1.3980385319726762,0.2470811306855769,slope_stable,0.0006839927779857,0.9866666666666668,0.7348656054389977,2.085201733901205,slope_stable,-0.5682538821220938,0.2876923076923077,-0.5560695220745391,0.5734586064578459,slope_stable,-0.4000095326831256,0.3051282051282051,-0.6631729265336785,0.5152140021198353,slope_stable,-0.1682443494389682,0.5005555555555555,0.1071034044591394,1.1130493427941877
