source,target,direction,direction_label,pair,feature,source_slope,target_slope,delta_slope_target_minus_source,delta_slope_fdr_bh,slope_shift_significant,conditional_shift_class,log_life_offset_target_minus_source,life_ratio_target_over_source,source_shap_model,mean_abs_shap_log_cycles_mean,mean_abs_shap_log_cycles_std,relative_importance_mean,relative_importance_std,rank_mean,rank_std,top5_rate,top10_rate,source_within_MAE,source_within_SMAPE,source_within_R2,n_seed_runs,abs_mean_shift_z,spearman_source,spearman_target,spearman_abs_delta,spearman_sign_agree,transfer_stability_score,stability_class,adapted_cross_R2_mean,relative_importance_pct,source_importance_rank_in_direction,is_top10_source_shap,is_top5_source_shap,is_slope_shifted
hust,luh,hust_to_luh,HUST -> Luh/KIT,hust_vs_luh,Qdis_N,0.0424315775707321,0.7879275140017642,0.7454959364310321,0.0047065337763012,True,slope_shifted,-1.2909351275135368,0.2750134901264263,random_forest,0.0571687925949802,0.0154264986449146,0.2824391652512216,0.0686016192184657,1.2,0.4472135954999579,1.0,1.0,177.97215881381192,12.156647262692422,0.3397522395445834,5,1.90906204495569,0.1043568560202886,0.925875450630646,0.8215185946103574,True,0.6116958098368391,weak_or_mixed,0.4044072069426856,28.24391652512216,1,True,True,True
hust,luh,hust_to_luh,HUST -> Luh/KIT,hust_vs_luh,linearity_r2,-0.0482802562094597,-0.1705790741377525,-0.1222988179282928,0.1052380952380952,False,slope_stable,-1.2909351275135368,0.2750134901264263,random_forest,0.0276341390800769,0.0156069034432486,0.1433157476871205,0.0920562824047366,2.8,1.6431676725154984,1.0,1.0,177.97215881381192,12.156647262692422,0.3397522395445834,5,1.4079857548818642,-0.3973815486017567,-0.2241748054688204,0.1732067431329362,True,0.2021987652012522,weak_or_mixed,-0.0580375207939235,14.331574768712048,2,True,True,False
hust,luh,hust_to_luh,HUST -> Luh/KIT,hust_vs_luh,Qdis_cycle10,0.0432130913526162,0.7475714241752294,0.7043583328226131,0.0047065337763012,True,slope_shifted,-1.2909351275135368,0.2750134901264263,random_forest,0.0223827766742127,0.0186293486328528,0.1061039191866249,0.0841557361380814,4.6,3.209361307176242,0.6,1.0,177.97215881381192,12.156647262692422,0.3397522395445834,5,2.491206277207383,0.0717445169616746,0.8274390566706548,0.75569453970898,True,-0.0259231370940673,weak_or_mixed,0.112802537170765,10.61039191866249,3,True,True,True
hust,luh,hust_to_luh,HUST -> Luh/KIT,hust_vs_luh,poly2_a,0.0419700537095983,-0.451903255789135,-0.4938733094987334,0.0047065337763012,True,slope_shifted,-1.2909351275135368,0.2750134901264263,random_forest,0.0136924370071925,0.0058829731726306,0.066544439220805,0.0227900662470209,3.8,0.8366600265340756,1.0,1.0,177.97215881381192,12.156647262692422,0.3397522395445834,5,0.3052654514798559,0.146499201454354,-0.4442434761706538,0.5907426776250079,False,-0.3411611565344823,relationship_unstable,-0.3563062371230006,6.6544439220805,4,True,True,True
hust,luh,hust_to_luh,HUST -> Luh/KIT,hust_vs_luh,slope_ratio,-0.0479199406795903,-0.3750090513062189,-0.3270891106266285,0.0047065337763012,True,slope_shifted,-1.2909351275135368,0.2750134901264263,random_forest,0.010531644420632,0.0029412477153492,0.0520056177973756,0.0112866883418694,5.0,1.4142135623730951,0.4,1.0,177.97215881381192,12.156647262692422,0.3397522395445834,5,1.136196874886621,-0.3576578530615989,-0.2152773404399871,0.1423805126216117,True,0.258380212456201,weak_or_mixed,-0.0337607640944994,5.20056177973756,5,True,True,True
hust,luh,hust_to_luh,HUST -> Luh/KIT,hust_vs_luh,kurtosis_Qdis,0.0366513983218468,0.2956619774850054,0.2590105791631585,0.0174358974358974,True,slope_shifted,-1.2909351275135368,0.2750134901264263,random_forest,0.0064992492474809,0.0064583805253715,0.0344887466728933,0.0384158064683527,10.6,4.61519230368573,0.2,0.4,177.97215881381192,12.156647262692422,0.3397522395445834,5,1.2929044901748787,0.2963503361855911,0.2880541707579354,0.0082961654276556,True,0.3019162437599403,weak_or_mixed,-0.0546708252579391,3.4488746672893296,6,True,False,True
hust,luh,hust_to_luh,HUST -> Luh/KIT,hust_vs_luh,sample_entropy,0.0476836935833934,-0.0225040941127471,-0.0701877876961405,0.3802150537634409,False,slope_stable,-1.2909351275135368,0.2750134901264263,random_forest,0.0062014924979245,0.002142873479624,0.0316899526628758,0.0143650179239506,8.0,2.345207879911715,0.2,1.0,177.97215881381192,12.156647262692422,0.3397522395445834,5,3.612623431374343,0.2455455435771497,0.035126051635988,0.2104194919411616,True,-0.1229609677043888,scale_shift_fragile,-0.0627421951501677,3.16899526628758,7,True,False,False
hust,luh,hust_to_luh,HUST -> Luh/KIT,hust_vs_luh,spectral_entropy,-0.0244546050895212,0.2532557678956669,0.2777103729851882,0.0174358974358974,True,slope_shifted,-1.2909351275135368,0.2750134901264263,random_forest,0.0049930970900394,0.0032099733739734,0.0241451870093305,0.0148060565827825,11.0,4.636809247747852,0.2,0.4,177.97215881381192,12.156647262692422,0.3397522395445834,5,0.0537911104021255,-0.0710741303062981,0.2341554839637913,0.3052296142700895,False,-0.1606834736953635,relationship_unstable,-0.0622388395689197,2.41451870093305,8,True,False,True
hust,luh,hust_to_luh,HUST -> Luh/KIT,hust_vs_luh,range_Qdis,-0.001991538828119,-0.789996568428982,-0.7880050296008629,0.0047065337763012,True,slope_shifted,-1.2909351275135368,0.2750134901264263,random_forest,0.0045576984653792,0.0022139612331979,0.0226006185311236,0.0101893617242526,12.4,4.159326868617084,0.0,0.4,177.97215881381192,12.156647262692422,0.3397522395445834,5,1.6530834811113286,0.130988294526033,-0.9238853607742537,1.0548736553002869,False,-0.7479625221666992,relationship_unstable,-1.2852883608579515,2.2600618531123597,9,True,False,True
hust,luh,hust_to_luh,HUST -> Luh/KIT,hust_vs_luh,max_drop,0.0204208490932998,-0.7965596830008511,-0.8169805320941509,0.0047065337763012,True,slope_shifted,-1.2909351275135368,0.2750134901264263,random_forest,0.0044461902694649,0.0011287614188815,0.0222215177847013,0.0057786204352716,10.0,1.5811388300841898,0.0,0.6,177.97215881381192,12.156647262692422,0.3397522395445834,5,0.2276809167707683,0.048110101150555,-0.8477127821950178,0.8958228833455728,False,-0.4820635791884016,relationship_unstable,-0.0832694273882866,2.22215177847013,10,True,False,True
