source,target,model,scenario,scenario_label,confidence,n_draws,point_available_fraction,MAE_mean,MAE_median,MAE_p025,MAE_p975,SMAPE_mean,SMAPE_median,SMAPE_p025,SMAPE_p975,R2_mean,R2_median,R2_p025,R2_p975,coverage_mean,coverage_median,coverage_p025,coverage_p975,median_width_mean,median_width_median,median_width_p025,median_width_p975,finite_interval_fraction_mean,finite_interval_fraction_median,finite_interval_fraction_p025,finite_interval_fraction_p975,audit_r_mean,audit_r_median,audit_r_p025,audit_r_p975,gate_matches_full_mean,gate_matches_full_median,gate_matches_full_p025,gate_matches_full_p975
hust,luh,pls,always_linear,Always linear,0.9,1000,1.0,206.55644188632968,205.1737891032369,162.270011756835,264.9150783093857,48.262160980256354,47.42091384976221,36.385595031120225,68.17543597530171,0.54100313854091,0.5623403539048284,0.16602294324549088,0.71093936877907,0.952560606060606,0.9696969696969697,0.8333333333333334,1.0,1299.975883268923,1267.6156279621973,707.9956903778168,2188.2551743832605,1.0,1.0,1.0,1.0,0.7877051791122653,0.7897298099998861,0.6440238340886291,0.9087529787092813,1.0,1.0,1.0,1.0
hust,luh,pls,always_linear,Always linear,0.95,1000,1.0,206.55644188632968,205.1737891032369,162.270011756835,264.9150783093857,48.262160980256354,47.42091384976221,36.385595031120225,68.17543597530171,0.54100313854091,0.5623403539048284,0.16602294324549088,0.71093936877907,0.952560606060606,0.9696969696969697,0.8333333333333334,1.0,1299.975883268923,1267.6156279621973,707.9956903778168,2188.2551743832605,1.0,1.0,1.0,1.0,0.7877051791122653,0.7897298099998861,0.6440238340886291,0.9087529787092813,1.0,1.0,1.0,1.0
hust,luh,pls,always_residual_mean,Always residual,0.9,1000,1.0,249.13073408423338,226.91775405267185,168.39111588359313,349.8865028288466,55.055283476753715,56.08806413720839,38.1781106319234,69.78644244203477,0.38229388742006837,0.5238104613995318,-0.08570597670358619,0.6675113463418431,0.9514848484848485,0.9696969696969697,0.8333333333333334,1.0,1387.3613931375,1392.068973225546,743.8772709451904,2129.013691325789,1.0,1.0,1.0,1.0,0.7877051791122653,0.7897298099998861,0.6440238340886291,0.9087529787092813,1.0,1.0,1.0,1.0
hust,luh,pls,always_residual_mean,Always residual,0.95,1000,1.0,249.13073408423338,226.91775405267185,168.39111588359313,349.8865028288466,55.055283476753715,56.08806413720839,38.1781106319234,69.78644244203477,0.38229388742006837,0.5238104613995318,-0.08570597670358619,0.6675113463418431,0.9514848484848485,0.9696969696969697,0.8333333333333334,1.0,1387.3613931375,1392.068973225546,743.8772709451904,2129.013691325789,1.0,1.0,1.0,1.0,0.7877051791122653,0.7897298099998861,0.6440238340886291,0.9087529787092813,1.0,1.0,1.0,1.0
hust,luh,pls,audit_gated_policy,Audit-gated policy,0.9,1000,1.0,206.55644188632968,205.1737891032369,162.270011756835,264.9150783093857,48.262160980256354,47.42091384976221,36.385595031120225,68.17543597530171,0.54100313854091,0.5623403539048284,0.16602294324549088,0.71093936877907,0.952560606060606,0.9696969696969697,0.8333333333333334,1.0,1299.975883268923,1267.6156279621973,707.9956903778168,2188.2551743832605,1.0,1.0,1.0,1.0,0.7877051791122653,0.7897298099998861,0.6440238340886291,0.9087529787092813,1.0,1.0,1.0,1.0
hust,luh,pls,audit_gated_policy,Audit-gated policy,0.95,1000,1.0,206.55644188632968,205.1737891032369,162.270011756835,264.9150783093857,48.262160980256354,47.42091384976221,36.385595031120225,68.17543597530171,0.54100313854091,0.5623403539048284,0.16602294324549088,0.71093936877907,0.952560606060606,0.9696969696969697,0.8333333333333334,1.0,1299.975883268923,1267.6156279621973,707.9956903778168,2188.2551743832605,1.0,1.0,1.0,1.0,0.7877051791122653,0.7897298099998861,0.6440238340886291,0.9087529787092813,1.0,1.0,1.0,1.0
hust,luh,pls,no_adaptation,No adaptation,0.9,1000,1.0,405.61932786666284,460.51359750233416,188.23387292111428,578.5190599080123,108.72905006541082,73.32500540105364,41.53526741129329,192.6584193959676,-0.5807089986158587,-0.6160993660523791,-1.9203438989777775,0.671707709140511,0.953560606060606,0.9696969696969697,0.8181818181818182,1.0,1873.9938364183,1758.0959468315068,749.6871553857341,3106.431217379642,1.0,1.0,1.0,1.0,0.7877051791122653,0.7897298099998861,0.6440238340886291,0.9087529787092813,1.0,1.0,1.0,1.0
hust,luh,pls,no_adaptation,No adaptation,0.95,1000,1.0,405.61932786666284,460.51359750233416,188.23387292111428,578.5190599080123,108.72905006541082,73.32500540105364,41.53526741129329,192.6584193959676,-0.5807089986158587,-0.6160993660523791,-1.9203438989777775,0.671707709140511,0.953560606060606,0.9696969696969697,0.8181818181818182,1.0,1873.9938364183,1758.0959468315068,749.6871553857341,3106.431217379642,1.0,1.0,1.0,1.0,0.7877051791122653,0.7897298099998861,0.6440238340886291,0.9087529787092813,1.0,1.0,1.0,1.0
hust,luh,pls,oracle_best_point,Oracle point adapter,0.9,1000,1.0,206.29538887302948,205.145087689487,162.270011756835,268.16515287090414,49.19966103921154,48.398570226082185,36.385595031120225,67.75069334846813,0.556760947091562,0.5770170945237307,0.1704004224373449,0.71093936877907,0.9526515151515151,0.9696969696969697,0.8333333333333334,1.0,1273.925068020952,1249.336508891973,701.1671285864271,2137.413873298138,1.0,1.0,1.0,1.0,0.7877051791122653,0.7897298099998861,0.6440238340886291,0.9087529787092813,1.0,1.0,1.0,1.0
hust,luh,pls,oracle_best_point,Oracle point adapter,0.95,1000,1.0,206.29538887302948,205.145087689487,162.270011756835,268.16515287090414,49.19966103921154,48.398570226082185,36.385595031120225,67.75069334846813,0.556760947091562,0.5770170945237307,0.1704004224373449,0.71093936877907,0.9526515151515151,0.9696969696969697,0.8333333333333334,1.0,1273.925068020952,1249.336508891973,701.1671285864271,2137.413873298138,1.0,1.0,1.0,1.0,0.7877051791122653,0.7897298099998861,0.6440238340886291,0.9087529787092813,1.0,1.0,1.0,1.0
hust,matr,gaussian_process,always_linear,Always linear,0.9,1000,1.0,300.07936474102837,286.76816555935477,254.64998186002276,435.5944761025142,38.43961848901659,37.4111487908704,33.22457879095556,50.98923732715265,-1.3726673717021258,-0.05915887762696703,-7.863245038828117,0.007384077258078818,0.9534943820224718,0.9662921348314607,0.8087078651685393,1.0,2397.6111273851166,1926.4989048141986,906.7418251912039,5632.6105935055875,1.0,1.0,1.0,1.0,-0.14147623381567243,-0.18450824416498912,-0.3963256238009645,0.32910720420842227,0.945,1.0,0.0,1.0
hust,matr,gaussian_process,always_linear,Always linear,0.95,1000,1.0,300.07936474102837,286.76816555935477,254.64998186002276,435.5944761025142,38.43961848901659,37.4111487908704,33.22457879095556,50.98923732715265,-1.3726673717021258,-0.05915887762696703,-7.863245038828117,0.007384077258078818,0.9534943820224718,0.9662921348314607,0.8087078651685393,1.0,2397.6111273851166,1926.4989048141986,906.7418251912039,5632.6105935055875,1.0,1.0,1.0,1.0,-0.14147623381567243,-0.18450824416498912,-0.3963256238009645,0.32910720420842227,0.945,1.0,0.0,1.0
hust,matr,gaussian_process,always_residual_mean,Always residual,0.9,1000,1.0,283.85589860172877,282.2492009215572,253.6258588538959,327.663712211503,36.674022538117136,36.39470983953585,32.90265941081468,42.126916382537104,-0.06606073510897735,-0.02959180857104038,-0.3420803000075664,-0.0002463646377744823,0.9533258426966292,0.9662921348314607,0.8089887640449438,1.0,1850.8297112660507,1878.238289419189,880.3426432651958,2744.6225,1.0,1.0,1.0,1.0,-0.14147623381567243,-0.18450824416498912,-0.3963256238009645,0.32910720420842227,0.945,1.0,0.0,1.0
hust,matr,gaussian_process,always_residual_mean,Always residual,0.95,1000,1.0,283.85589860172877,282.2492009215572,253.6258588538959,327.663712211503,36.674022538117136,36.39470983953585,32.90265941081468,42.126916382537104,-0.06606073510897735,-0.02959180857104038,-0.3420803000075664,-0.0002463646377744823,0.9533258426966292,0.9662921348314607,0.8089887640449438,1.0,1850.8297112660507,1878.238289419189,880.3426432651958,2744.6225,1.0,1.0,1.0,1.0,-0.14147623381567243,-0.18450824416498912,-0.3963256238009645,0.32910720420842227,0.945,1.0,0.0,1.0
hust,matr,gaussian_process,audit_gated_policy,Audit-gated policy,0.9,1000,0.055,329.82678272525675,295.7768904437516,255.6016921120666,618.3143396294518,38.862903636273245,37.89167167102192,32.695164592795535,45.939169806478766,-3.2999704241942656,-0.13968807314702736,-30.030147422051872,-0.002008999318883343,0.9532584269662921,0.9662921348314607,0.8089887640449438,1.0,1907.2025111324335,1884.1916938265704,880.3426432651958,2758.8293634985994,1.0,1.0,1.0,1.0,-0.14147623381567243,-0.18450824416498912,-0.3963256238009645,0.32910720420842227,0.945,1.0,0.0,1.0
hust,matr,gaussian_process,audit_gated_policy,Audit-gated policy,0.95,1000,0.055,329.82678272525675,295.7768904437516,255.6016921120666,618.3143396294518,38.862903636273245,37.89167167102192,32.695164592795535,45.939169806478766,-3.2999704241942656,-0.13968807314702736,-30.030147422051872,-0.002008999318883343,0.9532584269662921,0.9662921348314607,0.8089887640449438,1.0,1907.2025111324335,1884.1916938265704,880.3426432651958,2758.8293634985994,1.0,1.0,1.0,1.0,-0.14147623381567243,-0.18450824416498912,-0.3963256238009645,0.32910720420842227,0.945,1.0,0.0,1.0
hust,matr,gaussian_process,no_adaptation,No adaptation,0.9,1000,1.0,720.0533183325203,720.1976390998592,683.4389600495324,757.4493940016695,69.38047689518045,69.51475791043279,65.25937888235255,73.38107487872463,-3.6893671086308997,-3.584621950833678,-5.120398699737487,-2.7779850661210257,0.9509662921348315,0.9662921348314607,0.8089887640449438,1.0,2308.3268727553877,2378.270812916759,2002.270812916759,2694.496057681642,1.0,1.0,1.0,1.0,-0.14147623381567243,-0.18450824416498912,-0.3963256238009645,0.32910720420842227,0.945,1.0,0.0,1.0
hust,matr,gaussian_process,no_adaptation,No adaptation,0.95,1000,1.0,720.0533183325203,720.1976390998592,683.4389600495324,757.4493940016695,69.38047689518045,69.51475791043279,65.25937888235255,73.38107487872463,-3.6893671086308997,-3.584621950833678,-5.120398699737487,-2.7779850661210257,0.9509662921348315,0.9662921348314607,0.8089887640449438,1.0,2308.3268727553877,2378.270812916759,2002.270812916759,2694.496057681642,1.0,1.0,1.0,1.0,-0.14147623381567243,-0.18450824416498912,-0.3963256238009645,0.32910720420842227,0.945,1.0,0.0,1.0
hust,matr,gaussian_process,oracle_best_point,Oracle point adapter,0.9,1000,1.0,283.4672674549323,281.85937959594963,252.8632502610792,327.663712211503,36.65603981090285,36.36565448906417,32.84769239835076,42.114388084729974,-0.06359311854266901,-0.028097947779706978,-0.3420803000075664,0.007384077258078818,0.9537303370786517,0.9662921348314607,0.8199438202247191,1.0,1850.691301746428,1879.1603588944038,894.4399999999999,2727.9275,1.0,1.0,1.0,1.0,-0.14147623381567243,-0.18450824416498912,-0.3963256238009645,0.32910720420842227,0.945,1.0,0.0,1.0
hust,matr,gaussian_process,oracle_best_point,Oracle point adapter,0.95,1000,1.0,283.4672674549323,281.85937959594963,252.8632502610792,327.663712211503,36.65603981090285,36.36565448906417,32.84769239835076,42.114388084729974,-0.06359311854266901,-0.028097947779706978,-0.3420803000075664,0.007384077258078818,0.9537303370786517,0.9662921348314607,0.8199438202247191,1.0,1850.691301746428,1879.1603588944038,894.4399999999999,2727.9275,1.0,1.0,1.0,1.0,-0.14147623381567243,-0.18450824416498912,-0.3963256238009645,0.32910720420842227,0.945,1.0,0.0,1.0
hust,sandia,xgboost,always_linear,Always linear,0.9,1000,1.0,695.2788183414195,692.6797714163082,418.9292661481292,1008.9059127281523,114.57396862753163,117.60207719936463,69.83010049132103,148.0989888935172,-0.5462465693494744,0.25656961410973267,-0.9409095225303195,0.6350175714702312,0.9356000000000001,0.9333333333333333,0.7333333333333333,1.0,3960.1460213243654,3918.0604301773155,1824.0711805783662,6176.0,1.0,1.0,1.0,1.0,0.5702362516846392,0.5914987362266847,0.28703871390406394,0.8062150013975529,0.867,1.0,0.0,1.0
hust,sandia,xgboost,always_linear,Always linear,0.95,1000,1.0,695.2788183414195,692.6797714163082,418.9292661481292,1008.9059127281523,114.57396862753163,117.60207719936463,69.83010049132103,148.0989888935172,-0.5462465693494744,0.25656961410973267,-0.9409095225303195,0.6350175714702312,0.9356000000000001,0.9333333333333333,0.7333333333333333,1.0,3960.1460213243654,3918.0604301773155,1824.0711805783662,6176.0,1.0,1.0,1.0,1.0,0.5702362516846392,0.5914987362266847,0.28703871390406394,0.8062150013975529,0.867,1.0,0.0,1.0
hust,sandia,xgboost,always_residual_mean,Always residual,0.9,1000,1.0,748.0654660962235,753.3664852655684,480.56786995103454,994.1048723784039,96.57644950503536,96.39945046484983,70.5346604094387,122.7060128428852,-0.631449159635524,0.13752017737740962,-0.8824212124271774,0.3347960391405791,0.9366000000000001,0.9333333333333333,0.7333333333333333,1.0,4367.0813818878,4523.200458980593,2124.7336430678833,5467.329043822776,1.0,1.0,1.0,1.0,0.5702362516846392,0.5914987362266847,0.28703871390406394,0.8062150013975529,0.867,1.0,0.0,1.0
hust,sandia,xgboost,always_residual_mean,Always residual,0.95,1000,1.0,748.0654660962235,753.3664852655684,480.56786995103454,994.1048723784039,96.57644950503536,96.39945046484983,70.5346604094387,122.7060128428852,-0.631449159635524,0.13752017737740962,-0.8824212124271774,0.3347960391405791,0.9366000000000001,0.9333333333333333,0.7333333333333333,1.0,4367.0813818878,4523.200458980593,2124.7336430678833,5467.329043822776,1.0,1.0,1.0,1.0,0.5702362516846392,0.5914987362266847,0.28703871390406394,0.8062150013975529,0.867,1.0,0.0,1.0
hust,sandia,xgboost,audit_gated_policy,Audit-gated policy,0.9,1000,0.996,695.3624498402125,693.3768756479838,422.2623541161001,1003.1995370381327,112.60822961922551,115.16984076360332,72.80375231593774,147.91183170301204,-0.5364910200121686,0.25101635225087987,-0.9436819185403846,0.635239694622554,0.9356666666666668,0.9333333333333333,0.7333333333333333,1.0,3981.241901604415,3954.4456020603084,1824.0711805783662,6176.0,1.0,1.0,1.0,1.0,0.5702362516846392,0.5914987362266847,0.28703871390406394,0.8062150013975529,0.867,1.0,0.0,1.0
hust,sandia,xgboost,audit_gated_policy,Audit-gated policy,0.95,1000,0.996,695.3624498402125,693.3768756479838,422.2623541161001,1003.1995370381327,112.60822961922551,115.16984076360332,72.80375231593774,147.91183170301204,-0.5364910200121686,0.25101635225087987,-0.9436819185403846,0.635239694622554,0.9356666666666668,0.9333333333333333,0.7333333333333333,1.0,3981.241901604415,3954.4456020603084,1824.0711805783662,6176.0,1.0,1.0,1.0,1.0,0.5702362516846392,0.5914987362266847,0.28703871390406394,0.8062150013975529,0.867,1.0,0.0,1.0
hust,sandia,xgboost,no_adaptation,No adaptation,0.9,1000,1.0,1161.086832029968,1168.5690942417225,984.8892006112086,1305.0742327037879,123.56530236401214,123.65130760318218,103.96738186614962,141.95752693782148,-3.0316323533640763,-0.25500374880897025,-4.033306632292649,0.22875904593807225,0.9376666666666668,0.9333333333333333,0.7333333333333333,1.0,3204.825527154483,3258.149459871111,2679.0917617358764,3667.1556149765747,1.0,1.0,1.0,1.0,0.5702362516846392,0.5914987362266847,0.28703871390406394,0.8062150013975529,0.867,1.0,0.0,1.0
hust,sandia,xgboost,no_adaptation,No adaptation,0.95,1000,1.0,1161.086832029968,1168.5690942417225,984.8892006112086,1305.0742327037879,123.56530236401214,123.65130760318218,103.96738186614962,141.95752693782148,-3.0316323533640763,-0.25500374880897025,-4.033306632292649,0.22875904593807225,0.9376666666666668,0.9333333333333333,0.7333333333333333,1.0,3204.825527154483,3258.149459871111,2679.0917617358764,3667.1556149765747,1.0,1.0,1.0,1.0,0.5702362516846392,0.5914987362266847,0.28703871390406394,0.8062150013975529,0.867,1.0,0.0,1.0
