target,k,protocol,model,adapter_type,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,n_test_mean,n_runs,selected_source_mode,selected_model_mode
HUST,5,pooled_erm_kshot,elastic_net,residual_mean,257.48612432095405,26.999926324091216,17.60931358004192,2.0158456321889484,-0.2888381737388277,0.2980303871392691,72.0,100,,
HUST,10,pooled_erm_kshot,elastic_net,residual_mean,246.70034855161725,20.911981055790037,16.85068461090442,1.4757122982704145,-0.1864076801628392,0.2062559324486058,67.0,100,,
HUST,15,pooled_erm_kshot,elastic_net,linear,238.97876346082225,15.53233090264199,16.28871809544281,1.033381289690711,-0.1494926798518274,0.1679157402764449,62.0,100,,
HUST,20,source_model_select,source_model_experts,linear,235.95474500299832,21.495898621334348,16.046810176188455,1.4399668462962214,-0.1099668955781074,0.2191836671362497,57.0,100,luh,xgboost
Luh/KIT,5,pooled_erm_kshot,stacking,linear,207.57908732315863,32.24561863623288,53.46981684298119,14.596876701231638,0.5411829816306213,0.1555661901955214,101.0,100,,
Luh/KIT,10,source_model_select,source_model_experts,linear,183.8535189936679,39.41653108834481,44.503155798747486,10.417248693187863,0.621033436502521,0.1654770654283121,96.0,100,sandia,pls
Luh/KIT,15,source_model_select,source_model_experts,linear,181.96222900056472,40.91820690319511,46.17014485199482,11.858831083200233,0.6402959204915252,0.1549207598432993,91.0,100,sandia,pls
Luh/KIT,20,source_model_select,source_model_experts,linear,178.2166753959974,36.244888542717895,45.02125886740163,10.155153423072884,0.6595684662991407,0.1389379482855606,86.0,100,sandia,pls
MATR,5,source_expert_convex,source_primary_experts,residual_mean,299.59226961536643,46.14442579644286,38.11082318134208,4.6231222444487425,-0.1963328623322204,0.332447594481844,124.0,100,,
MATR,10,source_expert_convex,source_primary_experts,none,285.36303843840864,20.75652011554893,36.65959974436083,2.423007597433063,-0.0793150269845151,0.1335090641397505,119.0,100,,
MATR,15,source_expert_convex,source_primary_experts,residual_mean,280.0274981449795,19.984544977969367,36.15173420219755,2.413540758501945,-0.0474283477836872,0.1272528764787261,114.0,100,,
MATR,20,pooled_erm_kshot,xgboost,linear,274.71648237643166,18.347222683438577,35.61899477555578,2.422747264812443,-0.0025568597108104,0.0989601142046156,109.0,100,,
Sandia,5,pooled_erm_kshot,gaussian_process,none,470.2713371402119,47.25528353986183,70.2310076124333,3.311298654166027,0.6296216591241043,0.0784879986631704,45.0,100,,
Sandia,10,pooled_erm_kshot,catboost,linear,334.410959833688,116.08004900372865,71.74624613103043,16.460012171392528,0.7234257171547561,0.283285518933315,40.0,100,,
Sandia,15,pooled_erm_kshot,stacking,linear,297.2907871354486,92.4471335848367,69.40264563946228,18.750138334278653,0.8080517088245476,0.167042271987178,35.0,100,,
Sandia,20,pooled_erm_kshot,stacking,linear,277.52336666036865,64.9687286099901,68.99493467948022,14.252347395959124,0.8554359922894331,0.0591448788526044,30.0,100,,
