n_cycles,dataset,model,feature,mean_abs_shap_log_cycles_mean,mean_abs_shap_log_cycles_std,mean_shap_log_cycles_mean,relative_importance_mean,relative_importance_std,rank_mean,rank_std,n_seed_runs,MAE_mean,SMAPE_mean,R2_mean,top5_rate,top10_rate,abs_mean_shift_z_raw,abs_mean_shift_z_capnorm,spearman_matr,spearman_hust,spearman_abs_delta,spearman_sign_agree,within_R2_mean,adapted_cross_R2_mean,transfer_stability_score,stability_class
100,hust,random_forest,Qdis_N,0.057168792594980235,0.015426498644914676,0.003948861709845553,0.2824391652512216,0.06860161921846579,1.2,0.4472135954999579,5,177.97215881381194,12.15664726269242,0.33975223954458456,1.0,1.0,8.208490470643092,0.0943727443826826,-0.0372936265148641,0.615506963490366,0.6528005900052303,False,0.0619496487769271,-0.072359703846407,-1.014450646225688,scale_shift_fragile
100,hust,random_forest,linearity_r2,0.027634139080076912,0.015606903443248618,0.007018566601398,0.14331574768712058,0.09205628240473668,2.8,1.6431676725154984,5,177.97215881381194,12.15664726269242,0.33975223954458456,1.0,1.0,0.7926134476073226,0.7926134476073226,-0.301384183652376,-0.3973815486017567,0.0959973649493806,True,0.0571793774847714,-0.0395933442995103,0.3902886778689827,stable_candidate
100,hust,random_forest,Qdis_cycle10,0.022382776674212734,0.01862934863285287,-0.0003025596184076716,0.10610391918662496,0.08415573613808146,4.6,3.209361307176242,5,177.97215881381194,12.15664726269242,0.33975223954458456,0.6,1.0,10.83695782836421,0.200530074660116,-0.1834993682959988,0.6461081425828502,0.829607510878849,False,0.0881290749560108,-0.1303602956720059,-1.0766746804834135,scale_shift_fragile
100,hust,random_forest,poly2_a,0.013692437007192559,0.005882973172630626,-0.0011120902317532486,0.06654443922080508,0.02279006624702094,3.8,0.8366600265340756,5,177.97215881381194,12.15664726269242,0.33975223954458456,1.0,1.0,10.674941602590264,0.2077987351128622,-0.1742863851448957,0.6165979849099005,0.7908843700547963,False,0.0708351643891332,-0.0994945264016915,-1.074607020638265,scale_shift_fragile
100,hust,random_forest,slope_ratio,0.010531644420632093,0.0029412477153492205,0.0038174940306649413,0.0520056177973756,0.011286688341869432,5.0,1.4142135623730951,5,177.97215881381194,12.15664726269242,0.33975223954458456,0.4,1.0,0.2299162253682134,0.2299162253682134,-0.2714587596184837,-0.3576578530615989,0.0861990934431152,True,-0.0179843355993486,-0.2572667548031951,0.4224130194732104,weak_or_mixed
100,hust,random_forest,kurtosis_Qdis,0.006499249247480947,0.006458380525371565,-0.0008119147829990898,0.03448874667289339,0.0384158064683527,10.6,4.61519230368573,5,177.97215881381194,12.15664726269242,0.33975223954458456,0.2,0.4,0.4905777067242087,0.4905777067242087,0.1403498473907871,0.2963503361855911,0.1560004887948039,True,-0.1036165319932155,-3.099790129265697,0.3484130995939667,weak_or_mixed
100,hust,random_forest,sample_entropy,0.006201492497924526,0.0021428734796240735,0.0005353534875617509,0.03168995266287585,0.01436501792395061,8.0,2.345207879911715,5,177.97215881381194,12.15664726269242,0.33975223954458456,0.2,1.0,0.3477327760149168,0.3477327760149168,-0.0238514851634939,0.2455455435771497,0.2693970287406437,False,-0.0057872528674165,-0.2373458720541509,-0.1868584307725593,relationship_unstable
100,hust,random_forest,spectral_entropy,0.004993097090039432,0.0032099733739734664,-0.0019252112185171731,0.024145187009330597,0.014806056582782504,11.0,4.636809247747852,5,177.97215881381194,12.15664726269242,0.33975223954458456,0.2,0.4,0.3301745196525271,0.3301745196525271,0.1547898567835657,-0.0710741303062981,0.2258639870898638,False,-0.0562456401577908,-0.1336489332345817,-0.162458171492811,relationship_unstable
100,hust,random_forest,range_Qdis,0.004557698465379262,0.0022139612331979574,-0.0010537030908091675,0.022600618531123634,0.010189361724252615,12.4,4.159326868617084,5,177.97215881381194,12.15664726269242,0.33975223954458456,0.0,0.4,0.057653016510343,0.0721581347043058,-0.5346940373102244,0.1735249850514964,0.7082190223617209,False,-0.0367611443233264,-1246094425.88638,-0.3627574636574119,relationship_unstable
100,hust,random_forest,max_drop,0.004446190269464953,0.0011287614188815942,-0.0008760519036820518,0.022221517784701304,0.005778620435271685,10.0,1.5811388300841898,5,177.97215881381194,12.15664726269242,0.33975223954458456,0.0,0.6,0.1346543738940666,0.1359979124070844,-0.0711686177215517,0.1464203324360744,0.2175889501576261,False,-0.0311581571186978,-30740250171.031845,-0.128992631162923,relationship_unstable
100,hust,random_forest,skewness_Qdis,0.004232730466575732,0.0028971516541174947,-0.0007250218726513952,0.02059915507826539,0.013549033716911536,12.6,6.985699678629192,5,177.97215881381194,12.15664726269242,0.33975223954458456,0.0,0.6,0.579972294177194,0.579972294177194,-0.0447539663932981,0.0195069371878206,0.0642609035811188,False,-0.0586728985376653,-0.1023297735881547,-0.1191262959171385,relationship_unstable
100,hust,random_forest,pos_neg_diff_ratio,0.004175346358603258,0.003366375854194454,1.6476085277534115e-05,0.020913533539732708,0.016697886643894676,14.0,8.306623862918075,5,177.97215881381194,12.15664726269242,0.33975223954458456,0.2,0.4,0.3989502921015491,0.3989502921015491,-0.0388839695506973,0.109797044929618,0.1486810144803154,False,-0.0637344480336262,-0.0754880028119838,-0.13418305105539,relationship_unstable
100,hust,random_forest,variance_Qdis,0.0037204885263564815,0.001744288164087101,-0.00094965326034737,0.01839849258191564,0.007626675640810491,11.8,3.0331501776206204,5,177.97215881381194,12.15664726269242,0.33975223954458456,0.0,0.2,0.1160514849716816,0.1167984472327037,-0.5681721620677368,-0.0773573620959061,0.4908147999718307,True,-0.0297985737118905,-0.0746237908536887,0.2371848772683324,weak_or_mixed
