feature,n_cycles,abs_mean_shift_z_raw,abs_mean_shift_z_capnorm,spearman_matr,spearman_hust,spearman_abs_delta,spearman_sign_agree,within_R2_mean,within_MAE_mean,raw_cross_R2_mean,raw_cross_MAE_mean,adapted_cross_R2_mean,adapted_cross_MAE_mean,adapted_cross_SMAPE_mean,adapted_residual_shift_mean,n_within_runs,n_cross_raw_runs,n_cross_adapted_runs,transfer_stability_score,stability_class
cycle_to_98pct,100,0.11519321621027859,0.11519321621027859,0.20898685857050125,0.19611742409967373,0.012869434470827529,True,0.02736942262330653,245.58277497164622,-5.783977315160116,746.598977241799,-0.04646741389430105,258.3025130190566,26.90503837187127,57.87058323108606,10,10,200,0.503655722956351,weak_or_mixed
exp_decay_k,100,0.19433510010744115,0.19433510010744115,-0.10570612373339304,-0.12161602618714076,0.015909902453747723,True,-0.02047545537466,252.16144981566913,-6.1043094509541085,766.7232016962397,-0.038218049247014246,253.95313416874157,25.681085119432,42.27325281172503,10,10,200,0.46289478375701,weak_or_mixed
slope_linear,100,0.2538728132062484,0.1948082261328058,0.10712049553996408,0.09035760527565992,0.016762890264304164,True,-0.0201450173454067,251.90404328143435,-6.154410669849893,768.4230407555839,-0.05273865209559881,256.46718546046156,25.804220280149398,39.60033443407112,10,10,200,0.4535376328869106,weak_or_mixed
slope_ratio,100,0.22991622536821346,0.22991622536821346,-0.2714587596184837,-0.3576578530615989,0.08619909344311522,True,-0.01798433559934861,253.70991661928247,-6.539538238711242,788.6829766430427,-0.25726675480319516,267.6219773207011,28.000526255841052,15.423630146899377,10,10,200,0.4224130194732104,weak_or_mixed
linearity_r2,100,0.7926134476073226,0.7926134476073226,-0.30138418365237607,-0.3973815486017567,0.0959973649493806,True,0.05717937748477142,238.17284895917152,-6.97111930947365,809.9957826293414,-0.039593344299510315,252.72435810128454,25.55996525661938,61.52661582545741,10,10,200,0.39028867786898275,stable_candidate
cycle_to_99pct,100,0.7116300876930944,0.7116300876930944,0.2911812672323952,0.10240870529870201,0.18877256193369318,True,0.058383613392698396,241.24139163426926,-6.718243460774344,790.4227110607226,-0.09440816028497095,258.49836721855456,26.195631585215313,80.35155690100589,10,10,200,0.3572528192718876,stable_candidate
autocorr_lag1,100,0.6862570928621154,0.6862570928621154,0.07220004696389302,0.15451755164611325,0.08231750468222022,True,-0.043469084875355446,254.05577735998358,-6.23615380412395,780.288523608508,-0.09705932209482798,260.4824276294992,26.46260487720157,22.994622970285274,10,10,200,0.35590268372957257,weak_or_mixed
kurtosis_Qdis,100,0.49057770672420875,0.49057770672420875,0.14034984739078715,0.2963503361855911,0.15600048879480394,True,-0.10361653199321559,264.49734864925404,-9.960031636179595,842.6108689100813,-3.099790129265697,310.7110626446405,30.37444219242599,-34.99791503556887,10,10,200,0.3484130995939667,weak_or_mixed
knee_cycle,100,0.834763550107729,0.834763550107729,-0.27491226315709616,-0.08509960232759053,0.18981266082950563,True,0.012045790046275196,244.1837262818718,-6.479529220587727,779.0790718971364,-0.07830636753439238,259.0632967993934,26.33906380265421,76.3793536301727,10,10,200,0.291924927115363,weak_or_mixed
mad_Qdis,100,0.7122615467251117,0.5832173802778646,-0.3946102855351098,-0.07760711398712485,0.31700317154798496,True,0.04993387987845284,237.2422553363775,-7.889439570266658,858.8943721836358,-0.024922832052227353,252.19860216976048,26.222448409579332,59.7143386148302,10,10,200,0.2845930620956936,weak_or_mixed
variance_Qdis,100,0.11605148497168162,0.11679844723270373,-0.5681721620677368,-0.07735736209590612,0.4908147999718307,True,-0.02979857371189054,254.88814849843646,-5.860915114805538,749.733528512533,-0.07462379085368877,260.94533117162393,26.845994238525037,54.81614513608456,10,10,200,0.2371848772683324,weak_or_mixed
poly2_c,100,0.25884835234289927,0.19607832264362354,0.6573642371188736,0.029983371782627333,0.6273808653362463,True,-0.04241981361992535,256.62628768368114,-6.105536772655173,753.1394233985022,-0.275881286459736,278.8134973060756,27.811574148046983,55.35467214149379,10,10,200,0.14748231448044197,weak_or_mixed
delta_Qdis,100,0.2111489401020372,0.1952441402899176,-0.02033788392215585,0.05565523723263662,0.07599312115479247,False,-0.010086701979047286,250.89282942391418,-6.152425955790216,761.1574386626912,-0.17895505590380956,266.76336394720073,26.483723259257673,48.34688279796239,10,10,200,-0.06966890159270181,relationship_unstable
mean_diff,100,0.21114894010205026,0.19524414028993178,-0.02033788392215585,0.05565523723263662,0.07599312115479247,False,-0.010086701976458567,250.89282942352506,-6.152425955776293,761.1574386629111,-0.17445150396313858,267.1455172556348,26.64727506354313,48.67369547803457,10,10,200,-0.06966890159270378,relationship_unstable
retention_ratio,100,0.19421462244985926,0.19421462244985926,-0.018571316764541435,0.07756767947798504,0.09613899624252648,False,-0.01004823383120108,250.93570961413351,-6.124546769256928,761.7435191184641,-0.1401659281962009,263.3590786842017,26.298317786006205,48.87715666759177,10,10,200,-0.07720169148874212,relationship_unstable
skewness_Qdis,100,0.579972294177194,0.579972294177194,-0.04475396639329815,0.019506937187820678,0.06426090358111883,False,-0.05867289853766533,258.7092471402784,-6.144371270943492,772.8624960896329,-0.10232977358815479,261.1240025923747,26.704312094048273,22.169023709010506,10,10,200,-0.11912629591713851,relationship_unstable
max_drop,100,0.1346543738940666,0.1359979124070844,-0.0711686177215517,0.14642033243607447,0.21758895015762617,False,-0.031158157118697894,255.2012614001015,-29676400721.711243,4102725.8572548903,-30740250171.031845,4304210.274609271,37.76079901541714,-2858398.0190950953,10,10,200,-0.12899263116292306,relationship_unstable
pos_neg_diff_ratio,100,0.39895029210154914,0.39895029210154914,-0.03888396955069739,0.10979704492961807,0.14868101448031545,False,-0.0637344480336262,260.1408624467024,-5.957878191151579,756.925131581836,-0.07548800281198385,259.3072801332187,26.324558017018308,35.882403305877524,10,10,200,-0.13418305105539008,relationship_unstable
poly2_b,100,0.13066399836569223,0.0987570124918787,-0.2221542056736092,0.02752528737957985,0.24967949305318904,False,-0.061700253182920495,259.2867646680494,-5.872837146690179,750.8818876571231,-0.07971382461079146,260.6851318235708,26.504066533547466,49.90153560787563,10,10,200,-0.14443934628144836,relationship_unstable
accel_max_abs,100,0.1342210519216805,0.13543445763278572,-0.11822023950022809,0.16076134892658145,0.27898158842680953,False,-0.08737073514018291,261.2604694466365,-29738093416.727783,3897785.7740497007,-29648306856.704777,3896323.925543093,39.382893951221746,-3756739.5813932884,10,10,200,-0.15962395200165685,relationship_unstable
spectral_entropy,100,0.33017451965252714,0.33017451965252714,0.15478985678356577,-0.07107413030629811,0.22586398708986388,False,-0.05624564015779081,258.1530047336116,-6.0296079323082195,757.1871516190903,-0.13364893323458174,263.82783315967293,26.81293807288838,65.45090437815895,10,10,200,-0.162458171492811,relationship_unstable
slope_first_quarter,100,0.3201740977683865,0.2831254723399592,-0.23606592203982274,0.03553049273495909,0.2715964147747818,False,-0.22748884343338566,270.7630048079463,-5.923369980176064,736.3153558949152,-0.5806570475104575,299.0476101147425,29.49066664023095,33.6213853368182,10,10,200,-0.18382432205264887,relationship_unstable
sample_entropy,100,0.34773277601491687,0.34773277601491687,-0.02385148516349393,0.24554554357714975,0.2693970287406437,False,-0.005787252867416515,250.79518060102583,-6.27101222016279,771.425729861465,-0.2373458720541509,277.825977454901,28.164404273354034,20.474657913309855,10,10,200,-0.18685843077255937,relationship_unstable
fft_top3_energy_ratio,100,0.49621456096074434,0.49621456096074434,-0.18802759423798512,0.03806744615628617,0.2260950403942713,False,-0.05367828815047756,257.1145326211466,-6.14289978942641,761.5985954215871,-0.14981878563336232,267.08684566187236,27.210549722206153,75.9256532038813,10,10,200,-0.1874797043412473,relationship_unstable
slope_last_quarter,100,0.3726140368721802,0.2665852201753617,0.4762603562502095,-0.07396599430988339,0.550226350560093,False,0.08671544820107353,231.80609370943665,-6.806959530488177,790.9850078768503,-0.19192236066180013,264.81211254608456,26.773845955756446,80.79800884691544,10,10,200,-0.24428983260979997,relationship_unstable
accel_std,100,0.1253979196265854,0.12826441404868083,-0.17899909436600003,0.2858607567544045,0.4648598511204045,False,-0.036294398026624874,264.30847044005634,-59467385782.286095,7752633.977148819,-57347387984.23186,7502658.337975455,57.981036139599865,-8749895.003250895,10,10,200,-0.25123961350419005,relationship_unstable
std_diff,100,0.12453651499049191,0.12787394112454495,-0.2603142924390396,0.288121668611753,0.5484359610507925,False,-0.04478402358809842,263.7611368287411,-59467385782.31144,7752630.679322871,-57014822555.39878,7406326.8556649145,58.44182300255668,-9249890.119843319,10,10,200,-0.29289845777397006,relationship_unstable
range_Qdis,100,0.057653016510343054,0.07215813470430589,-0.5346940373102244,0.17352498505149647,0.7082190223617209,False,-0.0367611443233264,255.57054992701313,-1306568613.3280115,364127.62690020096,-1246094425.88638,344320.0561787222,31.53506760483485,-468684.06403942744,10,10,200,-0.3627574636574119,relationship_unstable
accel_mean,100,1.22959935337799,1.3537956090616747,0.4929057793888074,-0.15631839423016408,0.6492241736189714,False,0.09885710663397279,230.89823835330452,-4.2625658635032195,638.3103753607973,-1.0998337584639095,342.7618995987612,32.17991099363481,-123.73525670697421,10,10,200,-0.4101948831822114,relationship_unstable
Qdis_N,100,8.208490470643092,0.09437274438268262,-0.037293626514864175,0.615506963490366,0.6528005900052303,False,0.06194964877692719,244.8792765138904,-4.986236107988314,570.2578503999241,-0.07235970384640707,259.2398258487842,26.321342671972687,369.19347581926354,10,10,200,-1.014450646225688,scale_shift_fragile
poly2_a,100,10.674941602590264,0.20779873511286226,-0.17428638514489575,0.6165979849099005,0.7908843700547963,False,0.07083516438913322,239.1903003142783,-5.703000181996888,601.5324674412824,-0.0994945264016915,265.53848641671607,26.973174462538953,556.3794143428051,10,10,200,-1.074607020638265,scale_shift_fragile
Qdis_cycle10,100,10.83695782836421,0.20053007466011605,-0.1834993682959988,0.6461081425828502,0.829607510878849,False,0.08812907495601088,239.25365694967246,-7.715631116763849,677.4938808918018,-0.1303602956720059,267.82349887405485,27.16132211656879,642.6628459452056,10,10,200,-1.0766746804834137,scale_shift_fragile
cycle_to_95pct,100,0.11115147845526485,0.11115147845526485,0.15191260355822095,,,False,-0.027396306347615185,254.37293541921494,-5.840476280459983,749.7544058570443,-0.0589697482695184,258.4798677772412,26.258210947594986,52.17828709112942,10,10,200,,relationship_unstable
n_capacity_jumps,100,0.22495477581680878,0.22495477581680878,0.051641906996994086,,,False,-0.0431480753939939,256.04711886135476,-5.879596092936032,751.6242971956719,-0.0803158433610154,259.0853529293417,26.359547032971722,49.23392842975707,10,10,200,,relationship_unstable
