source,target,direction,model,pearson_log_mean,pearson_log_sd,spearman_cycle_mean,r2_cycle_mean,decomposition_error_abs_mean,dominant_positive_group,dominant_positive_contribution,dominant_negative_group,dominant_negative_contribution,dominant_abs_group,dominant_abs_contribution,pearson_r,raw_R2,linear_R2,rank_signal_class,life_ratio_target_over_source
hust,luh,hust_to_luh,catboost,0.017861207725739382,0.1367499816161712,0.0031786044451109358,-4.1119239649288115,7.951972413877683e-16,curvature_acceleration,0.11554335183224987,capacity_level_retention,-0.048753470779827716,curvature_acceleration,0.11554335183224987,0.7716731043125821,-0.5620604259849377,0.6103797741346866,strong_rank_signal,0.2750134901264263
hust,luh,hust_to_luh,random_forest,0.24082224788717124,0.037914774874449726,0.09450519331324153,-3.9214297072301534,7.283063041541026e-15,curvature_acceleration,0.13832879584062213,variability_events,-0.04635005286733626,curvature_acceleration,0.13832879584062213,0.7716731043125821,-0.5620604259849377,0.6103797741346866,strong_rank_signal,0.2750134901264263
hust,matr,hust_to_matr,catboost,0.26752904531185007,0.07309875655155307,0.21093170875534212,-4.992046271172156,4.718447854656915e-16,trend_decay_timing,0.20649059880690226,curvature_acceleration,-0.024551365098072868,trend_decay_timing,0.20649059880690226,-0.1140931826398683,-3.6001135620102005,0.0081705447983793,negative_or_inverted_signal,0.4795699062311345
hust,matr,hust_to_matr,random_forest,0.3747592894767461,0.017033881989799507,0.3196269120471542,-4.554559712130962,8.382183835919932e-15,trend_decay_timing,0.22839140822306364,capacity_level_retention,-0.02093243731657503,trend_decay_timing,0.22839140822306364,-0.1140931826398683,-3.6001135620102005,0.0081705447983793,negative_or_inverted_signal,0.4795699062311345
hust,sandia,hust_to_sandia,catboost,0.5267725060609318,0.1887013046549024,0.48060862710796226,-0.34644327007519815,2.55351295663786e-16,trend_decay_timing,0.2811343568909361,capacity_level_retention,0.010115832131242841,trend_decay_timing,0.2811343568909361,0.5774316832047887,-0.2314739418959273,0.3661141417219493,strong_rank_signal,0.2470811306855769
hust,sandia,hust_to_sandia,random_forest,0.434042577837188,0.04118169131736637,0.5614104508305964,-0.3723519243756581,1.1501910535116621e-14,trend_decay_timing,0.20122731810405625,spectral_entropy,0.019693987848968454,trend_decay_timing,0.20122731810405625,0.5774316832047887,-0.2314739418959273,0.3661141417219493,strong_rank_signal,0.2470811306855769
luh,hust,luh_to_hust,catboost,-0.1714263295580229,0.08139231449243703,-0.15952041440784137,-3.6547889198100107,7.688294445529209e-16,trend_decay_timing,0.03654442059839297,curvature_acceleration,-0.10694240206833375,curvature_acceleration,-0.10694240206833375,0.0148578571548766,-0.7633991911495895,0.0213752792283554,rank_signal_collapsed,3.6361852632766873
luh,hust,luh_to_hust,random_forest,0.012008079662118244,0.17712160400229315,-0.013257945213893008,-0.7633991911495916,4.324596236671141e-14,trend_decay_timing,0.09176619565274188,curvature_acceleration,-0.07482312363145872,trend_decay_timing,0.09176619565274188,0.0148578571548766,-0.7633991911495895,0.0213752792283554,rank_signal_collapsed,3.6361852632766873
luh,matr,luh_to_matr,catboost,0.324851100114474,0.029272317625511867,0.14307761050428813,-0.46686848841091083,3.9968028886505636e-16,trend_decay_timing,0.15375217962566362,capacity_level_retention,0.029747508243708854,trend_decay_timing,0.15375217962566362,0.1073475929535931,-0.2751555415129972,0.0195110846494326,weak_rank_signal,1.7438050257486346
luh,matr,luh_to_matr,random_forest,0.3002458050889735,0.03945781879797935,-0.04758701087176838,-1.478502185440669,4.085620730620576e-15,trend_decay_timing,0.15040713529719266,curvature_acceleration,0.009598988609916637,trend_decay_timing,0.15040713529719266,0.1073475929535931,-0.2751555415129972,0.0195110846494326,weak_rank_signal,1.7438050257486346
luh,sandia,luh_to_sandia,catboost,0.8868264875113573,0.032025612638593735,0.7254902257942506,0.31734927732307855,3.108624468950438e-16,trend_decay_timing,0.3937776227352999,curvature_acceleration,-0.006995541303986439,trend_decay_timing,0.3937776227352999,0.9131253584230612,0.498719236814331,0.8417995407093845,strong_rank_signal,0.8984327662326365
luh,sandia,luh_to_sandia,random_forest,0.8899188382364638,0.010587596500665014,0.7542312068694075,0.4753220635548804,7.549516567451064e-15,variability_events,0.34552459551636483,spectral_entropy,0.003139479898633029,variability_events,0.34552459551636483,0.9131253584230612,0.498719236814331,0.8417995407093845,strong_rank_signal,0.8984327662326365
