dataset,model,n_cycles,seed,feature,mean_abs_shap_log_cycles,mean_shap_log_cycles,relative_importance,rank,train_cells,test_cells,MAE,SMAPE,R2,attribution_MAE,attribution_SMAPE,attribution_R2,metric_source
matr,catboost,100,42,Qdis_N,0.007880475825424069,-0.0016789467267222368,0.014925539583283166,21,89,20,144.0941219097393,20.91515589881133,0.6803462135421896,144.0941219097393,20.91515589881133,0.6803462135421896,benchmark_evaluate_split
matr,catboost,100,42,delta_Qdis,0.018986854692129292,0.002810046558874862,0.035960906111170206,8,89,20,144.0941219097393,20.91515589881133,0.6803462135421896,144.0941219097393,20.91515589881133,0.6803462135421896,benchmark_evaluate_split
matr,catboost,100,42,retention_ratio,0.008674636713192196,-0.004185296972812548,0.0164296720783842,20,89,20,144.0941219097393,20.91515589881133,0.6803462135421896,144.0941219097393,20.91515589881133,0.6803462135421896,benchmark_evaluate_split
matr,catboost,100,42,slope_linear,0.007014731685464822,0.004553144433044391,0.013285829150028733,22,89,20,144.0941219097393,20.91515589881133,0.6803462135421896,144.0941219097393,20.91515589881133,0.6803462135421896,benchmark_evaluate_split
matr,catboost,100,42,variance_Qdis,0.04678482341342389,-0.0013861189095603066,0.08860997092347461,3,89,20,144.0941219097393,20.91515589881133,0.6803462135421896,144.0941219097393,20.91515589881133,0.6803462135421896,benchmark_evaluate_split
matr,catboost,100,42,range_Qdis,0.04354320636559598,-0.0030806756269592243,0.08247038181324504,5,89,20,144.0941219097393,20.91515589881133,0.6803462135421896,144.0941219097393,20.91515589881133,0.6803462135421896,benchmark_evaluate_split
matr,catboost,100,42,max_drop,0.014302017446806306,-0.003655463453185538,0.027087872896510896,13,89,20,144.0941219097393,20.91515589881133,0.6803462135421896,144.0941219097393,20.91515589881133,0.6803462135421896,benchmark_evaluate_split
matr,catboost,100,42,std_diff,0.013840962535304199,0.002209185246687099,0.026214639669972634,15,89,20,144.0941219097393,20.91515589881133,0.6803462135421896,144.0941219097393,20.91515589881133,0.6803462135421896,benchmark_evaluate_split
matr,catboost,100,42,skewness_Qdis,0.009393695358434791,0.0030726766668899745,0.017791561704089992,19,89,20,144.0941219097393,20.91515589881133,0.6803462135421896,144.0941219097393,20.91515589881133,0.6803462135421896,benchmark_evaluate_split
matr,catboost,100,42,slope_ratio,0.0018449273150639568,9.195128190255249e-05,0.003494273224013806,31,89,20,144.0941219097393,20.91515589881133,0.6803462135421896,144.0941219097393,20.91515589881133,0.6803462135421896,benchmark_evaluate_split
matr,catboost,100,42,Qdis_cycle10,0.004449528594408374,0.002884748026606169,0.008427361067276509,28,89,20,144.0941219097393,20.91515589881133,0.6803462135421896,144.0941219097393,20.91515589881133,0.6803462135421896,benchmark_evaluate_split
matr,catboost,100,42,mean_diff,0.014197392966205386,-0.004897940963614744,0.026889715214007577,14,89,20,144.0941219097393,20.91515589881133,0.6803462135421896,144.0941219097393,20.91515589881133,0.6803462135421896,benchmark_evaluate_split
matr,catboost,100,42,poly2_a,0.005253548778392529,-0.000699922227253716,0.009950166967282976,24,89,20,144.0941219097393,20.91515589881133,0.6803462135421896,144.0941219097393,20.91515589881133,0.6803462135421896,benchmark_evaluate_split
matr,catboost,100,42,poly2_b,0.004328335378423418,0.002799438312233345,0.008197822371583407,29,89,20,144.0941219097393,20.91515589881133,0.6803462135421896,144.0941219097393,20.91515589881133,0.6803462135421896,benchmark_evaluate_split
matr,catboost,100,42,poly2_c,0.03572996186122571,0.005795268984582448,0.06767217765562077,6,89,20,144.0941219097393,20.91515589881133,0.6803462135421896,144.0941219097393,20.91515589881133,0.6803462135421896,benchmark_evaluate_split
matr,catboost,100,42,exp_decay_k,0.004949160225159643,0.0019917815423956434,0.009373658200474944,27,89,20,144.0941219097393,20.91515589881133,0.6803462135421896,144.0941219097393,20.91515589881133,0.6803462135421896,benchmark_evaluate_split
matr,catboost,100,42,cycle_to_99pct,0.004963621245122756,-0.0018001089859177352,0.00940104722249031,26,89,20,144.0941219097393,20.91515589881133,0.6803462135421896,144.0941219097393,20.91515589881133,0.6803462135421896,benchmark_evaluate_split
