target,target_label,naive_single_source_MAE,naive_single_source_R2,naive_single_source_detail,pooled_no_target_MAE,pooled_no_target_R2,pooled_no_target_detail,lodo_k20_MAE,lodo_k20_R2,lodo_k20_SMAPE,lodo_k20_detail,within_oracle_MAE,within_oracle_R2,within_oracle_detail,best_no_target_MAE,lodo_vs_best_no_target_MAE_delta,lodo_vs_best_no_target_MAE_reduction_pct,lodo_minus_within_oracle_MAE
matr,MATR,389.0667021914775,-1.075523000424735,source_expert_single; source=luh; model=gaussian_process; adapter=none,840.0379190776875,-5.371662070762905,pooled_erm; model=catboost; adapter=none,274.71648237643166,-0.0025568597108104,35.61899477555578,pooled_erm_kshot; model=xgboost; adapter=linear,171.66177211053974,0.5752479103793123,within_dataset; model=catboost; adapter=none,389.0667021914775,-114.35021981504582,29.390903711613145,103.05471026589191
hust,HUST,875.900754060016,-10.35458107369234,source_expert_single; source=matr; model=catboost; adapter=none,598.9492189170069,-6.167704858611289,pooled_erm; model=stacking; adapter=none,235.95474500299832,-0.1099668955781074,16.046810176188455,source_model_select; model=source_model_experts; adapter=linear; selected_source=luh; selected_model=xgboost,177.97215881381152,0.339752239544587,within_dataset; model=random_forest; adapter=none,598.9492189170069,-362.99447391400855,60.605217011612254,57.982586189186804
sandia,Sandia,625.4088106825964,-0.1102150929780295,source_expert_single; source=luh; model=gaussian_process; adapter=none,369.84275204639584,0.6083874449276001,pooled_erm; model=xgboost; adapter=none,277.52336666036865,0.8554359922894331,68.99493467948022,pooled_erm_kshot; model=stacking; adapter=linear,120.76723130585842,0.9399721325837364,within_dataset; model=xgboost; adapter=none,369.84275204639584,-92.3193853860272,24.961793863800242,156.75613535451023
luh,Luh/KIT,323.09813839815314,-0.3258436922844231,source_expert_single; source=sandia; model=xgboost; adapter=none,207.4134573354367,0.3456285154077801,pooled_erm; model=pls; adapter=none,178.2166753959974,0.6595684662991407,45.02125886740163,source_model_select; model=source_model_experts; adapter=linear; selected_source=sandia; selected_model=pls,108.79382183230295,0.7571251557979398,within_dataset; model=stacking; adapter=none,207.4134573354367,-29.19678193943929,14.076609258878113,69.42285356369446
