row_type,source_operator,eval_dataset,mode_index,eig_real,eig_imag,eig_abs,eig_angle,decay_rate,one_step_rmse,one_step_mae,n_cells_eval,target_self_rmse,rmse_ratio_vs_target_self,target_self_mae,mae_ratio_vs_target_self
operator_eigenvalue,matr,matr,1.0,-0.9246729939946692,0.0,0.9246729939946692,3.141592653589793,0.07831512397840328,,,135,,,,
operator_eigenvalue,matr,matr,2.0,0.9999667438379801,0.0,0.9999667438379801,0.0,3.3256715018295604e-05,,,135,,,,
operator_eigenvalue,matr,matr,3.0,0.7196538457196311,0.12628601850874382,0.7306502693695838,0.1737129312460791,0.31382036139038266,,,135,,,,
operator_eigenvalue,matr,matr,4.0,0.7196538457196311,-0.12628601850874382,0.7306502693695838,-0.1737129312460791,0.31382036139038266,,,135,,,,
operator_eigenvalue,hust,hust,1.0,0.9999115976432762,0.0,0.9999115976432762,0.0,8.840626444244447e-05,,,77,,,,
operator_eigenvalue,hust,hust,2.0,0.9105268774020951,0.0,0.9105268774020951,0.0,0.09373186086290852,,,77,,,,
operator_eigenvalue,hust,hust,3.0,0.6406129992343266,0.20718732728403236,0.6732841921321933,0.312802563145335,0.3955877619002019,,,77,,,,
operator_eigenvalue,hust,hust,4.0,0.6406129992343266,-0.20718732728403236,0.6732841921321933,-0.312802563145335,0.3955877619002019,,,77,,,,
operator_eigenvalue,sandia,sandia,1.0,0.9994416254521319,0.0,0.9994416254521319,0.0,0.0005585304969906817,,,61,,,,
operator_eigenvalue,sandia,sandia,2.0,0.788080868148446,0.0,0.788080868148446,0.0,0.2381545698359317,,,61,,,,
operator_eigenvalue,sandia,sandia,3.0,0.7569784037188209,0.34982159361803616,0.833901343720081,0.43289441419411223,0.18164017652212897,,,61,,,,
operator_eigenvalue,sandia,sandia,4.0,0.7569784037188209,-0.34982159361803616,0.833901343720081,-0.43289441419411223,0.18164017652212897,,,61,,,,
operator_eigenvalue,luh,luh,1.0,1.0006066723394624,0.0,1.0006066723394624,0.0,-0.0006064883881937028,,,108,,,,
operator_eigenvalue,luh,luh,2.0,0.9940294676416439,0.0,0.9940294676416439,0.0,0.005988427250250305,,,108,,,,
operator_eigenvalue,luh,luh,3.0,0.8980231661418558,0.27292812898030777,0.9385815737143655,0.29505017973687203,0.06338550748470737,,,108,,,,
operator_eigenvalue,luh,luh,4.0,0.8980231661418558,-0.27292812898030777,0.9385815737143655,-0.29505017973687203,0.06338550748470737,,,108,,,,
operator_prediction,matr,matr,,,,,,,0.013698250169340006,0.0005049303073721873,135,0.013698250169340006,1.0,0.0005049303073721873,1.0
operator_prediction,matr,hust,,,,,,,0.0004979107090566355,0.0002776780647948827,77,0.00027010981364139844,1.8433640094160693,0.00018866005994295538,1.4718434038388593
operator_prediction,matr,sandia,,,,,,,0.004180463588418956,0.0012403618899624288,61,0.003170698069345186,1.3184678884553354,0.0006186938983627678,2.00480705118438
operator_prediction,matr,luh,,,,,,,0.002373219653728975,0.0010416937897309018,108,5.2372188168581525e-05,45.314502538824364,1.558573399623692e-05,66.83636394554227
operator_prediction,hust,matr,,,,,,,0.013979055920024642,0.00043927389050902113,135,0.013698250169340006,1.020499388404597,0.0005049303073721873,0.8699693484337228
operator_prediction,hust,hust,,,,,,,0.00027010981364139844,0.00018866005994295538,77,0.00027010981364139844,1.0,0.00018866005994295538,1.0
operator_prediction,hust,sandia,,,,,,,0.0033301668214957107,0.0006070963053907142,61,0.003170698069345186,1.0502945246323812,0.0006186938983627678,0.9812547157766645
operator_prediction,hust,luh,,,,,,,0.00033117146040165257,0.00011882250801116992,108,5.2372188168581525e-05,6.323422258692732,1.558573399623692e-05,7.62379930517606
operator_prediction,sandia,matr,,,,,,,0.013973860086548603,0.0005531355543573483,135,0.013698250169340006,1.0201200820397833,0.0005049303073721873,1.0954691098580236
operator_prediction,sandia,hust,,,,,,,0.0003953460604598041,0.0002623031710618942,77,0.00027010981364139844,1.4636493770073495,0.00018866005994295538,1.390348180432075
operator_prediction,sandia,sandia,,,,,,,0.003170698069345186,0.0006186938983627678,61,0.003170698069345186,1.0,0.0006186938983627678,1.0
operator_prediction,sandia,luh,,,,,,,0.00036600825608982553,0.00012766706759653103,108,5.2372188168581525e-05,6.988599653535131,1.558573399623692e-05,8.191277204355949
operator_prediction,luh,matr,,,,,,,0.014859349279762757,0.00046493736311021194,135,0.013698250169340006,1.0847625861748074,0.0005049303073721873,0.9207951202808345
operator_prediction,luh,hust,,,,,,,0.00028803506868134015,0.00019763083699863857,77,0.00027010981364139844,1.06636284257239,0.00018866005994295538,1.047549953383857
operator_prediction,luh,sandia,,,,,,,0.0033936779110082505,0.000578985132432548,61,0.003170698069345186,1.0703251576739108,0.0006186938983627678,0.9358183973766349
operator_prediction,luh,luh,,,,,,,5.2372188168581525e-05,1.558573399623692e-05,108,5.2372188168581525e-05,1.0,1.558573399623692e-05,1.0
