MAE,SMAPE,R2,skipped,train_cells,target_cells,pearson_r,linear_adapter_R2,tuning_kernel,direction,source,target,source_variant,target_variant,seed,model,n_cycles,source_cells,target_cells_total,life_ratio_target_over_source
714.253937316387,69.05988004987205,-3.525853057423796,False,53,129,-0.1383129014799866,0.019130458715813536,0.379**2 * RBF(length_scale=2.94) + WhiteKernel(noise_level=0.858),hust_to_matr,hust,matr,full,full,789,gaussian_process,100,77,129,0.4795699062311346
724.3568226114737,69.6332433086726,-3.6480833796854686,False,53,129,,,0.959**2 * RBF(length_scale=0.38) + WhiteKernel(noise_level=0.0802),hust_to_matr,hust,matr,full,full,1011,gaussian_process,100,77,129,0.4795699062311346
582.7895823859777,50.76704841281696,-2.699400267976116,False,53,86,0.032833924328448824,0.001078066586655435,0.587**2 * RBF(length_scale=1.76) + WhiteKernel(noise_level=0.624),hust_to_matr,hust,matr,full,restricted,42,gaussian_process,100,77,86,0.6154240266040283
560.5114574805908,49.39039317522315,-2.4217523730015658,False,53,86,,,0.981**2 * RBF(length_scale=0.01) + WhiteKernel(noise_level=0.0368),hust_to_matr,hust,matr,full,restricted,123,gaussian_process,100,77,86,0.6154240266040283
564.8651107251953,49.66216449597825,-2.474830508703427,False,53,86,0.07166287298011163,0.005135567363788174,0.473**2 * RBF(length_scale=1.94) + WhiteKernel(noise_level=0.777),hust_to_matr,hust,matr,full,restricted,456,gaussian_process,100,77,86,0.6154240266040283
562.9142701431643,49.54031677719124,-2.451327057845481,False,53,86,-0.04477445905650465,0.002004752183803027,0.379**2 * RBF(length_scale=2.94) + WhiteKernel(noise_level=0.858),hust_to_matr,hust,matr,full,restricted,789,gaussian_process,100,77,86,0.6154240266040283
572.421019060114,50.13065693588735,-2.568302643365155,False,53,86,,,0.959**2 * RBF(length_scale=0.38) + WhiteKernel(noise_level=0.0802),hust_to_matr,hust,matr,full,restricted,1011,gaussian_process,100,77,86,0.6154240266040283
714.7809852863214,69.0915488842151,-3.5312890899394658,False,29,129,-0.04107831370887205,0.0016874278571284984,0.965**2 * RBF(length_scale=1.38) + WhiteKernel(noise_level=1e-06),hust_to_matr,hust,matr,restricted,full,42,gaussian_process,100,43,129,0.4734585913223198
746.8202761716256,70.88302366166752,-3.9283254211966963,False,30,129,-0.0991735123955143,0.009835385560878818,0.948**2 * RBF(length_scale=1.68) + WhiteKernel(noise_level=1e-06),hust_to_matr,hust,matr,restricted,full,123,gaussian_process,100,43,129,0.4734585913223198
748.2588175356157,70.96230569557088,-3.9463602377518443,False,29,129,-0.08073762062798451,0.006518563105523567,0.983**2 * RBF(length_scale=1.14) + WhiteKernel(noise_level=1e-06),hust_to_matr,hust,matr,restricted,full,456,gaussian_process,100,43,129,0.4734585913223198
727.1269572609538,69.78888622160655,-3.6822245430329525,False,29,129,-0.08066740112699691,0.006507229602391251,0.979**2 * RBF(length_scale=1.15) + WhiteKernel(noise_level=1.17e-06),hust_to_matr,hust,matr,restricted,full,789,gaussian_process,100,43,129,0.4734585913223198
719.1124835699461,69.33728129168037,-3.5838853281551444,False,30,129,-0.10383423765416255,0.010781548909306049,0.846**2 * RBF(length_scale=1.42) + WhiteKernel(noise_level=0.289),hust_to_matr,hust,matr,restricted,full,1011,gaussian_process,100,43,129,0.4734585913223198
563.6215594717513,49.58467642196215,-2.4596076797331516,False,29,86,0.16193250059735156,0.026222134550752396,0.965**2 * RBF(length_scale=1.38) + WhiteKernel(noise_level=1e-06),hust_to_matr,hust,matr,restricted,restricted,42,gaussian_process,100,43,86,0.6075814785622099
593.1133359395188,51.39432574113738,-2.83129179612659,False,30,86,0.07822819516231558,0.006119650518390918,0.948**2 * RBF(length_scale=1.68) + WhiteKernel(noise_level=1e-06),hust_to_matr,hust,matr,restricted,restricted,123,gaussian_process,100,43,86,0.6075814785622099
594.4550443027631,51.47545613522587,-2.8484094189311557,False,29,86,-0.057066297263222564,0.0032565512142745945,0.983**2 * RBF(length_scale=1.14) + WhiteKernel(noise_level=1e-06),hust_to_matr,hust,matr,restricted,restricted,456,gaussian_process,100,43,86,0.6075814785622099
574.966526720712,50.2875846836956,-2.600184167084813,False,29,86,0.07772976591366042,0.0060418973267488685,0.979**2 * RBF(length_scale=1.15) + WhiteKernel(noise_level=1.17e-06),hust_to_matr,hust,matr,restricted,restricted,789,gaussian_process,100,43,86,0.6075814785622099
567.6014996739979,49.83229603289125,-2.5084785487071937,False,30,86,0.1258724103167912,0.015843863671141545,0.846**2 * RBF(length_scale=1.42) + WhiteKernel(noise_level=0.289),hust_to_matr,hust,matr,restricted,restricted,1011,gaussian_process,100,43,86,0.6075814785622099
