experiment,source,target,estimator,reference_model,reference_raw_R2,reference_raw_MAE,rank_signal_class,super_regime,slope_shifted_share,life_ratio_target_over_source,n_seeds,source_train_cells_mean,n_target,naive_MAE_mean,naive_MAE_std,naive_SMAPE_mean,naive_SMAPE_std,naive_R2_mean,naive_R2_std,coral_MAE_mean,coral_MAE_std,coral_SMAPE_mean,coral_SMAPE_std,coral_R2_mean,coral_R2_std,delta_MAE_coral_minus_naive,delta_SMAPE_coral_minus_naive,delta_R2_coral_minus_naive,ridge_source_mean,ridge_target_mean
hust_to_matr,hust,matr,ridge_cv,gaussian_process,-3.6001135620102005,720.3607091592451,negative_or_inverted_signal,cp_interval_only,0.4117647058823529,0.4795699062311345,5,53.0,129,945.9273582533294,119.41831390449532,78.77783503585262,5.185039464937691,-7.239680303741464,1.8765222117092346,728.1256610337402,24.64877673242692,69.30843211813931,0.4728612772799549,-3.8143974684588855,0.580038817333269,-217.8016972195892,-9.46940291771331,3.4252828352825784,0.0007159983940773197,0.001226089963940265
luh_to_hust,luh,hust,ridge_cv,random_forest,-0.7633991911495895,300.38341265024417,rank_signal_collapsed,cp_interval_only,0.7647058823529411,3.6361852632766873,5,74.0,77,551.059789303086,251.76308813576978,63.62127639999159,38.67538931311202,-7.187042201701222,5.793794283572455,858.913789323335,14.9944249843423,100.02316320380912,0.7845085842409327,-12.086864513488708,0.15104297957803073,307.85400002024903,36.40188680381753,-4.899822311787486,0.0035246029399672333,0.0007186297176525176
matr_to_hust,matr,hust,ridge_cv,gaussian_process,-7.936737027557716,763.007238641014,negative_or_inverted_signal,cp_interval_only,0.4117647058823529,2.085201733901205,5,89.0,77,755.0703699278765,21.189689634227037,73.17576758710331,0.922791989176437,-9.672601643478405,0.29719616561858847,760.3956742235662,7.106512689801714,68.41736496417852,1.0023043319495577,-7.825498311715997,0.13220657507771638,5.325304295689648,-4.758402622924791,1.8471033317624084,0.0011163306706427694,0.0007186297176525176
sandia_to_matr,sandia,matr,ridge_cv,gaussian_process,-0.8021333947043507,361.477608166397,rank_signal_collapsed,cp_interval_only,0.5588235294117647,1.9409410378707193,5,34.0,129,1657.6725432089552,571.4044814850262,98.85683964260815,20.980822095421246,-26.63831548945105,13.299401804721034,494.9380714509895,19.341566001046672,71.96480193665857,3.0747378599950643,-2.330645162147013,0.3250411061923756,-1162.7344717579656,-26.892037705949576,24.307670327304038,0.009325124917528581,0.001226089963940265
luh_to_matr,luh,matr,ridge_cv,stacking,-0.2751555415129972,334.38135012586946,weak_rank_signal,offset_dominant_residual_only,0.5,1.7438050257486346,5,74.0,129,806.4576185789001,46.855065994092904,81.35649198375623,2.303754129388209,-4.810179294570334,0.5722966216900894,617.9520778239992,116.65903834675689,98.67815127809736,14.792567186709839,-3.104934403499074,1.2340709189991017,-188.50554075490095,17.32165929434113,1.7052448910712603,0.0035246029399672333,0.001226089963940265
sandia_to_hust,sandia,hust,ridge_cv,catboost,-2.026537003013493,384.6534380361403,weak_rank_signal,offset_dominant_residual_only,0.7352941176470589,4.047253617568027,5,34.0,77,647.9857197292447,262.3213802041036,36.473097288465716,9.990580984663142,-8.255993412195163,7.51461121759997,1045.2976351314496,8.768810365093318,109.77101165141809,1.3444211199452771,-14.679065798598913,0.2423251208186109,397.31191540220493,73.29791436295238,-6.423072386403749,0.009325124917528581,0.0007186297176525176
hust_to_luh,hust,luh,ridge_cv,pls,-0.5620604259849377,405.3268079863994,strong_rank_signal,salvageable_linear_recovers,0.7647058823529411,0.2750134901264263,5,53.0,106,471.70331663648415,57.536394015124515,76.39029140879218,3.9221753604216985,-0.7465156198757512,0.4397761230088581,931.1235689225878,9.68690519009394,104.21409736566474,1.5196815031492426,-4.744998575699709,0.12796876691362688,459.4202522861036,27.82380595687256,-3.998482955823958,0.0007159983940773197,0.0034789672464714807
hust_to_sandia,hust,sandia,ridge_cv,xgboost,-0.2314739418959273,1163.070821784149,strong_rank_signal,salvageable_linear_recovers,0.7352941176470589,0.2470811306855769,5,53.0,50,807.3266184166548,223.80601039828127,104.81028703330847,10.248821634688577,0.31200079988092033,0.416086855515423,1149.6352035276386,14.308984807971735,123.58790355055346,0.7105598141191724,-0.18548185458549243,0.028343873449672177,342.3085851109838,18.777616517244994,-0.49748265446641277,0.0007159983940773197,0.008955996904730841
luh_to_sandia,luh,sandia,ridge_cv,xgboost,0.498719236814331,414.4729557381428,strong_rank_signal,salvageable_linear_recovers,0.088235294117647,0.8984327662326365,5,74.0,50,768.564848003671,128.73509682830596,108.84022220427462,11.141309850155732,0.006914990960626044,0.18941664205937203,821.6816797936593,129.14208019426152,98.36120130345618,11.363266064756813,-0.1206401609540492,0.1895135635721879,53.11683178998828,-10.47902090081844,-0.12755515191467523,0.0035246029399672333,0.008955996904730841
matr_to_luh,matr,luh,ridge_cv,stacking,0.0038324202528453,334.05975341771386,moderate_rank_signal,salvageable_linear_recovers,0.5,0.5734586064578459,5,89.0,106,949.0070054302162,311.845190400613,98.82638335375057,15.811652464478097,-6.326233633941281,3.604193552286795,335.4392398491792,6.385479668307151,64.99640142485171,0.5780420183591943,0.13426334358497166,0.040346941715893106,-613.567765581037,-33.82998192889886,6.460496977526253,0.0011163306706427694,0.0034789672464714807
