row_type,source_operator,eval_dataset,mode_index,eig_real,eig_imag,eig_abs,eig_angle,decay_rate,one_step_rmse,one_step_mae,n_cells_eval,target_self_rmse,rmse_ratio_vs_target_self,target_self_mae,mae_ratio_vs_target_self
operator_eigenvalue,matr,matr,1.0,-0.9246729939946692,0.0,0.9246729939946692,3.141592653589793,0.07831512397840328,,,135,,,,
operator_eigenvalue,matr,matr,2.0,0.9999667438379801,0.0,0.9999667438379801,0.0,3.3256715018295604e-05,,,135,,,,
operator_eigenvalue,matr,matr,3.0,0.7196538457196311,0.12628601850874382,0.7306502693695838,0.1737129312460791,0.31382036139038266,,,135,,,,
operator_eigenvalue,matr,matr,4.0,0.7196538457196311,-0.12628601850874382,0.7306502693695838,-0.1737129312460791,0.31382036139038266,,,135,,,,
operator_eigenvalue,hust,hust,1.0,0.9999115976432762,0.0,0.9999115976432762,0.0,8.840626444244447e-05,,,77,,,,
operator_eigenvalue,hust,hust,2.0,0.9105268774020951,0.0,0.9105268774020951,0.0,0.09373186086290852,,,77,,,,
operator_eigenvalue,hust,hust,3.0,0.6406129992343266,0.20718732728403236,0.6732841921321933,0.312802563145335,0.3955877619002019,,,77,,,,
operator_eigenvalue,hust,hust,4.0,0.6406129992343266,-0.20718732728403236,0.6732841921321933,-0.312802563145335,0.3955877619002019,,,77,,,,
operator_prediction,matr,matr,,,,,,,0.013698250169340006,0.0005049303073721873,135,0.013698250169340006,1.0,0.0005049303073721873,1.0
operator_prediction,matr,hust,,,,,,,0.0004979107090566355,0.0002776780647948827,77,0.00027010981364139844,1.8433640094160693,0.00018866005994295538,1.4718434038388593
operator_prediction,hust,matr,,,,,,,0.013979055920024642,0.00043927389050902113,135,0.013698250169340006,1.020499388404597,0.0005049303073721873,0.8699693484337228
operator_prediction,hust,hust,,,,,,,0.00027010981364139844,0.00018866005994295538,77,0.00027010981364139844,1.0,0.00018866005994295538,1.0
