pair,dataset_a,dataset_b,n_features,slope_shifted_features,median_abs_delta_slope,log_life_offset_b_minus_a,life_ratio_b_over_a,slope_shifted_share
hust_vs_luh,hust,luh,34,26,0.6435970258760231,-1.2909351275135368,0.2750134901264263,0.7647058823529411
hust_vs_sandia,hust,sandia,34,25,0.5603767232593251,-1.3980385319726762,0.24708113068557697,0.7352941176470589
matr_vs_sandia,matr,sandia,34,19,0.47768457723824875,-0.6631729265336785,0.5152140021198353,0.5588235294117647
matr_vs_luh,matr,luh,34,17,0.5509671142811603,-0.5560695220745391,0.5734586064578459,0.5
matr_vs_hust,matr,hust,34,14,0.09952200824301122,0.7348656054389977,2.085201733901205,0.4117647058823529
sandia_vs_luh,sandia,luh,34,3,0.17329654284229892,0.10710340445913946,1.1130493427941877,0.08823529411764706
