dataset,model,n_cycles,seed,feature,mean_abs_shap_log_cycles,mean_shap_log_cycles,relative_importance,rank,train_cells,test_cells,MAE,SMAPE,R2,attribution_MAE,attribution_SMAPE,attribution_R2,metric_source
matr,catboost,100,42,Qdis_N,0.01650751262440377,-0.006699953748049517,0.03202272164151343,8,89,20,159.92502983700646,23.179327159072493,0.6009600777757226,159.92502983700646,23.179327159072493,0.6009600777757226,benchmark_evaluate_split
matr,catboost,100,42,delta_Qdis,0.008739449733142236,-0.0001908330884352333,0.01695355154177996,18,89,20,159.92502983700646,23.179327159072493,0.6009600777757226,159.92502983700646,23.179327159072493,0.6009600777757226,benchmark_evaluate_split
matr,catboost,100,42,retention_ratio,0.010293910055003713,-0.0033319775562699995,0.019969030089175308,14,89,20,159.92502983700646,23.179327159072493,0.6009600777757226,159.92502983700646,23.179327159072493,0.6009600777757226,benchmark_evaluate_split
matr,catboost,100,42,slope_linear,0.007361900580339897,0.0001272035182206574,0.01428126080535017,19,89,20,159.92502983700646,23.179327159072493,0.6009600777757226,159.92502983700646,23.179327159072493,0.6009600777757226,benchmark_evaluate_split
matr,catboost,100,42,variance_Qdis,0.031045261661626345,-0.0033750828267995665,0.06022432301572247,6,89,20,159.92502983700646,23.179327159072493,0.6009600777757226,159.92502983700646,23.179327159072493,0.6009600777757226,benchmark_evaluate_split
matr,catboost,100,42,range_Qdis,0.08524939706965673,-0.008581513242487869,0.16537426168208486,1,89,20,159.92502983700646,23.179327159072493,0.6009600777757226,159.92502983700646,23.179327159072493,0.6009600777757226,benchmark_evaluate_split
matr,catboost,100,42,max_drop,0.010927041921292882,-0.0035576413973146892,0.021197234845267823,13,89,20,159.92502983700646,23.179327159072493,0.6009600777757226,159.92502983700646,23.179327159072493,0.6009600777757226,benchmark_evaluate_split
matr,catboost,100,42,std_diff,0.006784389179822399,-0.0006026419990634456,0.013160953509856561,23,89,20,159.92502983700646,23.179327159072493,0.6009600777757226,159.92502983700646,23.179327159072493,0.6009600777757226,benchmark_evaluate_split
matr,catboost,100,42,skewness_Qdis,0.007348042977797825,-0.0038992443354232964,0.014254378611834992,20,89,20,159.92502983700646,23.179327159072493,0.6009600777757226,159.92502983700646,23.179327159072493,0.6009600777757226,benchmark_evaluate_split
matr,catboost,100,42,slope_ratio,0.006547378978702273,-0.0012495418254449293,0.012701180322377745,24,89,20,159.92502983700646,23.179327159072493,0.6009600777757226,159.92502983700646,23.179327159072493,0.6009600777757226,benchmark_evaluate_split
