source,target,direction,model,seed,feature,feature_group,cov_phi_loglife,pearson_log_contribution,mean_abs_shap_log,mean_signed_shap_log,pearson_log,spearman_cycle,r2_cycle,smape_cycle,additivity_rmse_log
matr,hust,matr_to_hust,catboost,42,Qdis_N,capacity_level_retention,0.0012365991907815912,0.1021241462456383,0.02510392568832382,-0.009665408860829061,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,delta_Qdis,capacity_level_retention,0.000325322057114652,0.026866617401479866,0.007739052411732519,-0.0013472187200822075,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,retention_ratio,capacity_level_retention,0.0006813434124092222,0.056268526464425934,0.01896784707733343,-0.018012160147497177,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,slope_linear,trend_decay_timing,4.64572322329013e-05,0.0038366555744886893,0.007573056563127798,-0.006202757619831453,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,variance_Qdis,variability_events,-8.340075999231064e-05,-0.0068876249264475135,0.029685130907764125,-0.029685130907764125,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,range_Qdis,capacity_level_retention,0.0008087123221406767,0.06678724688857665,0.07467469881613645,-0.07467469881613645,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,max_drop,variability_events,-0.00015686111792514448,-0.012954324947533553,0.015566950937028057,0.008726035660815078,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,std_diff,variability_events,0.00020602795371147154,0.017014752259559007,0.004139456637710569,0.0016168323296190418,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,skewness_Qdis,variability_events,6.483371326528137e-05,0.005354271347182852,0.002814191365838666,0.0008865172373181243,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,slope_ratio,trend_decay_timing,0.0002913951355741576,0.02406477350339689,0.006112774191610264,-0.003053324539324025,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,Qdis_cycle10,capacity_level_retention,0.0004004587118193522,0.03307175385205521,0.01027707616879374,-0.00692431299821677,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,mean_diff,variability_events,8.570397595058466e-05,0.007077835275210072,0.0034495435752245917,-0.0025334619332855477,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,poly2_a,curvature_acceleration,-0.00013539028559233227,-0.011181163168424022,0.015485188065311009,0.014137339442877532,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,poly2_b,curvature_acceleration,-0.00013469257560546187,-0.011123543013674317,0.003141161766359744,-0.002019490967825312,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,poly2_c,curvature_acceleration,-0.0036226183119462416,-0.29917276757030264,0.08513760442443363,0.024630850142172225,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,exp_decay_k,trend_decay_timing,3.4728953073486367e-05,0.002868079414149516,0.00894437224272088,-0.00858515859602031,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,cycle_to_99pct,trend_decay_timing,9.60521636479777e-06,0.0007932437026257583,0.0037249476869970306,-0.0008379555801391581,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,cycle_to_98pct,trend_decay_timing,-1.0606998274882877e-05,-0.0008759755393068933,0.0004743567135878318,0.0004743567135878318,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,cycle_to_95pct,trend_decay_timing,0.0,0.0,0.0,0.0,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,slope_first_quarter,trend_decay_timing,-5.4471553655402524e-05,-0.004498515730238721,0.006056286615436544,0.0036355238305032225,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,slope_last_quarter,trend_decay_timing,0.0005047860338180659,0.04168759216784642,0.04075789881637734,-0.04075789881637734,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,autocorr_lag1,variability_events,1.5759063694388047e-05,0.0013014572040944054,0.004181241480339422,0.003107045969214554,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,knee_cycle,trend_decay_timing,-2.0853094637059428e-05,-0.0017221461102875043,0.01953436953602166,-0.01953436953602166,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,n_capacity_jumps,variability_events,-1.5600263387233968e-06,-0.00012883427318284118,0.00022777542195813534,-2.506836838832127e-06,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,accel_mean,curvature_acceleration,-0.0007790843862853986,-0.06434043333993733,0.059513327423611685,0.05056329575014409,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,accel_std,curvature_acceleration,0.00019073971582629184,0.01575217805341111,0.004465140742226421,-0.00391389303139028,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,accel_max_abs,curvature_acceleration,4.3330890578710306e-05,0.003578467655002316,0.016445400015626735,-0.016445400015626735,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,linearity_r2,curvature_acceleration,0.0006969571266751499,0.05755798003274291,0.014777496108063629,-0.007598919083111776,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,kurtosis_Qdis,variability_events,3.769473533911793e-05,0.003113007588198089,0.0035653215050821157,-0.003514284159759374,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,fft_top3_energy_ratio,spectral_entropy,-2.9608716055080035e-06,-0.0002445226287624695,0.00414208326011622,-0.0016287383435403084,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,spectral_entropy,spectral_entropy,-0.0002008632123554914,-0.016588223756636697,0.0030770782267028523,-0.00165886702346274,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,sample_entropy,spectral_entropy,-0.0006349028488293317,-0.05243324746528234,0.01916233794851603,-0.015690015862095726,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,pos_neg_diff_ratio,variability_events,0.000546691035090242,0.045148303213305305,0.01250989288117476,0.0032712767299265706,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,hust,matr_to_hust,catboost,42,mad_Qdis,variability_events,0.00037169433221181,0.030696256818251534,0.04817373516718021,-0.04817373516718021,0.0628118221916247,0.07157363408873557,-11.1789092887587,86.93699975114092,2.8628582669845325e-16
matr,sandia,matr_to_sandia,catboost,42,Qdis_N,capacity_level_retention,0.004633082679034969,0.06278028291965324,0.04130122372365615,-0.04130122372365615,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,delta_Qdis,capacity_level_retention,0.002664385741489437,0.03610358421072642,0.022457774406470815,-0.022457774406470815,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,retention_ratio,capacity_level_retention,-0.0011634613580209262,-0.015765406810709412,0.026103001625698844,-0.026103001625698844,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,slope_linear,trend_decay_timing,0.002126367888829685,0.02881320859134744,0.005663426888663655,-0.005663426888663655,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,variance_Qdis,variability_events,-0.0029330192338705543,-0.039743684727321094,0.015046169739754166,-0.015046169739754166,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,range_Qdis,capacity_level_retention,-0.00498868230067254,-0.06759881226590234,0.08468441765681423,-0.08468441765681423,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,max_drop,variability_events,0.0012430367761495943,0.01684368829404527,0.022335452939053813,0.022335452939053813,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,std_diff,variability_events,-0.00024225047808162123,-0.0032825992120117413,0.006769090148357842,-0.006668481055640528,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,skewness_Qdis,variability_events,0.00033828968974547723,0.00458397224964836,0.006638920752257993,0.00634529783459673,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,slope_ratio,trend_decay_timing,-0.0014571631259144122,-0.019745193350196765,0.006501810083328631,-0.006264032119980009,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,Qdis_cycle10,capacity_level_retention,0.0005545087336785091,0.007513834220848944,0.020000933803176368,-0.018292758477887538,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,mean_diff,variability_events,0.0012594583452619796,0.017066207689074697,0.0035335214276256822,-0.0035335214276256822,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,poly2_a,curvature_acceleration,0.0011333222385043634,0.01535700864877694,0.016759241554788907,0.01669267032436994,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,poly2_b,curvature_acceleration,0.0009120511976551452,0.01235868992476627,0.003041771812852583,0.0005112316657708783,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,poly2_c,curvature_acceleration,0.013658954292353071,0.18508476413357475,0.09723915737105512,0.0801729511841253,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,exp_decay_k,trend_decay_timing,0.000433704398108611,0.005876882996274932,0.003056762109678445,-0.003004860313466342,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,cycle_to_99pct,trend_decay_timing,0.000946490882176425,0.012825362610685164,0.02978915107538466,-0.02978915107538466,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,cycle_to_98pct,trend_decay_timing,-0.00047128562833657754,-0.006386124991212048,0.003330214014492693,0.002274247173135299,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,cycle_to_95pct,trend_decay_timing,0.0,0.0,0.0,0.0,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,slope_first_quarter,trend_decay_timing,0.0018094432753921934,0.024518742406696544,0.0071443361157262466,0.006542004978602432,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,slope_last_quarter,trend_decay_timing,-0.005521424244397067,-0.07481769702734549,0.0521218855618912,-0.048996624694042895,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,autocorr_lag1,variability_events,-0.0006869659575122471,-0.009308687143431795,0.0035739247718152216,0.0005847554963159627,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,knee_cycle,trend_decay_timing,0.015018391892848615,0.203505734162217,0.0355405397912508,0.007763335423519162,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,n_capacity_jumps,variability_events,-0.0009838392708879974,-0.0133314495019284,0.0026000881315633227,0.0021519182501942434,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,accel_mean,curvature_acceleration,-0.0009545023143001533,-0.012933920996140961,0.07869104973711873,0.07509015748370942,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,accel_std,curvature_acceleration,0.00013609313272807877,0.0018441210675459688,0.0037327905401196206,-0.0024862261638818857,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,accel_max_abs,curvature_acceleration,-0.009217276749983249,-0.12489810396244015,0.015436334650650967,0.011032456419128873,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,linearity_r2,curvature_acceleration,-0.000940022374034086,-0.012737711515425904,0.018074317152544345,-0.018074317152544345,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,kurtosis_Qdis,variability_events,0.0032023963723485783,0.04339386197156994,0.006735003354135457,-0.005501267065180269,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,fft_top3_energy_ratio,spectral_entropy,0.00391211048870784,0.05301079654921637,0.006584579212228588,0.0023195915517920662,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,spectral_entropy,spectral_entropy,0.0001558140518615496,0.002111348088604178,0.0038383042333712497,0.002853125601881787,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,sample_entropy,spectral_entropy,-0.007661532865376955,-0.10381709850832481,0.013897092992119848,0.009193622327953326,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,pos_neg_diff_ratio,variability_events,0.004423392261659267,0.05993888667435058,0.007584504284377397,-0.00520466670015462,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,sandia,matr_to_sandia,catboost,42,mad_Qdis,variability_events,0.0032034938569360473,0.04340873336447926,0.048309421080788936,-0.048309421080788936,0.3325732207617113,0.29091127461723526,0.0021273027187468374,97.4964447391206,3.0767402982137023e-16
matr,luh,matr_to_luh,catboost,42,Qdis_N,capacity_level_retention,0.00017520173575713308,0.004442530492449429,0.03610972881295584,-0.03610972881295584,0.5219655050482267,0.453837569379078,0.03938507852782247,65.25968392423952,2.728018330495413e-16
matr,luh,matr_to_luh,catboost,42,delta_Qdis,capacity_level_retention,0.001959403510582299,0.04968392467778346,0.02000522149269769,-0.02000522149269769,0.5219655050482267,0.453837569379078,0.03938507852782247,65.25968392423952,2.728018330495413e-16
matr,luh,matr_to_luh,catboost,42,retention_ratio,capacity_level_retention,0.0010722036518278817,0.02718750129258959,0.02484513274934685,-0.02484513274934685,0.5219655050482267,0.453837569379078,0.03938507852782247,65.25968392423952,2.728018330495413e-16
matr,luh,matr_to_luh,catboost,42,slope_linear,trend_decay_timing,7.684116408502036e-06,0.00019484351170825345,0.0024331685253817454,-0.0024331685253817454,0.5219655050482267,0.453837569379078,0.03938507852782247,65.25968392423952,2.728018330495413e-16
matr,luh,matr_to_luh,catboost,42,variance_Qdis,variability_events,-0.002541045031096928,-0.06443240978493336,0.03041117251842831,-0.03041117251842831,0.5219655050482267,0.453837569379078,0.03938507852782247,65.25968392423952,2.728018330495413e-16
matr,luh,matr_to_luh,catboost,42,range_Qdis,capacity_level_retention,-0.0017408312560959005,-0.04414166277516582,0.09593317623402778,-0.09593317623402778,0.5219655050482267,0.453837569379078,0.03938507852782247,65.25968392423952,2.728018330495413e-16
matr,luh,matr_to_luh,catboost,42,max_drop,variability_events,-0.00964996918259329,-0.24469096815510624,0.014565036335114781,-0.00043155630195523657,0.5219655050482267,0.453837569379078,0.03938507852782247,65.25968392423952,2.728018330495413e-16
matr,luh,matr_to_luh,catboost,42,std_diff,variability_events,-0.0018881286208974318,-0.04787663167693144,0.006915200842916931,-0.0041603806101490485,0.5219655050482267,0.453837569379078,0.03938507852782247,65.25968392423952,2.728018330495413e-16
matr,luh,matr_to_luh,catboost,42,skewness_Qdis,variability_events,-0.0009642252923871756,-0.02444953096217595,0.007322973052929331,0.007322973052929331,0.5219655050482267,0.453837569379078,0.03938507852782247,65.25968392423952,2.728018330495413e-16
matr,luh,matr_to_luh,catboost,42,slope_ratio,trend_decay_timing,-0.0003747960272924965,-0.009503574679213955,0.011300264972479502,-0.011300264972479502,0.5219655050482267,0.453837569379078,0.03938507852782247,65.25968392423952,2.728018330495413e-16
matr,luh,matr_to_luh,catboost,42,Qdis_cycle10,capacity_level_retention,0.0018276666254731185,0.046343517537701724,0.01625088663776328,-0.01625088663776328,0.5219655050482267,0.453837569379078,0.03938507852782247,65.25968392423952,2.728018330495413e-16
matr,luh,matr_to_luh,catboost,42,mean_diff,variability_events,0.0001844511165224892,0.004677063877114808,0.0041852784580969585,-0.0041852784580969585,0.5219655050482267,0.453837569379078,0.03938507852782247,65.25968392423952,2.728018330495413e-16
matr,luh,matr_to_luh,catboost,42,poly2_a,curvature_acceleration,-0.005967441875482976,-0.1513143826982513,0.016486561566554432,0.009819424052156675,0.5219655050482267,0.453837569379078,0.03938507852782247,65.25968392423952,2.728018330495413e-16
matr,luh,matr_to_luh,catboost,42,poly2_b,curvature_acceleration,0.001862072497719069,0.04721593547301166,0.007172654833340452,0.007172654833340452,0.5219655050482267,0.453837569379078,0.03938507852782247,65.25968392423952,2.728018330495413e-16
