dataset,experiment,model,n_cycles,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,n_seeds,MAE_seed_boot_mean_ci95_lower,MAE_seed_boot_mean_ci95_upper,SMAPE_seed_boot_mean_ci95_lower,SMAPE_seed_boot_mean_ci95_upper,R2_seed_boot_mean_ci95_lower,R2_seed_boot_mean_ci95_upper,MAE_pooled,MAE_ci95_lower,MAE_ci95_upper,SMAPE_pooled,SMAPE_ci95_lower,SMAPE_ci95_upper,R2_pooled,R2_ci95_lower,R2_ci95_upper,ci95_method,pooled_test_rows,pooled_distinct_test_cells
matr,matr_to_matr,elastic_net,50,1584.7702449037008,2780.0164274403514,30.26958664021343,7.293508552233401,-1286.81230311125,2574.428603684259,5,129.43571795393467,4441.132655251848,19.20121661677252,43.980575854189645,-3288.501953121368,0.6399482083219714,1584.7702449037001,168.1287346328728,4383.304730024512,30.269586640213436,24.814379681480023,37.24955482406342,-1506.3768472417896,-4723.150573916515,0.47770510271787914,pooled_out_of_split_predictions,100,75
matr,matr_to_matr,pls,50,206.07237342159334,58.20110655068167,28.81434241984747,9.018287352347498,0.40240144713643355,0.23337260463939788,5,137.44827519171696,292.0876878417791,20.03221468130685,39.64643889923585,-0.08109336371005876,0.6404688006088725,206.07237342159328,168.74881066839743,250.07589481791712,28.81434241984747,24.23427417921763,34.37480082434598,0.3663032319949985,0.1987503567307191,0.5113902860617544,pooled_out_of_split_predictions,100,75
matr,matr_to_matr,random_forest,50,183.2800773228852,32.39768955191999,25.045471794274846,2.936873087705894,0.45365275749490686,0.18226095950032065,5,110.26930135307889,268.8464880856467,15.093813810497664,36.99919211004949,0.04128533749776564,0.69184454618109,183.28007732288523,147.66287524828172,224.80583188643905,25.04547179427485,20.338978071779472,30.15651395148226,0.43466415808423264,0.2619787117205101,0.5697464978000849,pooled_out_of_split_predictions,100,75
matr,matr_to_matr,xgboost,50,189.4793201690268,32.94093850906217,26.104366820200234,3.8800643657623746,0.4814077892105555,0.10552595309534642,5,120.42711763432017,266.3743043067908,16.22313171431355,37.552313483611385,0.03091026591601866,0.6884641684109581,189.47932016902686,155.75885823153348,226.4499751897578,26.10436682020023,21.4872632968185,30.77095833883602,0.4661259812179568,0.3086466713467564,0.5816664202937117,pooled_out_of_split_predictions,100,75
matr,matr_to_matr,catboost,50,177.58037021825982,39.92011830906261,24.370307505899696,4.863602005505045,0.5033843017957969,0.16895908301027307,5,111.16536573994088,258.4766102802099,15.298724787560678,35.647283453518796,0.20890464600184672,0.6985465755020638,177.58037021825982,144.12587666021463,216.620597305031,24.3703075058997,19.89945238955746,29.34916881538839,0.4793957486125673,0.36134442378142606,0.5868316938821206,pooled_out_of_split_predictions,100,75
matr,matr_to_matr,gaussian_process,50,212.09945798433546,29.36987324121084,28.696136721268157,3.854232505890065,0.3222463642319563,0.12035531148026668,5,133.89691402767602,303.9044745873788,17.718667520589282,42.51821023232869,-0.11804242983336313,0.5979324217881142,212.09945798433546,173.40147806861287,255.66328668312147,28.69613672126816,23.215297546509305,34.136792380660204,0.326572823975502,0.1938260402987355,0.44880887301898575,pooled_out_of_split_predictions,100,75
matr,matr_to_matr,stacking,50,184.67207102093073,26.210677123366377,25.01287036320469,3.87904337790464,0.4770588196030047,0.08908908613887069,5,113.52109036154486,264.7050539750353,15.426680951678247,36.08257618577154,-0.021410370680167497,0.7128266752158053,184.67207102093073,152.81128937152354,222.8652545174637,25.01287036320469,20.567104358826633,29.639709461576306,0.47433706690356436,0.336280292873897,0.58996099199462,pooled_out_of_split_predictions,100,75
matr,matr_to_matr,elastic_net,100,214.05591702274796,54.94687535963123,31.69058703984273,9.167506535144744,0.30115777496622764,0.2419508726549278,5,135.5673187402208,309.23537199047377,20.04833917176159,46.260523798094006,-0.3431194429726399,0.6082273782999168,214.05591702274796,172.92512470022183,261.6260028818989,31.690587039842725,25.654773459291285,39.215893176520716,0.2780413920723709,0.06963670682534444,0.4483381990104991,pooled_out_of_split_predictions,100,75
matr,matr_to_matr,pls,100,200.0245899267341,49.660698059803245,30.22051983734943,8.420092467601194,0.43447513871257915,0.2215691939584625,5,132.59780635077604,283.4921907955748,19.77481630423812,43.142338371905836,-0.021701919821237498,0.6417916386247151,200.0245899267341,165.1450187764496,235.03464223789513,30.22051983734943,25.071941715521305,36.43158975898643,0.413212379593879,0.26236721647777045,0.5380890609467086,pooled_out_of_split_predictions,100,75
matr,matr_to_matr,random_forest,100,183.16888624549273,46.75777381431658,25.827110137559476,5.1063135125807815,0.5201187809710394,0.16108634259570742,5,119.59701665209923,262.3323267986579,17.233666804103542,36.0492092420444,0.19503969786121197,0.6955708635893332,183.16888624549276,150.8872560512277,216.6585311588152,25.82711013755948,21.664166993673017,30.351137046834545,0.49559240370561075,0.3924219631670148,0.599625860228708,pooled_out_of_split_predictions,100,75
