protocol,target,source,source_set,model,n_cycles,k,adapter_type,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,n_test_mean,n_test_std,n_runs,selected_source_mode,selected_model_mode,weight_matr_mean,weight_hust_mean,weight_sandia_mean,weight_luh_mean
pooled_erm,hust,,matr+sandia+luh,catboost,100,0,none,604.9112897709953,43.50850687025568,53.53095527999206,4.260299124652167,-6.132285086684624,0.6740409755312335,77.0,0.0,5,,,,,,
pooled_erm,hust,,matr+sandia+luh,stacking,100,0,none,598.9492189170069,23.00977313830687,53.45238111077998,2.815296453531573,-6.167704858611289,0.5400462221041021,77.0,0.0,5,,,,,,
pooled_erm,hust,,matr+sandia+luh,xgboost,100,0,none,620.7756549474317,54.32576005234641,53.57828208420868,5.674001145534232,-6.177178164115952,1.1647983063213685,77.0,0.0,5,,,,,,
pooled_erm,hust,,matr+sandia+luh,random_forest,100,0,none,619.8982966385508,34.26822809731542,55.408218083184636,4.07046398923211,-6.5915435341018265,0.7314548073479968,77.0,0.0,5,,,,,,
pooled_erm,hust,,matr+sandia+luh,pls,100,0,none,744.27208203886,32.605272027594495,65.7806246628429,3.593967823602435,-7.769764224155492,0.5614068216314644,77.0,0.0,5,,,,,,
pooled_erm,hust,,matr+sandia+luh,elastic_net,100,0,none,768.1933739125436,9.8361061537905,67.54074112546337,1.1977635103620998,-7.923762622589568,0.20280609215201362,77.0,0.0,5,,,,,,
pooled_erm,hust,,matr+sandia+luh,gaussian_process,100,0,none,677.720347882307,40.74521279623353,64.00373624207748,4.599923967748681,-8.097060134235736,0.796179917472614,77.0,0.0,5,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,elastic_net,100,5,linear,284.00559868669313,63.338724704078814,19.36673166635942,4.684613075034049,-0.7086354048685688,0.9133715055756952,72.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,pls,100,5,linear,290.38567278456526,69.86507305880826,19.83563609431203,5.011236818740481,-0.7663564556353069,1.0039598063041215,72.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,gaussian_process,100,5,linear,294.7639361918485,145.42555426948724,20.605220441967013,11.580696768645307,-1.2223412494277919,4.55838578942866,72.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,xgboost,100,5,linear,305.6680563986029,191.39017915234024,20.759349684321467,10.273166438483244,-1.7041888113325925,7.90854147438989,72.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,stacking,100,5,linear,313.54710089066816,240.90307980243907,20.706871827519535,9.340600539191488,-2.2865001816066153,11.501089326114384,72.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,random_forest,100,5,linear,317.94538859531457,295.0466559391694,20.98534995552599,12.092635524564184,-2.9921114998756093,19.845338306918713,72.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,catboost,100,5,linear,349.66266708770627,487.2582620240011,21.339580171710722,11.882093437947438,-6.762986330779114,47.410034113228015,72.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,catboost,100,5,none,605.8891076965107,45.47438511117684,53.6098296504007,4.476227318396757,-6.138179567832363,0.7790906359661347,72.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,xgboost,100,5,none,621.1672076866307,54.95274134256086,53.622156193987685,5.788467986277591,-6.168690862151582,1.1516868368044384,72.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,stacking,100,5,none,600.2492689677553,25.752429886107315,53.56462904729135,3.070300298349072,-6.175953252441161,0.6120817029812289,72.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,random_forest,100,5,none,621.6849945708874,35.96049567435471,55.55869897360212,4.242340037050559,-6.605928289667093,0.7967711487377566,72.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,pls,100,5,none,745.5570880718542,34.954179291472634,65.8696565779786,3.7244799528026613,-7.787374171364252,0.7178450560536394,72.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,elastic_net,100,5,none,769.1447288074392,12.078847003715644,67.59055746575554,1.2637248366127636,-7.930862010907302,0.39664193067127235,72.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,gaussian_process,100,5,none,679.1551077037855,43.16943868906955,64.14347256916697,4.837582240974329,-8.117844801655373,0.9701402419308508,72.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,elastic_net,100,5,residual_mean,257.48612432095405,26.999926324091216,17.60931358004192,2.0158456321889484,-0.2888381737388277,0.2980303871392691,72.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,pls,100,5,residual_mean,297.9682347369626,37.923076236993026,20.569903596085027,3.232601841017205,-0.7252341525228202,0.4642268452669163,72.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,random_forest,100,5,residual_mean,436.6852545015409,35.0610022572081,30.686525181405923,4.700812017830591,-2.453512427756292,0.7420975164482493,72.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,catboost,100,5,residual_mean,472.696110417238,60.683953562406344,33.272709596910445,6.5964942935923405,-3.064244231884716,1.159299638939202,72.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,stacking,100,5,residual_mean,510.1521149988073,48.08273706174921,36.122897128443704,6.221676163325667,-3.603378714612126,1.0972208291557137,72.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,gaussian_process,100,5,residual_mean,504.2604930195584,70.83474952448213,35.983571963241594,8.198994399191205,-3.6384661617412077,1.4844481725597787,72.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,xgboost,100,5,residual_mean,584.342000696814,75.9754395112182,41.73762326933937,9.008614384133013,-5.122769892666339,1.853858020541097,72.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,gaussian_process,100,10,linear,251.0114627354708,21.709586264505994,17.14130830523104,1.5196046431005195,-0.26439965723660463,0.2602659561887337,67.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,random_forest,100,10,linear,251.2610930404387,25.923345377131046,17.219142681189517,2.0274510839926503,-0.2791060117591928,0.34113101439196836,67.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,catboost,100,10,linear,251.90446025244256,25.473793652936205,17.264568058076808,1.9194121479242872,-0.28211939910375383,0.32288970588186156,67.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,pls,100,10,linear,253.6789277643921,28.855712325522436,17.25816767546615,1.854475058494594,-0.2824274100809162,0.31243618469796897,67.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,stacking,100,10,linear,252.58661142862675,27.741653101730616,17.3366225466616,2.1750065691733123,-0.2978691247099467,0.37009030151684463,67.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,xgboost,100,10,linear,253.38561752264394,28.267170125267018,17.405694890399797,2.253325935784664,-0.3073731819189294,0.3799117948096026,67.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,elastic_net,100,10,linear,258.2601417975751,36.283206511586926,17.558115748637118,2.3310044183930376,-0.3455451003751429,0.4331889719966688,67.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,catboost,100,10,none,606.469661134652,48.5732364478988,53.681409393974924,4.778232378563066,-6.207322647816108,0.9200031547239184,67.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,stacking,100,10,none,600.3768128362756,26.574581338053733,53.59101566596557,3.010012295156319,-6.233853550110448,0.715786474236861,67.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,xgboost,100,10,none,621.5058824928842,54.353935905790955,53.6563179168674,5.552156727809608,-6.235875884952284,1.1824124618554157,67.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,random_forest,100,10,none,622.0759036377835,37.60756507317102,55.5945841765298,4.289812826272309,-6.668042816069925,0.9045352448765971,67.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,pls,100,10,none,746.7053227639622,36.883663630670966,65.98727450641313,3.9930132196926866,-7.8885110851740174,0.8707574313294023,67.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,elastic_net,100,10,none,769.8808656917187,15.985141636146514,67.65272941275727,1.5041736086393573,-8.025162930332911,0.5893428212655667,67.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,gaussian_process,100,10,none,680.6067908067058,47.92674817730839,64.29524856531259,5.426277607317502,-8.214443785218998,1.132439705067541,67.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,elastic_net,100,10,residual_mean,246.70034855161725,20.911981055790037,16.85068461090442,1.4757122982704145,-0.18640768016283926,0.20625593244860588,67.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,pls,100,10,residual_mean,285.62465028660785,29.44341653148905,19.66130166303337,2.277704304321689,-0.5742779120583761,0.31169273307321926,67.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,random_forest,100,10,residual_mean,423.40724655668856,24.178909803611575,29.516555900524732,2.945685739493176,-2.178268579075316,0.4540293456036823,67.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,catboost,100,10,residual_mean,458.52209921105947,49.42921015337198,32.08735261347287,4.4678673208963815,-2.676520035183789,0.7638325911829617,67.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,gaussian_process,100,10,residual_mean,488.8461278977296,58.60471850848518,34.601991514422,5.642205281270772,-3.176277308959874,0.9453195486564686,67.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,stacking,100,10,residual_mean,497.5312231112202,40.73804932069774,34.85151807780457,4.103575221442548,-3.220475102523703,0.7517792848964645,67.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,xgboost,100,10,residual_mean,572.058017324653,68.96069459988948,40.52111136323558,6.219460894931415,-4.644501434941882,1.4615842319354713,67.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,elastic_net,100,15,linear,238.97876346082222,15.53233090264199,16.28871809544281,1.033381289690711,-0.1494926798518274,0.16791574027644499,62.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,gaussian_process,100,15,linear,239.96454910550776,17.535217128185785,16.35572100894686,1.176132586467624,-0.15812146410003505,0.17768063877852444,62.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,pls,100,15,linear,240.78299523863328,17.276013728848945,16.394855004822436,1.1458801136988315,-0.16479119546353807,0.186780094481439,62.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,catboost,100,15,linear,241.25371640360262,18.245165340458612,16.464213069225597,1.2548927774219545,-0.16831487725123545,0.18910912754816384,62.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,random_forest,100,15,linear,241.02930294778128,18.926229945739635,16.441105554599325,1.2757944151580531,-0.16961367473696476,0.19831770018482925,62.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,stacking,100,15,linear,242.0941089673073,18.65414180715575,16.528870405452857,1.2828029781326276,-0.17900289972055752,0.20125923870178897,62.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,xgboost,100,15,linear,241.93372901620452,19.800219403157296,16.514618525100826,1.3620054487847677,-0.18217564234470415,0.2225762060768309,62.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,catboost,100,15,none,609.3277159420371,51.64480831727864,54.01255156663729,5.002689377361248,-6.2921950785559435,0.9797162836328449,62.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,xgboost,100,15,none,623.1132651619586,56.558237409756934,53.91983530288322,5.975125870755609,-6.332043973425738,1.3980967011607395,62.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,stacking,100,15,none,603.1391055473865,33.697281235650046,53.94481966542213,3.6681677367022765,-6.333853867875956,0.9130004241593561,62.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,random_forest,100,15,none,624.6657834222397,43.38468495820408,55.95421509588416,4.817254774118503,-6.767427579937271,1.060586147590635,62.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,pls,100,15,none,746.5782538843384,38.47738532093227,66.05052918463988,3.9341749245326785,-7.9329270131627485,0.9188303135087573,62.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,elastic_net,100,15,none,768.8868606051095,19.97847072107643,67.61746036111714,1.7210024019661627,-8.064657652638811,0.7577600517973443,62.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,gaussian_process,100,15,none,682.1876682463356,49.914761621531646,64.59789423634686,5.544108261923555,-8.306914321622079,1.1752892512116835,62.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,elastic_net,100,15,residual_mean,243.41786583408052,16.346459758558083,16.619712061249633,1.1171812271981305,-0.1623794180198628,0.15258694795095368,62.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,pls,100,15,residual_mean,283.0942732488952,22.624404842098468,19.461814798696818,1.705590552539938,-0.5555257880274044,0.23850398125451203,62.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,random_forest,100,15,residual_mean,423.4548099163558,22.51275087283646,29.631426337112966,2.699911370395091,-2.17852826475836,0.4284701805613177,62.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,catboost,100,15,residual_mean,457.8797113182329,48.90435646992346,32.093022931542485,4.2367365574877445,-2.676390350051907,0.7763329890265407,62.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,gaussian_process,100,15,residual_mean,486.9537587751136,56.5148946009391,34.45302857653424,5.029489358843939,-3.134422216728168,0.8797626457849111,62.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,stacking,100,15,residual_mean,497.5774887675314,39.07079818052748,35.09349108155922,3.96940005137316,-3.2351195911202892,0.7607378569482999,62.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,xgboost,100,15,residual_mean,572.0929725487548,68.08562256314464,40.77938123330017,6.183738379384992,-4.649244990513189,1.4806647001416626,62.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,elastic_net,100,20,linear,237.0020692188618,15.47813596951549,16.147930050742733,1.0529968247576824,-0.11323160594999367,0.15709653548776553,57.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,gaussian_process,100,20,linear,237.64566054468003,20.6896403156293,16.233856557200177,1.5630211073656533,-0.1299582832568408,0.3083400258743155,57.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,pls,100,20,linear,238.10740756961502,17.361393142180606,16.231649339643717,1.1753420362053706,-0.130209910860743,0.21034969379390714,57.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,xgboost,100,20,linear,238.7868991169921,21.80640281493656,16.318394623138257,1.677559161034707,-0.14272802009831753,0.3417802442209369,57.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,random_forest,100,20,linear,238.81927758580395,23.613698957121358,16.333237551054307,1.8661778528141486,-0.1455252039102416,0.3779765050937601,57.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,stacking,100,20,linear,239.36277111017793,23.73285198348311,16.37446639578344,1.8879157944330802,-0.15005900045604062,0.387797883099887,57.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,catboost,100,20,linear,239.87571128184874,23.706630774614002,16.408355880409697,1.8725476402051917,-0.15476453351718764,0.3789812676487217,57.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,catboost,100,20,none,604.2856495034121,49.86719670818369,53.41154225526335,4.915643795937335,-6.196431660560682,0.9911789966583526,57.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,stacking,100,20,none,598.9728539475008,35.01215553351396,53.39274179856011,3.8016138722313166,-6.241848679872983,0.9316470536176913,57.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,xgboost,100,20,none,619.9609171557112,58.52254684796238,53.483962369613494,6.104297236953989,-6.24332455084946,1.382202540008548,57.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,random_forest,100,20,none,619.845929765545,41.254220692809376,55.3412742920696,4.629893345624911,-6.665458106596131,1.0378687621916185,57.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,pls,100,20,none,744.1644661924562,40.148628141679275,65.70001502838983,4.223458407047808,-7.857823194385324,1.0771538828026719,57.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,elastic_net,100,20,none,768.8613946649112,19.917402055566765,67.5576992263754,1.711019756930176,-8.021773289923328,0.8519458955121428,57.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,gaussian_process,100,20,none,677.8021731760692,50.00704331075009,63.9245207477435,5.508640422813104,-8.17661933277237,1.1867819213184378,57.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,elastic_net,100,20,residual_mean,242.39649313575376,17.075011776978318,16.534929490185533,1.1575177407632689,-0.1314859720967859,0.13166006840782382,57.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,pls,100,20,residual_mean,280.0348685284964,24.133872343072227,19.17617200768643,1.6627107566954658,-0.5043461849019758,0.22514033907771566,57.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,random_forest,100,20,residual_mean,420.39701439332595,23.811382172783482,29.06096258225867,2.2373621685601552,-2.0852594843631236,0.37064333807645883,57.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,catboost,100,20,residual_mean,456.90379888483005,55.938236659832924,31.57290898441652,4.332226222685433,-2.5984821718523143,0.7826832730503475,57.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,gaussian_process,100,20,residual_mean,484.935047094201,63.285114214937614,33.82347933304148,5.032379278675545,-3.037389355791478,0.9042302236216416,57.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,stacking,100,20,residual_mean,495.5693331206255,43.797852460058664,34.43597780847109,3.8394907942257297,-3.118790633346292,0.7495236579550262,57.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,xgboost,100,20,residual_mean,569.685522655856,72.71457236276393,39.851856458846854,6.108077061551638,-4.482752895328979,1.4520534012935356,57.0,0.0,100,,,,,,
source_expert_convex,hust,,matr+sandia+luh,source_primary_experts,100,5,linear,393.9308755212928,835.239240097814,22.182974247061335,17.75448179962437,-19.34105829104268,167.5798991736114,72.0,0.0,100,,,0.34049999999999997,,0.4435,0.21600000000000003
