protocol,target,source,source_set,model,n_cycles,seed,k,repeat,adapter_type,n_test,MAE,SMAPE,R2,weight_hust,weight_sandia,weight_luh,adapter_slope,adapter_intercept,selected_source,calibration_MAE,selected_model,weight_matr
source_expert_select,matr,,hust+sandia+luh,source_primary_experts,100,42,5,0,none,124,385.78366345328504,55.80250576489725,-1.04387144358197,0.0,0.0,1.0,1.0,0.0,luh,388.985006566834,,
source_expert_select,matr,,hust+sandia+luh,source_primary_experts,100,42,5,0,residual_mean,124,277.0935018394977,35.937504173532034,-0.0026903119080587956,0.0,0.0,1.0,1.0,388.985006566834,luh,388.985006566834,,
source_expert_select,matr,,hust+sandia+luh,source_primary_experts,100,42,5,0,linear,124,292.02252118271446,37.466352551180485,-0.04683716527444837,0.0,0.0,1.0,-137076.58049437433,55738188.47756086,luh,388.985006566834,,
source_model_select,matr,,hust+sandia+luh,source_model_experts,100,42,5,0,none,124,327.3857321530885,43.5055841250633,-0.5347655009609469,0.0,1.0,0.0,1.0,0.0,sandia,375.80654011136915,gaussian_process,
source_model_select,matr,,hust+sandia+luh,source_model_experts,100,42,5,0,residual_mean,124,295.24962350512106,37.60676021204759,-0.22522283529443232,0.0,1.0,0.0,1.0,147.52881353844782,sandia,375.80654011136915,gaussian_process,
source_model_select,matr,,hust+sandia+luh,source_model_experts,100,42,5,0,linear,124,277.5503103795819,35.89987659838195,-0.011710621089887852,0.0,1.0,0.0,-0.16525316462531195,902.6958144652518,sandia,375.80654011136915,gaussian_process,
source_expert_convex,matr,,hust+sandia+luh,source_primary_experts,100,42,5,0,none,124,268.5771169172756,34.93966674848631,0.06038770449244524,0.35000000000000003,0.0,0.6499999999999999,1.0,0.0,,,,
source_expert_convex,matr,,hust+sandia+luh,source_primary_experts,100,42,5,0,residual_mean,124,267.78134103989197,34.846156247987416,0.06186437133437106,0.35000000000000003,0.0,0.6499999999999999,1.0,-3.3065997947719326,,,,
source_expert_convex,matr,,hust+sandia+luh,source_primary_experts,100,42,5,0,linear,124,265.02449833236545,34.247398799044994,0.09410106447389133,0.35000000000000003,0.0,0.6499999999999999,2.643348232253111,-1316.1883483028544,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,elastic_net,100,42,5,1,none,124,1715.036499170794,93.5721009115593,-117.94740052026894,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,elastic_net,100,42,5,1,residual_mean,124,787.7913093603406,64.68238871725399,-95.913352509899,,,,1.0,-1400.085370634169,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,elastic_net,100,42,5,1,linear,124,367.7986561325062,35.18460263727637,-8.11754832564689,,,,0.29466875077393634,149.86973099122898,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,pls,100,42,5,1,none,124,4315.841110513815,96.58791400878134,-4301.174310551777,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,pls,100,42,5,1,residual_mean,124,3490.0806393211637,72.30736499948559,-4236.133938158642,,,,1.0,-1146.1499830999817,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,pls,100,42,5,1,linear,124,1228.1128566257128,41.7459049896824,-432.0112711184096,,,,0.3195779088856695,176.28436058612968,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,random_forest,100,42,5,1,none,124,905.4825800372859,77.89593577352518,-6.165370375469694,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,random_forest,100,42,5,1,residual_mean,124,301.97399306291254,43.24313352879529,-0.2243598469848489,,,,1.0,-984.1083607184052,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,random_forest,100,42,5,1,linear,124,325.04938583271667,50.63547111989472,-0.37347521320481203,,,,1.2267334429133772,-1388.0358849230547,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,xgboost,100,42,5,1,none,124,958.2927933471893,80.29840876750734,-6.922738020505168,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,xgboost,100,42,5,1,residual_mean,124,300.6974193034601,41.33090669222143,-0.22093547212120423,,,,1.0,-1024.9705993401544,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,xgboost,100,42,5,1,linear,124,284.1629971095746,38.22490519922733,-0.10345684391201093,,,,0.8129878124214523,-684.1650869787222,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,catboost,100,42,5,1,none,124,805.6597046820405,73.41044277282568,-4.662954452063502,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,catboost,100,42,5,1,residual_mean,124,289.32905834253125,38.620654530961524,-0.06471328495985307,,,,1.0,-770.850680345601,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,catboost,100,42,5,1,linear,124,297.5327100266681,40.11030460042082,-0.11787515818285876,,,,1.1993798344799527,-1083.5282414159788,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,gaussian_process,100,42,5,1,none,124,920.799311975032,72.64251055283447,-8.04532219944665,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,gaussian_process,100,42,5,1,residual_mean,124,629.3719496842824,77.386851664573,-3.2872537564873285,,,,1.0,-556.5542014403848,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,gaussian_process,100,42,5,1,linear,124,334.1363649849203,40.06408440716003,-0.3125767826940371,,,,0.36846237191885156,298.51882346778115,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,stacking,100,42,5,1,none,124,885.2011561285287,77.29567951952035,-5.726967442404279,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,stacking,100,42,5,1,residual_mean,124,274.96752419336343,37.54804283571325,-0.030396388167448052,,,,1.0,-928.6489281442634,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,stacking,100,42,5,1,linear,124,289.459918147867,41.59875728694758,-0.12173802406321665,,,,1.2214629062825995,-1310.9047401570585,,,,
source_expert_select,matr,,hust+sandia+luh,source_primary_experts,100,42,5,1,none,124,383.6366354460513,55.225604648331505,-1.032169411236326,0.0,0.0,1.0,1.0,0.0,luh,442.23130114623035,,
source_expert_select,matr,,hust+sandia+luh,source_primary_experts,100,42,5,1,residual_mean,124,278.98552121219575,35.968262541501325,-0.0032181710079688397,0.0,0.0,1.0,1.0,390.78550191038397,luh,442.23130114623035,,
source_expert_select,matr,,hust+sandia+luh,source_primary_experts,100,42,5,1,linear,124,278.98552121219575,35.968262541501325,-0.0032181710079688397,0.0,0.0,1.0,1.0,390.78550191038397,luh,442.23130114623035,,
source_model_select,matr,,hust+sandia+luh,source_model_experts,100,42,5,1,none,124,420.7875051028407,48.92256968629242,-0.6803256000315157,0.0,0.0,1.0,1.0,0.0,luh,261.04493366535525,xgboost,
source_model_select,matr,,hust+sandia+luh,source_model_experts,100,42,5,1,residual_mean,124,280.59231890741165,36.912422278060696,0.03663348617808748,0.0,0.0,1.0,1.0,-261.04493366535525,luh,261.04493366535525,xgboost,
source_model_select,matr,,hust+sandia+luh,source_model_experts,100,42,5,1,linear,124,299.16596301309636,38.349695448464026,-0.05756550204971722,0.0,0.0,1.0,2.0293960931466932,-1350.604013191383,luh,261.04493366535525,xgboost,
source_expert_convex,matr,,hust+sandia+luh,source_primary_experts,100,42,5,1,none,124,358.84472324025603,42.927535470721764,-0.5052785953142385,0.0,0.4,0.6,1.0,0.0,,,,
source_expert_convex,matr,,hust+sandia+luh,source_primary_experts,100,42,5,1,residual_mean,124,347.40930990925864,41.84660238964005,-0.444462814105101,0.0,0.4,0.6,1.0,-22.81258061101446,,,,
source_expert_convex,matr,,hust+sandia+luh,source_primary_experts,100,42,5,1,linear,124,360.74971742965346,42.7022879460257,-0.5593971411380398,0.0,0.4,0.6,1.1375004147748458,-135.59215064857563,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,elastic_net,100,42,5,2,none,124,1715.8726281512584,93.18353992243323,-116.9433640898141,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,elastic_net,100,42,5,2,residual_mean,124,790.0465265313634,64.23348198880247,-95.19130461315677,,,,1.0,-1379.349371918653,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,elastic_net,100,42,5,2,linear,124,313.1229118467373,35.26578096659056,-2.216795853052141,,,,0.15842757603509364,328.15846910900217,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,pls,100,42,5,2,none,124,4312.171990611613,96.11130122761405,-4262.648006213397,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,pls,100,42,5,2,residual_mean,124,3452.2633804852994,70.42874710260834,-4193.841094766321,,,,1.0,-1237.1441566746114,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,pls,100,42,5,2,linear,124,744.4568149551532,37.48222788061481,-121.83338711718511,,,,0.17135942487687442,326.2886064224355,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,random_forest,100,42,5,2,none,124,901.1960620402872,77.45667751918151,-6.023797078709779,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,random_forest,100,42,5,2,residual_mean,124,317.9355568995018,48.871685040705835,-0.39710765245580504,,,,1.0,-1090.414007043971,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,random_forest,100,42,5,2,linear,124,275.7338418497338,35.67349934601673,-0.1318678596155647,,,,0.3622839518200627,19.22084930584813,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,xgboost,100,42,5,2,none,124,952.7580087270408,79.78225761077813,-6.757981061054536,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,xgboost,100,42,5,2,residual_mean,124,311.40620921264696,47.59545376777338,-0.46737523492886357,,,,1.0,-1162.2332579198367,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,xgboost,100,42,5,2,linear,124,272.03554434667666,36.67212464488331,-0.1969328626918505,,,,0.5255288660733793,-302.570677548648,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,catboost,100,42,5,2,none,124,798.7527504495587,72.79495908993113,-4.52308729622456,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,catboost,100,42,5,2,residual_mean,124,282.673265657409,39.27522729804852,-0.24561007391983813,,,,1.0,-942.1431453111496,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,catboost,100,42,5,2,linear,124,280.6697596647584,38.54620529956872,-0.22880203569067437,,,,0.940125889980996,-846.8389411067946,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,gaussian_process,100,42,5,2,none,124,908.1453009119977,71.70858205295275,-7.752103363817094,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,gaussian_process,100,42,5,2,residual_mean,124,515.5885087343386,79.55568433477582,-2.0803217087317134,,,,1.0,-870.3736758036405,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,gaussian_process,100,42,5,2,linear,124,263.96216342255406,33.874011191730595,-0.07642946734599554,,,,0.15016600053147935,421.35163219143567,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,stacking,100,42,5,2,none,124,880.3943918366554,76.81598845433835,-5.589955741488737,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,stacking,100,42,5,2,residual_mean,124,280.47300930781137,40.538562880223395,-0.21987933469471188,,,,1.0,-1047.8566825827236,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,stacking,100,42,5,2,linear,124,266.15972173524426,35.3076605356487,-0.10083993550047854,,,,0.5095769770903321,-215.38484505228746,,,,
source_expert_select,matr,,hust+sandia+luh,source_primary_experts,100,42,5,2,none,124,391.6707402991664,56.33171598328267,-1.0561607483127178,0.0,0.0,1.0,1.0,0.0,luh,242.98550078897665,,
source_expert_select,matr,,hust+sandia+luh,source_primary_experts,100,42,5,2,residual_mean,124,286.36132744532046,37.163995052984774,-0.132277527597767,0.0,0.0,1.0,1.0,242.98550078897665,luh,242.98550078897665,,
source_expert_select,matr,,hust+sandia+luh,source_primary_experts,100,42,5,2,linear,124,290.7332206541492,41.764279850304455,-0.10801450709730043,0.0,0.0,1.0,-38924303.052041024,15827186642.243769,luh,242.98550078897665,,
source_model_select,matr,,hust+sandia+luh,source_model_experts,100,42,5,2,none,124,334.28911081736976,44.086386772974535,-0.5476336462589375,0.0,1.0,0.0,1.0,0.0,sandia,204.6027492371938,gaussian_process,
source_model_select,matr,,hust+sandia+luh,source_model_experts,100,42,5,2,residual_mean,124,322.4394707169297,41.8385882307477,-0.4549483365074385,0.0,1.0,0.0,1.0,30.91604283275426,sandia,204.6027492371938,gaussian_process,
source_model_select,matr,,hust+sandia+luh,source_model_experts,100,42,5,2,linear,124,286.3133718330129,37.15653408206829,-0.13186246305850435,0.0,1.0,0.0,-0.003701538740819527,651.8900826357777,sandia,204.6027492371938,gaussian_process,
source_expert_convex,matr,,hust+sandia+luh,source_primary_experts,100,42,5,2,none,124,280.1988236694817,36.25661138128367,-0.11754241337114357,0.2,0.0,0.8,1.0,0.0,,,,
source_expert_convex,matr,,hust+sandia+luh,source_primary_experts,100,42,5,2,residual_mean,124,277.3269757011818,35.87280129863825,-0.08611341498561842,0.2,0.0,0.8,1.0,15.090728225295175,,,,
source_expert_convex,matr,,hust+sandia+luh,source_primary_experts,100,42,5,2,linear,124,266.49456694619795,34.56451867451683,-0.019681193854416135,0.2,0.0,0.8,3.4060099717762546,-1511.5449068491341,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,elastic_net,100,42,5,3,none,124,1730.680328511969,94.26194865979814,-132.22650431887465,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,elastic_net,100,42,5,3,residual_mean,124,922.3649638150267,67.26351103471741,-111.23503005481702,,,,1.0,-1012.118402973023,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,elastic_net,100,42,5,3,linear,124,447.3010969526107,40.969598978343654,-12.729191972041683,,,,0.3381323255491691,242.33158074659465,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,pls,100,42,5,3,none,124,4320.658123499026,96.0861391033483,-4810.3738994406995,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,pls,100,42,5,3,residual_mean,124,3651.3781183269994,79.47639525152093,-4754.519890533553,,,,1.0,-850.3683360135356,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,pls,100,42,5,3,linear,124,1339.8509185969235,45.74877971337701,-537.1799122066195,,,,0.33599769250536526,300.7250392990867,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,random_forest,100,42,5,3,none,124,911.2810215564838,77.92358279715721,-7.053208702951766,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,random_forest,100,42,5,3,residual_mean,124,312.0673126647627,41.144382534939915,-0.3442280315665833,,,,1.0,-816.1071039568342,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,random_forest,100,42,5,3,linear,124,402.20465650412444,59.78922861639364,-1.1102193268746148,,,,1.8594638013399463,-2276.600047167549,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,xgboost,100,42,5,3,none,124,959.585904741919,80.14865315069758,-7.817289911527668,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,xgboost,100,42,5,3,residual_mean,124,292.581835658181,39.87522130451807,-0.27212414126231077,,,,1.0,-992.9014367508571,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,xgboost,100,42,5,3,linear,124,363.4596025576256,57.92541492535739,-0.8700017957057467,,,,1.604059040632368,-2126.1774707635873,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,catboost,100,42,5,3,none,124,802.8198836436645,73.02063397016842,-5.267116660647125,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,catboost,100,42,5,3,residual_mean,124,299.9807736137388,39.35564440031977,-0.15547746382803718,,,,1.0,-693.9189237207656,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,catboost,100,42,5,3,linear,124,380.0907070671348,55.03518449502178,-0.743981672133389,,,,2.7314191002137673,-3424.57275155948,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,gaussian_process,100,42,5,3,none,124,913.9791096012115,72.41186459636572,-8.811628906694047,,,,1.0,0.0,,,,
